pattern,group,count_0,count_1
"['(', ')']",1,123,212
"['Adjusts', 'tie']",1,0,99
"['Michael', 'Scott']",1,0,67
"['Looks', 'expectantly']",1,0,80
"['Okay', 'okay']",1,0,119
"['Beams', 'proudly']",1,0,84
"['chin', 'thoughtfully']",1,0,65
"['1', '2']",0,77,52
"['I', '!']",1,38,184
"['’m', '’s']",1,0,39
"['himself', 'muttering']",1,0,34
"['Regional', 'Manager']",1,0,29
"['And', 'at']",1,0,86
"['good', 'It']",1,4,104
"['let', 'me']",1,1,74
"['an', 'imaginary']",1,0,50
"['very', 'right']",1,0,69
"[""'m"", 'I']",1,24,124
"['forth', 'back']",1,1,23
"['then', 'looks']",1,0,54
"['It', 'Hmm']",1,0,74
"['“', '”']",1,0,13
"['pretty', 'sure']",1,0,22
"['you', 'know']",1,6,61
"['\n\n', ':*']",0,124,49
"['Dunder', 'Mifflin']",1,0,12
"['Pumps', 'fist', 'air']",1,0,12
"['He', 'his']",1,5,28
['But'],1,5,75
"['puzzles', 'puzzle', 'love']",1,0,19
['see'],1,6,73
"['brain', 'teaser']",1,0,11
"['tests', 'test']",1,0,15
"['Puffs', 'chest', 'out']",1,0,16
"['fingers', 'snaps', 'then']",1,0,28
"['\n\n', ',', 'the']",1,190,220
"['a', '\n\n']",1,167,229
"['?', '…', ',']",1,0,128
"['problem', 'solver']",1,0,17
['it'],1,86,184
['That'],1,5,65
['So'],1,7,70
"['Easy', 'peasy']",1,0,9
['Dwight'],1,0,47
['this'],1,48,135
['See'],1,1,49
['think'],1,3,54
['A'],1,48,132
['squints'],1,0,42
['got'],1,2,49
"[' ', '):', 'code', '\n  ']",0,12,2
['Pauses'],1,0,39
['genius'],1,0,38
['just'],1,8,60
"['math', 'numbers']",1,0,19
['Oh'],1,0,34
"['slightly', 'confused']",1,0,13
['Like'],1,0,33
['dramatically'],1,0,33
['You'],1,9,57
['Taps'],1,0,32
"['leans', 'forward']",1,0,8
"['#', 'input', 'Args', 'Returns', 'def', 'function', 'python', 'return', '):']",0,13,3
"['Did', 'get', 'right', '?']",1,0,40
"['should', 'Or']",1,0,16
"['understand', 'task']",0,14,3
"['adds', 'Quickly', 'Although']",1,0,9
['important'],1,5,43
['little'],1,2,35
"['paper', 'It']",1,0,28
"['Is', '?']",1,6,44
"['things', 'these']",1,0,18
"['’re', 'n’t']",1,0,10
"['Leans', 'conspiratorially', 'Beams', 'you']",1,0,11
"['valuable', 'skill']",1,0,8
"['Squints', 'taps', 'at']",1,0,22
"['intensely', 'at']",1,0,26
"[':', '\n', 'Here']",0,71,23
"['`', '\n    ', '=', '""', '\n', ':']",0,20,7
