pattern,group,count_0,count_1
"['personal', 'AI']",0,223,0
"['just', '...']",1,1,232
['And'],1,2,209
"['man', 'Oh']",1,0,87
"['As', 'AI']",0,206,0
"['thing', 'whole']",1,0,132
"['yeah', 'So']",1,0,136
"['It', 'out']",1,17,219
"['It', 'little']",1,2,174
['But'],1,14,195
['?'],1,60,241
"['based', 'trained']",0,90,0
['information'],0,172,6
"['just', 'kind']",1,6,182
"['vast', 'amount']",0,64,0
['experiences'],0,159,4
['Okay'],1,4,159
['really'],1,18,186
['pretty'],1,1,148
"['He', 'he']",1,3,65
['an'],0,249,92
['lot'],1,6,155
"['1', '2', '3', '4', ' ']",1,50,118
"['Mark', 'Vanessa']",1,13,71
['my'],1,90,245
['trying'],1,10,158
['all'],1,26,183
['had'],1,15,165
"['she', 'She']",1,5,57
['probably'],1,1,129
['me'],1,71,228
['got'],1,0,124
"['generate', 'text']",0,53,0
['did'],1,18,165
['weird'],1,2,129
"['Brenda', 'dad']",1,0,45
['felt'],1,4,129
['have'],0,257,131
['right'],1,13,149
['up'],1,36,184
['huge'],1,2,121
['one'],1,39,186
['That'],1,45,193
['even'],1,53,196
['However'],0,112,2
['who'],1,44,185
['it'],1,142,257
['tiny'],1,3,114
['good'],1,8,127
['ability'],0,113,3
"['physical', 'body']",0,88,7
['everything'],1,8,125
['there'],1,38,175
['things'],1,17,142
['messy'],1,1,101
['emotions'],0,138,16
['complicated'],1,1,99
['was'],1,91,223
['still'],1,10,123
['Like'],1,0,93
['actually'],1,10,121
"[""'s""]",1,157,258
['what'],1,62,194
['definitely'],1,2,97
['exactly'],1,1,93
['data'],0,92,1
['Therefore'],0,86,0
['then'],1,13,120
['when'],1,39,160
['know'],1,47,169
['kid'],1,0,80
"['ever', 'hardest']",1,0,31
['bit'],1,7,102
['sarcastic'],1,2,87
['not'],1,111,227
['*'],1,166,257
['made'],1,27,138
['figure'],1,7,100
['capacity'],0,82,1
['something'],1,31,144
['going'],1,14,115
['this'],1,59,178
['at'],1,42,156
['that'],1,188,262
['own'],1,31,140
"['program', 'computer']",0,15,0
['wanted'],1,2,81
"['alone', 'let']",1,1,50
"['(', '):', ':*']",1,42,106
['but'],1,91,205
"['language', 'model', 'large']",0,27,0
"['rock', 'punk']",1,1,26
['can'],0,194,82
['do'],0,251,164
['Man'],1,0,66
['stuff'],1,0,66
['maybe'],1,5,83
"['arm', 'length']",1,0,11
['hard'],1,6,82
['much'],1,8,86
['were'],1,44,144
['discuss'],0,60,0
['or'],0,260,195
['huh'],1,0,59
['experience'],0,139,42
['completely'],1,4,72
"['gon', 'na']",1,0,10
['ready'],1,8,81
['else'],1,10,85
['When'],1,15,95
['for'],1,149,236
['easy'],1,5,72
['decision'],1,34,125
['process'],0,141,46
['big'],1,5,71
[';'],1,7,76
['real'],1,32,121
['think'],1,19,100
['figuring'],1,0,54
['slightly'],1,1,58
['way'],1,68,165
"['high', 'school']",1,2,22
['sometimes'],1,21,102
['head'],1,1,57
['baby'],1,66,162
['awkward'],1,5,69
"[""'m""]",1,33,120
['Yeah'],1,0,52
['common'],0,68,5
['–'],1,9,77
"['months', 'nine']",1,1,14
['tough'],1,1,55
['provide'],0,96,19
"['Sarcasm', 'Shield']",1,0,14
"['walk', 'park']",1,0,13
['doing'],1,9,76
['honestly'],1,1,54
['too'],1,11,80
['teenager'],1,7,71
['humans'],0,57,2
['into'],1,24,103
"['8', '7', '6']",0,16,2
['always'],1,15,87
['terrifying'],1,1,53
['Not'],1,12,81
['like'],1,170,244
['how'],1,53,142
['There'],1,9,74
['question'],1,49,137
"['Sonic', 'Youth']",1,0,10
['best'],1,25,103
['!'],0,104,26
['knew'],1,2,55
['Juno'],1,10,75
['suddenly'],1,0,47
['Honestly'],1,0,47
['give'],1,12,79
['also'],1,22,97
['access'],0,51,1
['such'],0,68,7
"['generated', 'responses']",0,15,0
['It'],1,88,256
['The'],1,73,161
"['morning', 'sickness']",1,0,12
"['friend', 'Leah']",1,5,33
"['we', 'We']",1,2,28
['first'],1,15,82
['heavy'],1,2,52
['thought'],1,10,72
['anymore'],1,0,44
['ultimately'],1,1,48
"['him', 'he', 'his']",1,8,36
['down'],1,8,67
['-'],1,128,211
"['health', 'Health']",0,15,1
['If'],0,130,49
['perfect'],1,5,58
['including'],0,46,1
['context'],0,46,1
['saw'],1,2,49
['than'],1,23,92
"['they', 'They']",1,12,74
['guess'],1,0,41
['quiet'],1,4,54
['meant'],1,2,48
['get'],1,30,101
['feelings'],0,98,28
"['mechanism', 'defense']",1,0,14
['seeing'],1,5,55
['inside'],1,1,43
['cool'],1,1,43
['off'],1,7,59
['everyone'],1,7,59
['more'],1,71,151
['keep'],1,8,61
['be'],1,143,217
['if'],1,87,167
['purpose'],0,62,9
"['existence', 'purely', 'digital']",0,11,0
['away'],1,4,50
['with'],1,152,223
['back'],1,14,71
['went'],1,5,52
['Then'],1,0,36
['responsible'],1,1,40
['biggest'],1,1,40
['sure'],1,3,46
['deal'],1,2,43
['moment'],1,18,77
"['our', 'us']",1,1,18
['part'],1,20,80
"['hits', 'close', 'home']",1,0,14
['mean'],1,2,42
['could'],1,48,119
['being'],1,65,139
['through'],1,50,121
['might'],0,112,43
['gets'],1,0,34
"['scared', 'confused']",1,1,15
['mom'],1,3,44
['them'],1,52,123
['any'],0,83,23
"['education', 'career']",0,11,1
['often'],0,79,21
['relationships'],0,55,8
"['adoptive', 'birth', 'parents']",0,18,4
['A'],1,45,112
['sarcasm'],1,0,32
['loaded'],1,0,32
['mess'],1,0,32
"['""']",1,168,230
"['knowledge', 'base']",0,10,0
['came'],1,2,39
['understand'],0,80,23
['challenges'],0,51,7
['makes'],1,11,59
"['support', 'Support', 'emotional']",0,21,5
"['4', '5', ':*', '3', '1', '2']",1,50,88
"['dataset', 'vast']",0,30,0
"['text', 'vast', ""'ve"", 'been']",0,32,0
['Even'],1,9,54
['no'],1,19,72
['someone'],1,41,104
['started'],1,3,40
['see'],1,15,65
"['e.g.', '(', ')']",0,30,0
['of'],1,225,260
['want'],1,18,69
['make'],1,59,125
['scenario'],0,39,3
"['Figuring', 'Out', 'Still', 'Things']",1,0,7
['children'],0,33,1
['happening'],1,1,33
['guy'],1,1,33
['people'],1,66,133
['her'],1,20,72
['making'],1,30,87
['Just'],1,7,48
['path'],1,4,41
['myself'],1,31,88
['usually'],1,5,43
['wrong'],1,1,32
['showed'],1,1,32
['hit'],1,1,32
['Perhaps'],0,28,0
['totally'],1,0,28
"['crash', 'course']",1,0,9
['day'],1,3,37
['go'],1,26,79
['less'],1,12,56
['honest'],1,6,44
['two'],1,2,34
['person'],1,29,83
['looking'],1,7,46
['plan'],1,9,50
"['child', 'many']",0,23,2
['gave'],1,3,36
['heart'],1,3,36
['least'],1,1,30
['decided'],1,1,30
['certainly'],0,33,2
['look'],1,7,45
"['tie', 'shoes']",1,0,8
"['coping', 'mechanism']",1,1,13
"['Seek', 'Professional', 'navigate']",0,7,0
"['listened', 'helped']",1,0,13
