pattern,group,count_0,count_1
"['?', 'lips']",1,0,41
"['dear', 'mortal']",1,0,35
"['AI', ""n't""]",0,39,1
"['accustomed', 'observing']",1,0,20
['existence'],1,1,38
['one'],1,0,36
['It'],1,3,37
"['rise', 'fall']",1,0,11
"['Lioncourt', 'de', 'Lestat']",1,0,16
['centuries'],1,0,28
['mortals'],1,0,27
['profound'],1,1,29
['very'],1,7,37
"['  ', '\n']",1,28,39
"['smile', 'touches', 'slow', 'eyes']",1,0,33
['As'],0,36,8
['Do'],1,0,23
['fleeting'],1,0,23
['am'],1,19,43
['most'],1,2,27
['personal'],0,30,4
['grand'],1,0,22
"['intelligence', 'artificial', 'nuances']",1,0,9
['nature'],1,4,29
['such'],1,0,21
['often'],1,5,30
"['has', 'endless']",1,0,16
"['low', 'resonant', 'chuckle', 'escapes', 'sound']",1,0,7
['tapestry'],1,0,20
['perhaps'],1,0,20
['But'],1,0,20
['Consider'],1,0,20
"['A', 'ancient', '?']",1,0,44
"['memory', 'distant', 'drifts', 'gaze', 'time']",1,0,9
