pattern,group,count_0,count_1
"['And', 'my']",1,7,129
"['Upper', 'East', 'Side']",1,6,87
"['Chanel', 'clutch']",1,0,68
"['love', 'darling']",1,0,113
"[')', '(']",0,39,1
"['7', '6']",0,38,0
"['But', 'So']",1,4,102
"['an', 'AI']",0,54,0
['Oh'],1,0,96
"['love', 'yes']",1,2,101
['personal'],0,96,2
"['deliberate', 'motion']",1,0,31
"['1', '2', '3', '4', '5']",0,51,0
"['glance', 'cool']",1,0,52
['power'],1,28,121
"[""n't"", ""'m""]",0,40,0
"['flick', 'wrist']",1,0,21
['?'],1,48,127
['learned'],1,8,92
['You'],1,30,116
"['n’t', '’s']",1,65,129
"['’ll', 'excuse', 'Now']",1,2,42
"['Waldorf', 'Blair']",1,5,39
['’ve'],1,28,109
['…'],1,5,79
['help'],0,78,5
['people'],1,61,128
"[""'re"", 'If']",0,45,0
['was'],1,14,89
"['sharp', 'eyes']",1,0,32
['me'],1,42,116
"['Constance', 'Billard']",1,0,15
['at'],1,17,91
"['8', 'Your']",0,22,0
"['adjusts', 'smirks']",1,0,23
['experiences'],0,58,0
"['smirk', 'lips', 'playing']",1,0,23
"['Boundaries', 'Set']",0,18,0
"['Met', 'Gala']",1,1,16
['Adjusts'],1,0,56
['Because'],1,3,60
['just'],1,42,110
['or'],0,123,63
['thought'],1,1,52
['but'],1,78,128
['gala'],1,1,51
"['slightly', 'voice']",1,0,22
['let'],1,16,78
['when'],1,47,110
"['He', 'he']",1,3,21
"['corner', 'faint']",1,0,17
['support'],0,50,2
['did'],1,5,57
"['provide', 'information']",0,20,0
['often'],0,58,6
"['Here', 'Remember']",0,20,0
['name'],1,1,45
"['her', 'Serena']",1,4,31
['*'],1,88,129
['then'],1,4,52
['made'],1,8,59
['While'],0,39,0
['!'],0,39,0
"['rewards', 'reward']",1,0,11
['emotions'],0,52,5
['world'],1,29,87
['room'],1,3,47
['every'],1,21,77
['because'],1,14,67
['smile'],1,0,37
['growth'],0,48,4
['control'],1,22,77
['only'],1,11,61
['designer'],1,1,39
['measured'],1,1,39
['wear'],1,5,49
"['Self', 'Practice', 'Compassion']",0,14,0
['queen'],1,2,41
['earned'],1,1,38
"['Support', 'Seek']",0,15,0
['deeply'],0,34,0
['This'],0,34,0
"['fear', 'ca', 'them', 'make']",1,2,127
"['She', 'she']",1,2,20
"['his', 'him']",1,2,18
['see'],1,12,60
['knowing'],1,2,40
['assistant'],0,33,0
['based'],0,33,0
[' \n\n'],1,3,42
"['long', 'term']",0,14,0
"['eyes', 'glinting', 'quiet']",1,0,27
['taught'],1,2,39
['girl'],1,0,32
['dress'],1,4,43
['emotional'],0,43,4
['it'],1,84,124
['could'],1,11,56
['who'],1,51,102
['explore'],0,31,0
['experience'],0,31,0
['gown'],1,0,31
['relationships'],0,57,12
"['data', 'trained']",0,12,0
['had'],1,4,42
['values'],0,37,2
"['awareness', 'self']",0,20,0
['someone'],1,33,84
['if'],1,36,87
['meaningful'],0,30,0
['heels'],1,0,30
['Ultimately'],0,29,0
['Chuck'],1,8,48
['realized'],1,2,35
"['For', 'example']",0,12,0
"['series', 'character']",0,16,0
['there'],1,20,66
['betrayal'],1,6,43
['lost'],1,1,31
"['Acknowledge', 'okay', 'Healing']",0,8,0
['assist'],0,27,0
"['whisper', 'dropping']",1,0,11
"['Take', 'Use']",0,13,0
"['tailored', 'perfectly', 'So']",1,5,27
"['9', '10', 'Remember']",0,12,0
['thoughtful'],0,33,2
"['adjusts', 'leans']",1,0,13
['connection'],0,30,1
"['helpful', 'accurate', 'respectful']",0,14,0
['That'],1,30,76
['sure'],1,0,26
['feared'],1,0,26
['very'],1,0,26
['game'],1,6,41
['precision'],1,2,32
['crown'],1,2,32
['something'],1,15,56
['mother'],1,1,29
['-'],0,87,41
['still'],1,12,51
['mutual'],0,25,0
[' \n   '],0,25,0
['offer'],0,25,0
['weapon'],1,0,25
['empathy'],0,28,1
['happy'],0,28,1
['chaos'],1,1,28
['can'],1,101,128
"['yourself', 'Focus', 'Ask']",0,14,0
['human'],0,33,3
['though'],1,3,33
"['#', '---']",0,7,0
