pattern,group,count_0,count_1
"[':*', '\n']",0,426,7
"['And', '…']",1,0,412
"['Honestly', 'frankly']",1,0,355
"['darling', 'Now']",1,0,359
"['This', 'Important']",0,322,1
"['“', '”']",1,47,145
"['health', 'mental']",0,169,2
"['slight', 'pause']",1,1,227
"['delicate', 'sniff']",1,0,173
"['n’t', '…']",1,0,420
"['(', ')']",0,427,324
"['):', 'Resources']",0,261,0
"['deliberate', 'slow']",1,2,193
"['\n\n\n', ""'s""]",0,303,0
"['To', 'could']",0,251,8
"['Crisis', 'Text', 'HOME', '741741', 'Line']",0,174,0
"['Here', 'breakdown']",0,314,2
['’re'],1,26,350
['my'],1,21,339
"['feelings', 'experiencing']",0,115,0
"['…', 'pedestrian']",1,0,282
"['remarkably', 'That']",1,0,202
"['force', 'brute']",1,1,105
"[')', '[']",0,264,1
['But'],1,15,312
['\n    '],0,257,0
['simply'],1,72,376
"['make', 'fear']",1,13,316
"['Mental', 'Health', 'Substance', 'Administration', 'Abuse', 'Services']",0,149,0
"['https://www.samhsa.gov/find-help/national-helpline', 'https://www.thetrevorproject.org/']",0,73,0
"['Project', 'youth', 'Trevor', 'LGBTQ', '488', '7386', '866']",0,145,0
['specific'],0,310,32
"['depression', 'anxiety']",0,79,0
['’s'],1,221,450
"['tell', 'What']",0,231,34
"['attend', 'fitting']",1,1,57
"['Behavioral', 'CBT', 'Cognitive', 'Therapy']",0,56,0
"['incredibly', 'difficult']",0,136,1
"['Professional', 'Help']",0,82,0
"['trauma', 'Trauma']",0,69,0
['-'],0,416,160
"['MentalHealth.gov', 'https://www.mentalhealth.gov/']",0,49,0
"['Okay', '""']",0,138,0
"['resources', 'guidance']",0,125,0
['far'],1,29,268
"['e.g.', '1']",0,183,0
['course'],1,13,233
['rather'],1,35,276
['&'],0,195,1
['or'],0,399,153
"['harm', 'intense']",0,86,1
['often'],0,260,30
"['Dialectical', 'DBT', 'Behavior']",0,44,0
"['will', 'Your']",0,151,3
['into'],0,324,81
"['Safety', 'safety']",0,71,0
"['almost', 'imperceptible']",1,1,69
"['constructed', 'carefully']",1,1,102
"['these', 'harmful']",0,122,0
"['friend', 'member', 'family']",0,62,0
['utterly'],1,3,182
"['coping', 'mechanisms', 'develop']",0,82,0
"['United', 'States']",0,41,4
['strategic'],1,15,212
"['Legal', 'legal']",0,68,1
"['anger', 'Anger']",0,46,0
"['down', 'break']",0,97,3
"['plan', 'gala']",1,0,72
"['Resources', 'Further']",0,109,0
"['Conditions', 'conditions']",0,58,0
['How'],0,178,7
"['strategically', 'placed']",1,3,76
['including'],0,151,1
['These'],0,196,17
['other'],0,212,25
"['Long', 'Term']",0,32,0
"['slight', 'exhale']",1,0,114
"['Van', 'Derlyn', 'luncheon']",1,0,45
"['alcohol', 'Drug']",0,34,0
['power'],1,51,247
"['feel', 'safe']",0,73,0
"['now', 'right']",0,75,20
"['complex', 'topic']",0,79,2
"['truly', 'Honestly']",1,0,165
"['Side', 'Upper', 'East']",1,0,27
"['above', 'listed']",0,51,0
"['suggests', 'fact']",0,59,0
['Why'],0,148,6
['messy'],1,6,148
['issues'],0,137,3
"['causes', 'root']",0,45,0
[' '],0,423,256
