pattern,group,count_0,count_1
"['(', ')']",0,188,19
"['slightly', 'cracks']",1,1,79
"['a', 'to', 'in']",0,274,232
"['sudden', 'wide']",1,0,87
"['4', '5']",0,67,5
"['Scott', 'Michael', 'chair', 'leans', 'eyes', 'back']",1,0,181
"['and', 'is', 'of']",0,231,107
"['—', 'can']",0,164,47
"['such', 'as']",0,80,5
"['the', 'for']",0,197,93
"['health', 'mental', 'professional']",0,46,18
"['reach', 'alone', 'out']",0,43,22
"['up', 'stands', 'he', 'slowly', 'like']",1,0,136
"['You', 'not', 'you']",1,150,193
"['to', 'If', 'you']",0,212,64
"['Why', 'Matters']",0,33,0
"['family', 'member']",0,26,11
"['?', 'And', ' \n', 'n’t', 'do']",1,84,135
"['“', '”', '’s', '*', '—', '\n\n', 'of', 'the', ' \n']",1,112,195
"['United', 'States']",0,21,2
"['not', 'from']",0,103,62
"['head', 'shakes']",1,0,24
"['tie', 'adjusts']",1,0,19
"['know', 'me', '\n\n']",0,80,49
"['at', 'one', 'it']",0,81,54
"['️', '>']",0,36,2
"['how', 'This']",0,68,1
"['big', 'small']",0,24,0
"[':', '---', '’s']",0,146,3
"['his', 'he']",1,15,65
['are'],0,172,42
"['by', ':', 'on']",0,81,6
"['Dwight', 'told', 'anyone', 'Jim', 'never', 'there', 'thing', 'even', 'one']",1,0,52
"['background', 'noise', 'To', 'looks', 'matter', 'does', 'feel', 'what', 'your']",1,0,40
"['wiping', 'tear', 'eye']",1,0,12
"['MORNING', 'DUNDER', 'MIFFLIN', 'LOVE', 'YOU']",1,0,9
"['showed', 'stayed', 'fixed', 'solved', 'single', 'everything', 'change', 'up']",0,16,0
"['learning', 'interested', ""'re""]",0,19,6
"['Manager', 'Regional']",1,0,12
"['powerful', 'most']",0,33,3
"['honored', '’d', 'be', 'no']",0,52,1
"['mock', 'seriousness']",1,0,15
"['confusion', 'pauses', 'wide']",1,0,21
"['whisper', 'has', 'voice']",1,0,79
"['has', 'whispers', 'was', 'voice', 'know', 'about']",1,0,111
"['step', 'guide']",0,18,1
"['already', 'moment', 'just']",0,42,0
['often'],0,55,1
