pattern,group,count_0,count_1
"['“', '”']",1,38,188
"['Dunder', 'Mifflin']",1,0,149
"['Michael', 'Scott']",1,0,131
"['I', 'my']",1,15,176
"['you', 'me']",1,16,145
"['And', 'just']",1,32,180
"['Regional', 'Manager']",1,0,43
"['I', '’m']",1,14,156
"['Oh', 'wow']",1,0,61
"['’ve', 'got']",1,1,84
"['tried', 'Dwight']",1,0,76
"['gon', 'na']",1,0,24
"['[', ']']",0,26,11
"['…', '’re']",1,9,99
"['Like', 'So']",1,0,83
"['break', 'down']",1,2,63
"['?', 'But']",1,28,135
['office'],1,1,99
"['know', 'You']",1,12,76
"['when', 'paper']",1,4,93
"['PowerPoint', 'presentation']",1,0,25
['about'],1,38,150
['like'],1,108,226
['stapler'],1,0,66
['do'],1,43,151
['get'],1,5,82
"['said', 'she']",1,0,44
['’s'],1,142,247
['It'],1,64,173
['little'],1,3,71
['Jim'],1,0,58
['once'],1,34,126
['trying'],1,5,71
['love'],1,17,95
"['let', 'Now', 'So']",1,6,69
"['lot', 'parking']",1,1,17
['!'],1,42,134
['mean'],1,5,68
['if'],1,67,165
['really'],1,2,56
['Scranton'],1,0,48
['*'],1,134,228
['who'],1,49,138
['good'],1,6,66
['kind'],1,10,75
['did'],1,21,96
['say'],1,20,94
['boss'],1,0,46
['here'],1,27,105
['people'],1,21,95
['make'],1,16,86
['coffee'],1,4,59
['what'],1,44,129
['Pam'],1,0,45
['it'],1,138,228
['up'],1,28,105
['thing'],1,11,74
['even'],1,55,141
['maybe'],1,4,56
['explain'],1,3,53
['Because'],1,12,74
['manager'],1,1,46
['because'],1,37,115
['guy'],1,0,41
['think'],1,13,74
"['’ll', 'excuse', 'go', 'Now']",1,0,33
['Office'],1,0,39
"['he', 'He', 'was']",1,8,39
['hey'],1,0,38
['—'],1,154,233
['such'],0,78,18
['’d'],1,7,56
"['’ve', 'been', 'was']",1,9,53
['bad'],1,3,45
['friend'],1,2,42
['yes'],1,8,57
"['Dundie', 'Awards']",1,0,10
['heart'],1,21,81
['honestly'],1,0,34
['your'],1,36,103
"['Dundie', 'Award']",1,0,7
"['Paper', 'Company']",1,0,10
['things'],1,6,51
['party'],1,3,43
['always'],1,14,66
['not'],1,146,220
['cried'],1,0,31
['feeling'],1,2,38
['going'],1,2,38
"['That', 'n’t', 'you']",1,9,129
['company'],1,4,43
['someone'],1,8,52
['still'],1,41,105
['saying'],1,5,45
['real'],1,54,121
['tell'],1,4,42
['best'],1,5,44
['how'],1,49,114
"['=', 'math', 'x']",1,1,13
"['MICHAEL', 'SCOTT', '–', ':*']",1,0,9
['remember'],1,17,67
['Just'],1,9,52
['Thus'],0,32,1
['gets'],1,1,32
['important'],1,2,35
['ever'],1,17,66
['right'],1,17,66
