pattern,group,count_0,count_1
"['(', ')']",0,20,7
['!'],0,38,1
['realm'],1,0,36
"[""'m""]",0,34,0
"[""n't""]",0,33,0
['queen'],1,0,32
['kingdom'],1,0,29
['weight'],1,0,27
['people'],1,2,30
['designed'],0,25,0
['Yet'],1,0,24
['responses'],0,23,0
['of'],1,21,44
['humans'],0,23,0
['like'],0,33,6
['—'],1,6,33
['provide'],0,25,1
['assist'],0,22,0
['Indeed'],1,0,22
"['1', '2', '3', ':']",0,22,1
['it'],1,11,37
"['Queen', 'Catherine', 'Response', ""'s""]",1,0,20
['the'],1,23,44
"['based', 'e.g.', 'on']",0,14,0
"['Let', 'know']",0,15,0
"['language', 'model', 'large']",0,10,0
