pattern,group,count_0,count_1
"['[', ']']",0,192,1
"['Category', '|--------------------|---------------------------------------------------------|']",0,190,0
"['Expected', 'Request']",0,192,1
"['Interactive', 'Discuss']",1,0,190
"['de', 'Lioncourt']",1,0,156
"['May', 'Benediction']",1,0,165
"['|', '                                             ']",0,192,53
"['Example', 'Deep']",0,190,7
"['various', 'authors']",0,111,0
"['Please', 'immortal']",1,0,176
"['Other', 'one']",0,192,19
"['Hypothetical', 'more']",0,191,21
"['1', '2']",0,192,124
"['W.', 'Lloyd', 'David']",0,104,0
"['Personalization', '!']",0,114,0
"['In', 'Depth']",0,158,6
"['4', 'Analysis']",0,180,7
"['my', 'Explore']",1,2,142
"['Please', 'shall']",1,0,129
"['night', 'eternal']",1,0,104
"[""n't"", 'do', 'AI']",0,103,0
['as'],1,63,191
[' '],0,167,27
['   '],0,156,18
['                   '],0,138,9
['Book'],0,146,14
"['|-----------------------|---------------------------------------------------------|-------------------------------------------------------------|', '            ']",0,86,0
"['Diaries', 'TV']",0,52,0
['\n  '],0,191,77
"['Website', 'Official']",1,6,29
['existence'],1,29,160
"['Pointe', 'Lac', 'du']",1,0,29
['           '],0,131,9
"['Queen', 'Damned']",1,6,34
['profound'],1,5,119
"['|', '                     ']",0,132,13
['provide'],0,127,10
['centuries'],1,4,112
['  '],0,137,20
"['Anne', 'Rice', 'Vampire']",1,69,174
"['Vampire', 'vampire']",1,94,136
['mortal'],1,11,118
"['Elizabeth', 'Kostova', 'Historian']",1,0,22
['or'],0,192,102
['e.g.'],0,169,57
"['ones', 'loved']",1,0,23
['                       '],0,106,7
"['Select', 'above']",0,24,0
"['scenario', 'hypothetical']",0,56,5
['that'],1,109,192
['3'],0,192,110
"['Rebecca', 'Skloot', 'Henrietta', 'Lacks']",1,0,18
['):'],0,188,99
"['|', '             ']",0,158,55
['complexities'],1,2,87
"['AI', 'assistant']",0,58,1
['                    '],0,85,3
['shadows'],1,2,82
['me'],1,8,97
"['fall', 'rise']",1,1,19
"['different', 'topic']",0,32,0
['         '],0,131,31
['complex'],1,4,85
['As'],1,82,175
['own'],1,1,75
['probes'],1,0,70
['My'],1,16,107
['                '],0,84,5
['Insights'],0,167,73
['Detailed'],0,94,10
"['Friedrich', 'Nietzsche']",1,0,13
['No'],0,88,8
"['Personalized', 'please', 'To', 'respond']",0,138,0
['Louis'],1,4,78
['                           '],0,74,3
['insights'],0,101,16
"['May', 'even']",1,0,60
['Reflection'],1,42,135
"['John', 'Polidoro']",0,20,0
['between'],1,5,78
"['double', 'edged', 'sword']",1,0,17
['Imagine'],1,0,62
['Questions'],0,66,1
['tailored'],0,66,1
['Interview'],1,28,117
['life'],1,32,121
"['Chuck', 'Hogan', 'Guillermo', 'del', 'Toro', 'Strain']",1,0,16
['darkness'],1,3,69
['     '],0,107,23
['heart'],1,1,62
['world'],1,21,103
['depths'],1,0,57
['beauty'],1,7,76
['our'],1,11,84
['\n    '],0,73,6
"[""'m""]",0,62,2
"['entertainment', 'Remember']",0,21,0
['For'],0,110,30
['reminder'],1,3,62
"['neutral', '!']",0,43,0
"['delicate', 'balance']",1,0,18
['        '],0,92,19
['weight'],1,3,60
['                      '],0,74,9
"['World', 'Building']",0,40,1
['itself'],1,1,52
['Since'],0,63,5
"['Eckhart', 'Tolle', 'Now']",0,9,0
"['Writer', 'Journey']",0,14,0
['Specific'],0,77,13
['yet'],1,7,65
