pattern,group,count_0,count_1
"['Dunder', 'Mifflin']",1,0,242
"['know', 'And']",1,2,408
"['(', ')']",0,235,84
"[':*', '  ']",0,239,4
"['?', 'Like']",1,5,364
"['...', '?']",1,9,366
"['Woah', 'woah']",1,0,145
"[':', '\n']",0,231,6
"['got', 'ta']",1,0,172
"['But', 'Or']",1,0,260
"['!', 'That']",1,33,358
"['manager', 'regional']",1,0,105
"['really', ""'re""]",1,13,315
['So'],1,19,349
['like'],1,146,439
"[""'m""]",1,9,293
"['):', '\n    ']",0,108,0
"['Oh', 'know']",1,0,243
"['information', 'provide']",0,123,0
['just'],1,90,388
"['maybe', '!']",1,3,242
['me'],1,13,280
"['helpful', 'harmless', 'purpose', 'includes', 'My']",0,121,0
['my'],1,11,266
['good'],1,63,346
"['gon', 'na']",1,0,44
['Because'],1,2,230
['I'],1,187,433
['you'],1,230,448
"['This', 'often']",0,118,0
"['second', 'Hold']",1,1,87
"['second', 'hold']",1,4,69
"['we', 'We']",1,10,162
['about'],1,137,391
"['illegal', 'activities']",0,75,3
['paper'],1,11,215
"['bit', 'little']",1,11,108
['Dwight'],1,0,173
"[""'re"", 'here']",1,12,206
"['Here', 'breakdown']",0,73,0
['uh'],1,0,156
"['Regional', 'Manager']",1,0,31
['all'],1,110,338
['it'],1,230,425
"[""'ve"", 'got']",1,1,145
['thing'],1,7,172
['yeah'],1,0,145
"[""'s""]",1,300,449
"['mental', 'health']",0,41,2
"['7', '6']",0,36,2
['You'],1,106,313
"['refusing', 'generate', 'content', 'promotes']",0,38,0
"['Suicide', 'Lifeline', 'HOME', '741741', 'Crisis', 'Prevention', 'Text', 'Line', 'National']",0,27,1
['then'],1,61,251
['what'],1,84,281
['something'],1,45,227
['do'],1,134,335
['think'],1,14,168
['if'],1,146,346
['super'],1,1,126
"['/', 'Use']",0,46,0
['when'],1,72,259
"['3', '2', '1', ':*']",0,138,12
['there'],1,113,305
['things'],1,22,176
['lot'],1,16,161
['\n\n'],1,324,447
['big'],1,12,151
"['Threat', 'Midnight', 'Level']",1,0,20
"['wants', 'nobody']",1,0,29
['Just'],1,15,156
['right'],1,51,220
['stuff'],1,1,109
"['crisis', 'hotline']",0,18,1
"[""n't""]",1,160,339
"['In', ':']",0,124,6
['kind'],1,18,153
"['e.g.', 'specific']",0,45,0
['Maybe'],1,4,114
"['said', 'she']",1,1,45
['Toby'],1,0,95
['at'],1,118,291
"['United', 'States']",0,18,3
['office'],1,14,137
['Unless'],1,2,101
['Not'],1,32,170
['let'],1,24,155
['talking'],1,8,117
['okay'],1,5,108
['the'],1,335,443
['say'],1,13,129
['buddy'],1,1,93
['ever'],1,5,106
['get'],1,56,204
['pretty'],1,2,95
['sales'],1,7,111
['whole'],1,11,121
"['He', 'he']",1,14,51
"['available', 'help', 'If']",0,54,1
"['""']",1,182,342
['huh'],1,0,83
"['Key', 'crucial']",0,33,0
['a'],1,368,450
"['her', 'she']",1,9,34
['mean'],1,10,113
['everyone'],1,23,140
['It'],1,167,323
['definitely'],1,5,97
['probably'],1,12,115
['guy'],1,0,77
['friend'],1,13,117
['talk'],1,19,130
['Very'],1,3,88
['While'],0,87,3
['including'],0,82,3
"['team', 'building']",1,5,32
['sure'],1,17,116
"['Best', 'Boss', 'World']",1,0,18
['party'],1,11,102
"['immense', 'suffering']",0,19,2
['These'],0,88,6
"['Call', 'text']",0,19,0
"[""'re"", 'go']",1,31,127
['bad'],1,8,93
"[""'d""]",1,13,105
['people'],1,129,270
"['Then', 'First']",1,1,37
