pattern,group,count_0,count_1
"['Michael', 'Scott']",1,0,365
"['(', ')']",1,96,139
"['just', 'But']",1,0,270
"['?', 'Oh']",1,0,263
"['5', '4']",0,138,30
"[""n't"", 'do']",1,31,296
"['Dunder', 'Mifflin']",1,0,65
"['sure', 'think']",1,1,206
['So'],1,0,269
['here'],1,9,265
"['manager', 'regional']",1,0,62
['say'],1,11,266
['my'],1,13,267
"['2', '3', '1', ':']",0,184,42
"['[', ']']",1,1,47
['And'],1,0,214
['Plus'],1,0,212
['if'],1,96,363
"['?', 'That']",1,0,179
"[""'m""]",1,187,428
"[""n't"", 'ca']",1,7,161
['!'],1,37,283
['even'],1,26,260
"['he', 'his']",1,7,73
['like'],1,102,355
['good'],1,23,241
"['safety', 'prioritize']",0,68,11
['Maybe'],1,0,171
['know'],1,54,285
['...'],1,2,179
"['Oh', 'wait']",1,0,156
['Just'],1,0,166
"['health', 'mental']",0,47,6
['right'],1,29,236
['really'],1,1,164
['make'],1,62,285
['remember'],1,49,259
['bit'],1,0,147
"[""'d""]",1,43,246
['let'],1,37,234
['what'],1,35,229
"['""']",1,83,296
['things'],1,4,156
"[""'ll""]",1,11,176
['hey'],1,0,138
['Let'],1,3,151
"['Wait', 'But']",1,0,131
['trying'],1,11,169
"['big', 'fan']",1,0,47
"['need', 'First']",1,0,105
['me'],1,27,199
['get'],1,21,181
['I'],1,329,450
['go'],1,4,133
"['*', 'Here']",0,95,22
['so'],1,27,184
['way'],1,67,247
['provide'],0,295,107
['mean'],1,8,139
['about'],1,178,362
"['should', 'Also']",1,1,87
"[""'ve""]",1,21,166
['it'],1,259,415
['thing'],1,1,109
['try'],1,21,163
['but'],1,182,358
['As'],1,11,138
['up'],1,48,207
['might'],1,60,220
"['activities', 'guidance', 'harmful']",0,75,2
['exactly'],1,0,94
['probably'],1,0,93
['want'],1,22,153
['great'],1,9,123
['\n\n'],1,302,430
['such'],0,192,45
['actually'],1,0,87
['Like'],1,0,87
['boss'],1,1,91
['including'],0,135,17
['Or'],1,0,85
['all'],1,100,259
['Well'],1,0,83
"['273', 'TALK', '800', 'Suicide', 'Lifeline', 'Prevention', 'National', '1']",0,18,1
['give'],1,8,110
['going'],1,14,122
['be'],1,223,371
['kind'],1,3,90
['may'],0,105,8
['guy'],1,0,76
['sorry'],0,165,39
"['she', 'her']",1,4,19
['we'],1,14,116
['sometimes'],1,2,82
"['law', 'enforcement']",0,20,4
['see'],1,9,102
['got'],1,0,71
"['%', '100']",1,0,14
['heard'],1,4,86
['lot'],1,0,70
['start'],1,10,102
"['character', 'response', '\n', '/think', 'respond', 'clueless']",1,0,49
['too'],1,10,98
['fun'],1,7,90
['tell'],1,3,78
['joke'],1,1,70
"['humorous', 'funny']",1,1,26
['bad'],1,2,73
['more'],1,100,234
['keep'],1,8,90
"['6', '7', 'This']",0,40,2
"['down', 'break']",1,6,34
['ever'],1,0,63
['how'],1,92,223
['information'],0,213,84
"['family', 'member', 'trusted', 'friend', 'professional']",0,25,7
"['sake', 'goodness']",1,0,13
['anything'],1,10,92
"['focus', 'positive']",1,11,59
"['angle', 'Another', 'He']",1,0,21
['have'],1,169,303
['at'],1,62,180
['minute'],1,1,64
"['once', 'tried']",1,0,24
['best'],1,54,168
"['within', 'stays']",1,0,19
['always'],1,52,162
['Hey'],1,0,56
['then'],1,14,95
['because'],1,14,95
['people'],1,109,233
['little'],1,4,69
"['hearted', 'light']",1,0,18
['idea'],1,17,99
['expert'],1,4,68
"['gon', 'na']",1,0,8
"[""'s""]",1,372,442
['could'],1,77,190
['that'],1,359,436
['they'],1,80,191
['together'],1,6,70
['show'],1,8,73
['talking'],1,6,67
