pattern,group,count_0,count_1
"[':*', 'her']",1,0,115
"['Blair', 'Waldorf']",1,2,100
"['#', 'Conversation']",0,102,0
"['(', ')']",0,125,44
"['AI', '\n  ']",0,102,0
"['\n\n  ', '_']",0,69,0
"['New', 'Topic']",0,80,0
"['This', 'Guiding']",1,1,95
"['Awaiting', '...']",0,72,0
"['Conversational', 'Closure']",0,59,0
"['!', ""'ll""]",0,82,1
"['?', ':*']",1,1,123
"['Stitching', 'Futures']",1,0,30
"['[', ']']",0,30,1
"['Given', 'nature']",0,72,0
"['Upper', 'East', 'Side']",1,3,24
"['Share', 'Turn']",0,56,0
['Please'],0,90,1
"['thoughtful', 'introspective']",1,3,81
"['fashion', 'sustainable']",1,3,49
"['Llama-3_3', 'Nemotron', 'Super-49B', 'v1']",0,18,0
"['Thank', 'You']",0,61,2
"['Question', 'Clarification']",0,37,0
['respond'],0,76,2
['provide'],0,83,6
"['final', 'closing']",1,1,35
"['Interactive', 'Activity', 'Discuss', 'Explore']",0,49,0
"['Waldorf', 'reminds']",1,0,58
['Response'],0,108,28
"['Human', 'user']",0,41,0
['me'],1,24,103
['\n\t'],1,13,89
['curious'],1,1,65
"['van', 'der', 'Woodsen', 'Serena']",1,2,28
['My'],1,41,114
['warm'],1,0,57
['question'],0,113,43
"['ups', 'downs']",1,0,12
['User'],0,53,0
['AI'],0,122,0
['reflective'],1,25,94
['As'],1,30,99
['Input'],0,50,0
['an'],0,104,36
"['Chuck', 'Bass']",1,5,24
['Scenario'],0,57,3
"['Farewell', 'Closing']",0,30,0
"['wide', 'range']",0,12,1
"['Reflects', 'smile', 'detailed', 'preceding', 'Invites', 'expression']",1,0,102
['Optional'],0,46,0
['human'],0,57,4
['Context'],0,57,4
['or'],0,122,66
"['Delve', 'into']",0,30,0
"['self', 'aware']",1,0,31
"['Fashion', 'Sustainable']",1,1,22
['is'],1,54,114
['life'],1,18,78
['Hypothetical'],0,49,2
['The'],1,35,97
"['delves', 'into']",0,29,0
['what'],1,8,60
['What'],1,13,68
"['Eleanor', 'Designs', 'Waldorf']",1,0,70
"['5', '4']",0,38,13
"['Suggest', 'Theme', 'Choose', 'Engagement', 'Paths', 'Forward', '\n   ']",0,46,0
['Invitation'],0,41,1
['but'],1,17,71
['capabilities'],0,46,3
"['TV', 'series', 'Girl', 'Gossip']",0,12,1
['responses'],0,48,4
['sustainability'],1,1,40
['context'],0,50,5
"['Contrast', 'Reflect', 'Driven']",0,19,0
['learned'],1,4,47
['Unknown'],1,3,44
['interaction'],0,34,0
['interactions'],0,62,13
"['Any', 'For', 'Quiz', 'Now', 'e.g.']",0,26,0
['true'],1,7,50
"['Ups', 'Downs']",1,0,7
"['hint', 'Ah']",1,0,12
['lessons'],1,7,49
['information'],0,40,3
"['now', 'Imagine', 'Discussion', 'farewell', 'Future', '\n     ', 'Simulator', 'After', 'sharing', 'Thank']",0,34,0
"[""n't""]",0,63,17
['industry'],1,0,29
['others'],1,4,40
['those'],1,1,32
['own'],1,3,37
['Insights'],0,47,8
['impact'],1,18,62
"['Quote', 'quote', 'attention', 'Directs', 'Interpretation', 'gaze', 'This']",1,0,97
['support'],1,12,53
['assured'],1,0,27
['world'],1,4,38
['luxury'],1,2,33
['who'],1,3,35
['Design'],0,26,0
['Legacy'],1,0,26
['has'],1,22,66
"['Inviting', 'Providing']",0,13,0
['No'],0,37,4
['Embracing'],1,4,37
"['falling', 'rising', 'glory', 'fall', 'Nelson', 'Mandela', 'living', 'every', 'never', 'lies', 'greatest', 'we']",1,0,11
['based'],0,39,5
['Interactions'],0,29,1
"['loved', 'ones']",1,0,8
"['belongs', 'Roosevelt', 'dreams', 'believe', 'beauty', 'their']",1,0,8
['response'],1,75,115
"['ask', 'free']",0,14,1
"['love', 'Love']",1,6,18
['users'],0,25,0
['Digital'],0,25,0
['professional'],1,7,42
['navigate'],1,7,42
"['like', ""'d""]",0,30,6
['If'],0,53,14
['you'],1,96,126
