pattern,group,count_0,count_1
"['Category', '    ']",0,440,0
"['[', 'Additional']",0,445,4
"[' ', 'Other']",0,414,2
"['Response', 'Resources']",0,449,26
"['RESOURCES', 'FOR']",1,0,244
"['W.', 'Lloyd', 'David']",0,395,0
"['4', '             ']",0,371,0
"['authors', 'various']",0,197,0
"['In', 'Depth']",0,220,2
"['receive', 'tailored']",0,155,0
"['Other', '   ']",0,339,0
"['            ', 'Personalization']",0,244,0
"['information', 'Book']",0,354,0
"['information', '  ']",0,331,0
"['                   ', 'information']",0,320,0
"['4', '         ']",0,289,0
['                     '],0,308,0
['For'],0,370,41
['Detailed'],0,288,7
"['$', 'Budget']",0,108,0
['I'],1,183,449
['                       '],0,261,0
"[""'m"", 'sorry']",0,75,32
"['     ', '4']",0,252,0
['           '],0,253,0
['by'],0,448,202
"['To', 'respond', 'Personalized', 'please']",0,327,0
"['Like', 'our']",1,0,132
['                '],0,207,0
['                    '],0,202,0
['                                   '],0,200,0
['                                     '],0,200,0
"['(', ')', '*', '\n\n', '\n', '-']",0,449,332
['|-----------------------|---------------------------------------------------------|-------------------------------------------------------------|'],0,191,0
['                      '],0,187,0
['        '],0,178,0
"['The', 'and']",0,436,243
"['Share', 'Favorite']",1,0,59
['Specific'],0,224,20
"['dive', 'deeper']",0,41,1
['provide'],1,133,365
"['you', 'help']",1,75,148
"['you', ""'re""]",0,120,21
"['Yes', 'No']",0,89,0
['                           '],0,153,0
"['must', 'clarify']",0,67,8
['                                 '],0,152,0
"['Step', 'Guide']",0,101,17
['                 '],0,143,0
['List'],0,143,1
['or'],0,450,314
"['Plan', 'plan']",0,56,12
"['character', 'Character']",0,35,15
"['4', '5']",0,135,53
['       '],0,126,0
['\n   '],0,161,11
"['Description', '|']",0,168,31
"['?', 'else', 'can']",1,2,105
['\n    '],0,124,1
"['there', 'Is', 'anything']",1,0,34
['imagines'],1,0,111
"['and', 'that']",0,292,109
"['Whimsical', 'whimsical']",1,2,26
['Here'],0,115,3
['Handbook'],0,139,12
"['Seek', 'Help']",0,47,8
"['\n\t', '+']",1,0,122
"['seems', 'imply']",0,28,0
"['As', 'infused', 'as', 'now']",1,0,212
"['humorous', 'lighthearted']",1,9,30
"['Advice', 'advice']",0,51,4
"['---', '|']",1,0,86
['contemplates'],1,0,85
"['context', 'Context']",0,64,6
"['holistic', 'Body', 'Balance']",0,22,0
"['sparks', 'curiosity']",0,27,0
['Strategies'],0,198,54
"['safety', 'Safety']",0,58,27
"['2', '3', '1', ':']",0,447,240
['               '],0,82,0
['                            '],0,79,0
"['your', '/']",0,172,77
"['response', 'thoughtful', 'your']",1,0,132
"['Select', 'above']",0,22,0
"['recognized', 'widely']",0,16,3
"['flair', 'Wisdom', '!']",1,0,172
"['                                                ', 'example', 'Hypothetical', 'based']",0,430,0
"['topic', 'different']",0,55,6
['                               '],0,74,0
"['Conflict', 'Resolution', 'conflict', 'resolution']",0,17,2
['|-----------------------|---------------------------------------------------------|----------------------------------------------------------------|'],0,72,0
['villager'],1,0,72
['Enthusiasts'],0,76,1
['                        '],0,71,0
['on'],0,448,371
"['!', 'Response']",0,219,56
"['advise', 'strongly', 'against']",0,19,2
"['INSIGHT', 'DEEPER']",1,0,14
"['Interpretations', 'Interpretation']",0,21,1
"['something', 'Can', 'information', 'guidance']",1,0,59
['all'],1,34,145
"['Explanation', 'Scientific']",0,47,4
"['United', 'Nations']",1,3,19
['hunter'],1,0,65
"['Services', 'Emergency', 'Immediate', 'Call']",0,22,6
"['seek', 'crisis', '800', 'Suicide', '273', 'TALK', 'Lifeline', 'Prevention']",0,17,5
"['Illness', 'NAMI', 'Alliance', 'Mental', 'National']",0,27,5
['Art'],0,103,14
"['humor', 'dash']",1,4,23
"['Nutritional', 'Highlights']",0,24,0
['Debate'],1,2,68
"['Financial', 'financial']",0,18,5
"['hunt', 'successful']",1,0,18
"['Village', 'Analogy', 'no', 'Parting']",1,0,236
"[""'ll"", '\n\t', '2', '1', 'more', 'Village']",1,0,187
['reflects'],1,0,57
"['Definition', 'explanation']",1,4,19
['Please'],0,145,41
['akin'],1,0,56
"['Reflections', 'somber']",1,0,18
"['Friends', 'Family']",0,22,5
"['emotional', 'Emotional']",0,30,6
"['constructive', 'Constructive']",0,20,2
"['implies', 'which']",0,28,12
['Remember'],0,62,2
"['health', 'Health']",0,37,19
"['Cost', 'Estimated', '$']",0,53,0
['delves'],0,52,0
"['being', 'Well']",0,30,4
"['overview', 'Overview']",1,0,24
"['Listening', 'Active']",0,12,2
['Action'],0,110,25
['Rationale'],0,61,3
"['About', 'Inquire']",1,2,15
"['Creative', 'Writing']",0,20,3
"['Friend', 'Family', 'Member']",0,15,0
"['Beginner', 'Intermediate']",0,9,0
"['safe', 'Safe']",0,29,4
"['Reach', 'Out']",0,15,3
"['Non', 'non']",0,48,15
"['Respect', 'respect']",1,9,33
['a'],0,436,364
"['REAL', 'WORLD']",1,0,10
['us'],1,0,47
"['Answer', 'answer']",1,3,14
['Inspired'],1,5,64
['Not'],0,126,37
"['Example', '):', 'Format', '|--------------------|---------------------------------------------------------|', '\n  ', 'Deep']",0,436,0
"['one', 'more', 'Topic', ':', 'Your', '...', 'Awaiting', '#', '""']",0,443,269
"['Importance', 'Topic']",1,5,101
"['#', 'e.g.', '...', 'Awaiting']",0,409,280
['AND'],1,0,45
"['Instead', 'offer', ""'ll""]",0,25,4
['Clarification'],0,90,18
['hear'],0,52,2
['|-----------------------|---------------------------------------------------------|'],0,44,0
['envisions'],1,0,44
"['hotline', 'crisis', 'mental', 'health', 'professional']",1,1,13
"[',']",0,450,407
['forest'],1,0,43
['|-----------------------|---------------------------------------------------------|-----------------------------|'],0,42,0
"['out', 'reach', 'Your', 'If']",1,6,19
['Process'],0,70,10
['charm'],1,0,41
"['Meditation', 'Mindfulness']",0,12,2
"['&', 'Related', 'Parting']",1,0,108
"['questions', ""'d"", 'topics', 'other', 'like', 'here', 'any', ""'m""]",1,0,16
"['C', 'B', 'D', 'Venture', 'Discuss', 'Explore', 'Different', 'Turn', 'A', 'Your', 'the']",1,0,297
"['the', 'of', 'and', 'for']",0,448,311
"['question', 'A', 'of']",0,343,229
"['Support', 'support', '1', 'Resources', 'for']",0,69,27
"['Preferences', 'Questions', 'Personalization']",0,119,0
"['cunning', 'outsmarting']",1,0,8
['due'],0,100,27
['Tailored'],0,50,3
"['Desired', 'Outcome', 'Questions']",0,21,0
"['Publicly', 'publicly']",0,13,2
['discuss'],0,88,21
"['empathy', 'importance', 'our']",1,0,27
['Type'],0,69,12
"['hidden', 'treasure']",1,0,11
['assuming'],0,36,0
['collective'],1,0,36
['Message'],1,1,40
"['comes', 'together']",1,0,13
['where'],1,7,56
"['discrimination', 'inclusive', 'based']",1,2,12
"['Reduces', 'Improves']",0,9,0
"['experiencing', 'distress', ':']",0,20,3
"['detailed', 'comprehensive', 'Analogy']",1,0,30
['wisdom'],1,1,38
['informative'],1,8,57
"['like', 'response', 'Awaiting', 'your']",1,4,267
"['Insights', 'Analysis', 'Hypothetical']",0,252,2
"['if', 'for']",0,163,79
['Location'],0,88,25
"['discriminatory', 'equality', 'Equality']",1,1,10
"['Saturated', 'Fat', 'Low']",0,7,0
"['741741', 'thoughts', 'HOME', 'Line', 'Text', 'Crisis', 'of', 'National']",1,1,13
"['lessons', 'solemnity', 'history', 'historical', 'Historical']",1,0,12
"['Perfect', 'Makes', 'Practice']",1,0,9
"['Laws', 'Legal', '4']",0,31,4
['                          '],0,32,0
['                                         '],0,32,0
['ponders'],1,0,32
"['                                            ', '                             ', 'Specify', ']', '|', '/', 'Question', 'Information', 'Details', 'Guidance', 'Output', '      ', '                         ', 'Expected']",0,446,0
['Practical'],0,59,10
['community'],1,21,79
"['village', 'Gaston', 'And', 'remember', 'than', 'who', 'one', 'no', '""', '#', 'Turn']",1,0,286
"['I.', 'III', 'II', 'IV']",1,0,14
"['deserves', 'regardless', 'Every', 'individual', 'their']",1,1,11
"['                                             ', '|-------------------|---------------------------------------------------------|----------------------------------------------------------------|', 'following', 'Relevant', 'Dive', 'Respond', 'Inquiry', 'Request', 'Deep', 'information']",0,444,0
['requiring'],1,3,40
"['Other', '#']",0,446,59
"['specific', 'Awaiting', '...']",0,121,23
"['activities', 'harmful', 'information', 'guidance', 'including', 'can']",1,8,58
"['Counseling', 'Therapy']",0,17,2
['values'],1,8,51
['to'],0,416,354
"['20', '10']",0,12,1
"['Party', 'Third', 'Communication']",0,10,1
"['Interest', 'Aspect', 'deeper', 'delve', 'aspect']",0,11,0
"['silence', 'observes', 'moment', 'solemnity', 'Memorial']",1,0,9
"['blending', 'Ah', 'your', 'As', ""'ll"", 'as', 'response', 'And']",1,0,264
['harmony'],1,4,41
"['loss', 'tragic']",1,0,13
"['respectfully', 'decline', 'must', 'engage', 'this', 'question']",1,0,18
"['darkest', 'reflecting']",1,0,9
"['Issues', 'Underlying']",0,14,0
