pattern,group,count_0,count_1
"['(', ')']",1,137,217
"['her', 'She']",1,14,146
"['Blair', 'Waldorf']",1,0,53
"['lips', 'smirk', 'faint', 'playing']",1,0,109
"['almost', 'imperceptible']",1,6,60
"['considers', 'she']",1,0,72
"['adjusts', 'invisible']",1,0,48
"['rather', '...']",1,2,94
"['Upper', 'East', 'Side']",1,0,22
"['I', 'my']",1,37,75
"['her', 'slight']",1,1,86
"['glint', 'eye']",1,4,34
"['always', 'One', 'must']",1,1,49
"['taps', 'manicured', 'finger', 'chin']",1,0,15
"['1', '2', ' ']",0,53,31
"['  ', ':*', '\n    ']",0,47,19
"['frown', 'brow']",1,1,14
"['4', '3', '5', '2', '1']",0,47,21
"['love', 'ca', 'fear', 'people', 'make', 'them']",1,0,26
['darling'],1,0,50
['Darling'],1,0,50
"['you', '?', ""n't""]",1,11,77
"['eyes', 'glint']",1,3,30
['strategic'],1,14,84
"['sculpted', 'eyebrow', 'perfectly', 'arch', 'A']",1,0,92
"['shift', 'topic']",1,1,23
['precision'],1,6,61
"['mild', 'look']",1,0,16
"['lies', 'expertise', 'appreciate']",1,0,16
['amusement'],1,1,38
['headband'],1,0,32
['delicate'],1,11,59
"['expression', 'thoughtful', 'A']",1,0,25
['usual'],1,2,36
"['My', 'dear', 'perfectly']",1,0,36
