pattern,group,count_0,count_1
"['C', 'B', 'A']",1,14,117
[':*'],1,104,226
"['respond', 'Please', 'chosen', 'letter', 'your']",1,0,77
"['Closure', 'Thank', 'Farewell']",0,14,1
"['Your', 'Turn', '!']",1,18,49
"['Response', 'Format']",1,24,61
"['Discuss', 'Explore']",1,5,21
['Gaston'],1,0,39
"['...', 'Waiting', 'Your']",1,3,32
"['One', 'Select', '?', 'option', 'Interactive', 'Your', 'Choice']",1,0,27
"['Please', 'provide', 'Your']",1,11,51
"['Now', 'Conversation']",0,9,0
"['Behind', 'Thinking', '---', 'Response']",1,0,29
