pattern,group,count_0,count_1
"['[', ']']",0,44,2
"['Parting', 'Quiz']",1,0,42
"['Question', 'Book']",0,40,0
"['infused', 'tone']",1,0,33
"[' ', '  ']",0,34,0
"['Example', '\n  ']",0,44,4
"['W.', 'Lloyd', 'David']",0,41,0
"['more', 'information']",0,44,5
['             '],0,36,0
['What'],1,3,38
['   '],0,32,0
"['In', 'Depth']",0,28,1
['Personalization'],0,30,0
['/'],0,44,14
"['Personalized', 'please', 'respond', 'To']",0,35,0
['            '],0,29,0
['                   '],0,29,0
['While'],1,1,31
"['❤', '️']",1,0,10
['based'],0,43,14
['Analysis'],0,33,3
['         '],0,27,0
['\n\t'],1,0,27
['e.g.'],0,43,15
['Your'],0,44,18
['is'],1,11,40
"['example', '...', 'Format', '):', '    ', '|--------------------|---------------------------------------------------------|', 'Category', '                                                ']",0,43,0
['           '],0,25,0
['                     '],0,24,0
['     '],0,24,0
['4'],0,41,14
"['TED', 'Talks']",1,0,12
"['?', '\n   ', 'Answer', 'Quick', 'Juno', '’s', 'b', 'c']",1,0,44
"['Other', 'Guidance', 'Information', 'Relevant']",0,43,0
['Response'],0,44,21
['---'],1,0,23
"['Topic', 'Deep', 'Specify', 'Inquiry', 'Respond', 'one', 'following', 'Request', 'Output', 'Awaiting', '|-------------------|---------------------------------------------------------|----------------------------------------------------------------|', 'Additional', 'Dive', '                                             ', 'Details', 'Expected', '                                            ', '      ', '                             ', '                         ']",0,44,0
['Hypothetical'],0,43,19
['Explanation'],0,27,2
['Specific'],0,28,3
['|'],0,44,23
['                       '],0,21,0
['                                     '],0,21,0
['        '],0,21,0
['👂'],1,0,21
"['Insights', 'into', 'Question']",0,37,3
