pattern,group,count_0,count_1
"['Now', 'Gaston']",1,0,401
"['me', 'Belle']",1,0,367
"['my', '...']",1,5,355
"['one', 'No']",1,15,377
"['Ah', '—']",1,1,265
"['Well', 'tell']",1,0,163
"['fights', 'Gaston']",1,0,246
"['heart', 'winning']",1,1,115
['like'],1,147,427
['hunter'],1,0,231
"['hunting', 'my']",1,0,201
['And'],1,4,213
"['say', 'Ah']",1,1,182
"['things', 'important']",1,0,130
"['laughs', 'winks']",1,0,61
['man'],1,1,186
['But'],1,21,242
"['\n\n', 'no']",1,64,302
"['“', '”']",1,6,28
['village'],1,3,189
"['’s', '’ll']",1,4,73
"[""'ll""]",1,64,301
['help'],0,218,26
"['’re', 'n’t']",1,12,60
['hunt'],1,2,171
"['chest', 'puffs']",1,0,44
"['\n  ', 'Ensure']",0,62,0
['myself'],1,1,161
['if'],1,170,393
"['matters', 'pressing']",1,0,64
['charm'],1,0,143
"['me', 'Like']",1,10,163
['I'],1,287,446
['let'],1,32,216
"['decline', 'afraid', 'As', 'must']",1,0,61
['Beast'],1,0,128
['LeFou'],1,0,120
"['and', 'to']",1,308,409
['greatest'],1,0,117
['have'],1,178,375
"['6', '7']",0,32,1
['Ha'],1,1,120
"['step', 'guide']",0,34,0
['!'],1,126,324
"[""'ve""]",1,21,174
['can'],0,323,163
['friend'],1,7,135
['including'],0,163,26
"['Example', '|']",0,41,2
['My'],1,11,142
['pursuits'],1,3,115
"['Tips', 'Additional']",0,30,0
['hunts'],1,0,99
"['health', 'mental']",0,27,8
"['two', 'thing']",1,0,44
"['/think', '<', 'think', '>', '\n\n']",1,133,435
"['\n\n', 'the', 'of']",1,291,400
"['the', 'do']",1,106,265
"['hint', 'leans']",1,0,22
['specific'],0,102,5
['greatness'],1,0,92
"[""'m""]",1,87,257
"['legal', 'Legal']",0,34,0
"['practicing', 'mirror']",1,1,30
"['important', 'matters']",1,0,85
"['Well', 'eh']",1,0,81
['well'],1,49,201
['certainly'],1,2,98
"['human', 'Human']",0,28,3
"['""']",1,172,345
"['Rights', 'rights']",0,22,1
"['admiring', 'reflection']",1,0,33
['due'],0,78,0
"['free', 'feel']",0,29,1
"['Let', 'me']",1,36,124
"['certain', 'bookworm']",1,0,39
"['knowing', 'insist']",1,0,22
"['Is', 'anything', 'there', 'else']",0,53,5
['based'],0,104,9
['tavern'],1,0,83
['just'],1,42,182
"['safety', 'Safety']",0,29,0
['bother'],1,0,81
['villagers'],1,0,79
['?'],1,208,368
['course'],1,7,103
['really'],1,1,79
['castle'],1,0,74
['even'],1,45,176
['other'],0,126,25
['possible'],0,70,1
"['ce', 'pas', ""n'est""]",1,0,12
"['too', 'busy']",1,0,28
['charming'],1,0,71
['more'],1,162,318
"['context', 'response']",0,36,1
['prowess'],1,0,68
['However'],0,81,6
['loudly'],1,0,67
"['fist', 'table']",1,0,17
"['equality', 'principles', 'discrimination']",0,16,1
['am'],1,3,78
['often'],0,81,7
['who'],1,51,175
['convincing'],1,0,64
['you'],1,330,437
['potential'],0,57,0
"['Response', 'Question']",0,21,0
['Here'],0,124,32
['For'],0,124,32
['got'],1,4,75
"['use', 'Use']",0,41,2
['she'],1,19,111
['beast'],1,0,58
['all'],1,134,274
['what'],1,64,186
"['come', 'crying']",1,0,15
"['premise', 'happy', 'must']",0,22,0
"['States', 'United', 'of']",0,26,5
"['Economic', 'economic']",0,14,0
['etc'],0,61,3
['either'],1,16,101
"['Health', 'health']",0,23,0
"[""n't""]",1,106,237
"['Support', 'support']",0,26,1
['*'],1,262,389
['mean'],1,13,93
"['pay', 'attention', 'because']",1,0,21
['beauty'],1,2,62
['beasts'],1,1,58
['Besides'],1,3,65
"['to', 'how']",1,104,149
['Conclusion'],0,47,0
['worthy'],1,0,52
['beautiful'],1,1,56
"['Physical', 'physical']",0,20,0
"['Follow', 'Up']",0,20,1
"['hypothetical', 'scenario']",0,16,0
"['fictional', 'character']",0,21,0
['personal'],0,69,8
['different'],0,71,9
"['#', '\n', '-']",0,185,23
['it'],1,177,309
['Or'],1,8,76
['within'],0,52,2
['real'],1,39,136
['petty'],1,0,49
['during'],0,57,4
['trophy'],1,0,48
['know'],1,57,162
['only'],1,33,124
['never'],1,16,92
"['planning', 'wedding', 'likes']",1,0,18
['forest'],1,2,55
['\n  \n'],0,42,0
['potentially'],0,46,1
"['1', '2', '3', ':']",0,234,127
"['So', ':']",1,21,112
"['wins', 'hearts']",1,0,16
['little'],1,1,50
['Just'],1,8,71
['nonsense'],1,0,45
['impact'],0,48,2
['access'],0,48,2
['mine'],1,2,53
['beneath'],1,1,49
['strength'],1,8,70
['That'],1,17,90
['a'],1,338,431
"['folk', 'common']",1,0,25
['that'],1,235,356
['an'],0,173,84
['win'],1,2,52
['true'],1,2,52
['admiration'],1,1,48
['Given'],0,39,0
"['goodness', 'sake']",1,0,10
"['NO', 'ONE']",1,0,8
['next'],1,18,90
['smile'],1,1,47
['This'],0,94,26
"['A.', 'B.', 'C.']",0,7,0
"['than', 'better']",1,12,61
"['pause', 'dramatic']",1,0,14
"['tied', 'hand', 'behind']",1,1,17
['impress'],1,0,42
"['individuals', 'regardless']",0,27,2
['deer'],1,1,46
"['Term', 'Long']",0,11,0
['great'],1,9,69
['understand'],0,64,10
['mustache'],1,0,41
['any'],0,145,64
['prevent'],0,37,0
['Consider'],0,37,0
['Action'],0,37,0
['when'],1,48,139
['include'],0,44,2
['on'],0,360,297
"['):', ':*']",0,44,8
['Key'],0,65,11
['genius'],1,0,40
['consider'],0,54,6
['experience'],0,40,1
['several'],0,36,0
['various'],0,36,0
['vary'],0,36,0
"['Research', 'research']",0,12,0
"['Understand', 'Identify']",0,17,2
['After'],1,38,121
['undeniable'],1,0,39
['typically'],0,39,1
['significant'],0,35,0
['remember'],1,14,77
['shall'],1,1,43
['crucial'],0,42,2
['using'],0,57,8
['legend'],1,2,46
['general'],0,34,0
['Other'],0,34,0
['understanding'],0,44,3
['related'],0,41,2
['by'],0,198,115
['always'],1,26,98
['laws'],0,51,6
['brawn'],1,0,37
"['hands', 'bare']",1,1,11
"['Pre', 'Post']",0,11,2
"['Preparation', 'Practice']",0,15,0
['her'],1,19,84
['illegal'],0,68,15
['woman'],1,3,47
"['information', 'provide', 'activities', 'harmful', 'guidance', 'else']",0,62,8
['lovely'],1,1,40
['applicable'],0,32,0
['high'],0,47,5
"['e.g.', '/', '2', '1']",0,97,0
"['5', '4', '3', '2', '1']",0,105,41
['each'],0,39,2
['probably'],1,7,57
['flex'],1,0,35
['ladies'],1,0,35
"['start', 'recalling', 'Okay', 'should']",0,14,0
['ensure'],0,61,12
['current'],0,35,1
['Many'],0,31,0
['significantly'],0,31,0
['highly'],0,38,2
"['looks', 'good']",1,1,29
['clarify'],0,50,7
['direct'],0,43,4
"['Mark', 'words']",1,0,11
['similar'],0,34,1
['ever'],1,5,50
"['Maybe', 'Wait', 'maybe']",0,17,1
['Scenario'],0,30,0
['Context'],0,30,0
['Who'],1,4,47
['those'],1,45,123
"['Also', 'Okay', 'user', 'maybe', 'sure']",0,16,0
['which'],0,105,42
['approach'],0,64,15
"['one', 'excuse', 'me', 'Now']",1,0,320
['If'],0,223,147
"['humans', 'concept']",0,15,0
['depending'],0,33,1
['Unless'],1,3,43
['heard'],1,3,43
['Considerations'],0,29,0
['groups'],0,29,0
['Based'],0,29,0
['Specific'],0,29,0
['unparalleled'],1,0,32
['…'],1,0,32
['fight'],1,1,36
"['Feedback', 'feedback']",0,10,0
"['privacy', 'consent', 'without', 'information']",0,14,0
['town'],1,2,39
['or'],0,370,326
['areas'],0,35,2
['own'],1,28,93
"['Biological', 'biological']",0,9,0
['contexts'],0,28,0
['sense'],0,49,8
"['suppose', 'Well']",1,0,47
['would'],1,91,182
"['refined', 'Belle']",1,0,59
['Check'],0,42,5
['nature'],0,42,5
['fellow'],1,4,44
"['\n   ', '-']",0,95,21
['Note'],0,34,2
['process'],0,48,8
['trophies'],1,0,30
"['attend', 'to']",1,2,126
['More'],0,39,4
"['\n    ', '\n  ']",0,26,0
"['method', 'Method']",0,15,1
"['please', 'Clarification', 'provide']",0,14,0
"['chuckles', 'smirks', 'Ah']",1,0,97
"['Interpretations', 'Interpretation']",0,7,0
"['biceps', 'my']",1,0,59
