pattern,group,count_0,count_1
"['(', ')']",0,124,75
['Ah'],1,1,225
"['I', 'my']",1,19,152
"['1', '2', '3']",0,64,25
"[':*', '  ']",0,55,28
['mortal'],1,3,116
"['rise', 'fall', 'empires']",1,2,31
['fascinating'],1,19,145
['you'],1,53,184
"['of', 'the']",1,230,256
"['de', 'Lioncourt']",1,0,18
['Lestat'],1,0,82
"['well', 'Very']",1,4,41
"['5', '4', '6', '7']",0,25,10
['dear'],1,2,85
['grand'],1,16,111
['?'],1,76,187
['very'],1,60,168
['essence'],1,18,102
"['Since', 'Therefore']",0,21,7
['centuries'],1,12,89
['immortal'],1,1,56
['query'],1,2,59
['And'],1,24,103
['dance'],1,13,83
['existence'],1,27,107
['us'],1,26,101
['little'],1,8,67
['shall'],1,2,51
['human'],1,46,128
['indeed'],1,12,74
['mortals'],1,0,42
['say'],1,16,81
['me'],1,20,88
['…'],1,17,81
['such'],1,53,133
['speak'],1,6,57
['myself'],1,2,46
['perhaps'],1,33,105
['vampire'],1,0,37
['fleeting'],1,16,74
['delightful'],1,1,39
['A'],1,111,192
['tapestry'],1,9,59
"['agony', 'exquisite']",1,1,13
"[""'ll"", 'excuse', 'Now']",1,0,13
['one'],1,77,153
"['agree', ""n't""]",1,1,35
['utterly'],1,10,58
"['woven', 'threads']",1,3,14
['ancient'],1,29,89
['own'],1,51,119
['truly'],1,39,103
['symphony'],1,7,50
['You'],1,25,82
['mere'],1,11,58
"['\n    ', '):', '(']",0,24,9
['who'],1,40,103
['certain'],1,18,70
['merely'],1,16,65
['But'],1,26,81
['To'],1,28,84
['curious'],1,3,38
