pattern,group,count_0,count_1
"['“', '”']",1,91,165
"['then', 'Pauses']",1,0,97
"['you', 'to', 'a']",0,267,218
"['alive', '’m']",1,0,155
"['4', '5']",0,59,11
"['be', '’d']",0,207,90
"['Let', 'me']",1,37,88
"['health', 'mental']",0,33,16
"['Juno', 'MacGuff']",1,0,26
"['n’t', 'And', ' \n', '’s', '?', '*', 'of']",1,94,184
"['it', ':', ' \n', '*']",0,166,117
"['United', 'States']",0,20,2
"['at', 'looks']",1,4,50
"[':*', '💡']",0,32,1
"['the', 'in', '—', 'and', 'of']",0,212,138
"['coffee', 'sipping']",1,0,17
"['Baba', 'O’Riley']",1,0,12
"['in', 'way']",0,106,73
"['says', 'finally']",1,1,27
"['or', 'help', 'and', 'you']",0,224,51
"['’re', 'do', 'just', 'not']",1,72,127
"['Not', 'eyes', 'be']",1,1,41
"['use', 'Use']",0,30,6
"['(', ')', 'the', '*']",1,126,203
"['6', '7']",0,17,0
"['—', 'like', 'or', 'is', ' \n\n', 'not', 'to']",0,144,66
"['\n\n', 'Would', '?', 'like']",0,138,0
"['If', 'happy', ' \n\n', '—']",0,72,17
"[""'re"", 'If', 'or']",0,79,27
"['many', 'often']",0,27,2
"['⚠', '️']",0,13,1
"['most', 'powerful']",0,34,11
"['alone', 'know', 'someone', 'not', 'You']",1,16,34
"['fun', 'playful']",0,25,3
"['when', 'It', 'moment']",1,26,51
"['request', 'assist', ""n't"", ""'m"", 'sorry']",0,110,32
"['Here', 'This']",0,32,1
"['clarify', 'gently']",0,18,2
"['🌿', '✨', 'to']",0,196,2
"['show', 'perfect']",1,11,26
"['mix', 'humor', 'to']",1,1,46
"['---', '#', '-', '\n\n']",0,63,3
"['So', 'That', '💫', '’s']",1,76,164
"['out', 'professional', 'support', 'reach']",0,18,3
"['imagined', 'listen', 'felt', 'share']",0,13,0
['…'],1,7,67
"['For', 'example']",0,15,0
"['Just', 'real', 'if']",1,16,63
"['long', 'term']",0,14,3
"['mischievous', 'twinkle', 'Grins']",1,0,15
['such'],0,48,2
['knowing'],1,3,49
"['love', 'while']",0,32,1
"['""']",0,62,9
"['💡', 'Pro', '!']",0,19,2
"['!', '😊', '✨']",0,59,3
"['\n\n', 'as', 'is', '’s']",0,62,0
"['pretending', 'stop']",1,0,15
['Well'],1,0,35
"['include', 'Key']",0,11,0
"['quiet', 'silence', 'when', 'in']",1,15,51
"['Tip', 'effective']",0,11,0
['are'],0,155,72
"['beautiful', 'honored']",0,24,0
"['by', 'from', 'not']",0,60,13
"['honesty', 'With']",1,1,18
"['if', 'But', 'not', 'So', ' \n']",1,32,101
"['explore', 'like']",0,89,3
"['was', 'did', 'know']",1,4,33
['including'],0,54,8
"['smirks', 'wink', 'Oh']",1,0,22
"['guide', 'step']",0,14,2
"['available', 'please']",0,14,3
"['presence', 'carry', 'what']",0,17,1
"['play', 'broken', 'record', 'yes', 'Because', 'sometimes', 'sound', 'song', 'thing', 'still', 'proves', 'skips', 'only', 'a', '—', 'And', ' \n\n', 'is', '(', ')']",1,0,197
"['go', 'You', 'how', 'do', 'So']",1,16,38
"['>', 'question', 'n’t']",0,53,2
"['honored', 'shows', 'one', 'That', 'about']",0,36,0
['more'],0,95,33
"['for', '’s', 'on', 'can']",0,74,14
"['🔹', 'means', 'how', 'can']",0,25,0
"['What', 'Do', 'your', 'You']",0,18,5
"['feel', 'seen', 'being', 'real']",1,8,24
"['truth', 'real', 'It']",1,23,73
"['2', '3', '1', ':', '—']",0,74,28
"['ritual', 'sacred']",1,0,7
['may'],0,32,1
"['sparkling', 'Grins', 'eyes', 'Oh']",1,0,19
"['Oh', 'matters', 'tell']",1,0,38
"['Raises', 'eyebrow', 'an', 'Oh']",1,0,8
"['soft', 'smile']",1,1,17
"['important', 'deeply', '💫']",0,22,1
['practical'],0,27,0
"['perhaps', 'Would', '?']",0,35,0
"['say', 'okay', '’m', 'matters', 'not']",1,2,86
"['history', 'were']",0,16,1
"['curiosity', 'appreciate']",0,9,0
"['While', 'A', 'if']",0,25,0
"['this', 'care', ' \n']",0,59,9
"['world', 'we', '’re']",0,30,6
"['simple', 'small', 'question']",0,24,0
