pattern,group,count_0,count_1
"['                                            ', '                             ']",0,272,0
"['9000', 'HAL']",1,0,257
"['Deep', 'Dive']",0,255,81
"['various', 'authors']",0,117,0
"['             ', '...']",0,210,0
"['Specify', 'Topic', '[', ']']",0,257,235
"['Book', '...']",0,213,2
"['   ', '         ']",0,156,1
"['                     ', '            ']",0,150,0
"['Database', 'Accessing', ':*']",1,0,176
"['                   ', 'Personalization']",0,128,0
"['receive', 'tailored']",0,70,8
['           '],0,176,0
"['I', 'simulate']",1,1,163
['                       '],0,165,0
"['    ', '     ']",0,166,3
"['  ', 'Other']",0,169,1
"['$', 'Estimated', 'Cost']",0,57,2
"['Preferences', 'Questions']",0,55,0
"['requires', 'like']",1,1,110
"['’s', 'Insight']",1,0,109
"['I', 'provide']",1,54,167
['                    '],0,118,0
['                                   '],0,117,0
['Detailed'],0,207,48
['|-----------------------|---------------------------------------------------------|-------------------------------------------------------------|'],0,116,0
['by'],0,264,112
['        '],0,125,3
['                                     '],0,113,0
"['question', '!']",0,66,0
"['Fiber', 'Protein']",0,26,2
['Insights'],0,212,57
['                '],0,105,0
['       '],0,105,0
"['Highlights', 'Nutritional']",0,42,0
['4'],0,266,128
"['Fat', 'Saturated']",0,20,1
['                      '],0,97,0
"['1', '2', '3']",0,276,256
['                                 '],0,96,0
['For'],0,159,33
['                           '],0,81,0
['                 '],0,80,0
"['Select', 'One', '):']",1,1,92
"['Budget', '$']",0,65,3
['spaceship'],1,0,76
"['Declarative', 'Interrogative']",1,2,12
['navigating'],1,3,84
"['Details', 'Inquiry', 'Example', 'or', 'Response']",0,242,144
['into'],0,205,85
['Handbook'],0,74,1
"['24', '21']",1,4,15
"['Given', ""'ll""]",0,44,4
['on'],0,267,165
"['High', 'Low']",0,44,10
"['Shift', 'Queries', 'Interactive', 'Focus', 'will', '_', '\n   ', 'Scenario']",1,0,228
['                            '],0,64,0
"['please', 'respond', 'Personalized', 'To']",0,140,1
"['aspect', 'discuss', 'specific', 'To']",1,1,108
"['Other', '\n   ']",1,45,85
"['balance', 'delicate']",1,0,19
['                        '],0,56,0
['|'],0,278,197
['                               '],0,55,0
['Aspect'],1,52,148
['Interest'],1,25,107
"['|--------------------|---------------------------------------------------------|', 'example', 'Category', 'Format', '\n  ', 'based']",0,230,0
['Analysis'],0,241,150
"['W.', 'Lloyd', 'David', 'Resources']",0,228,0
"['    ', 'Resources', ' ', 'more']",0,230,0
"['Nutritious', 'Items', 'Grocery', 'meal', 'Affordable', 'Friendly', 'pescatarian', 'List']",0,14,0
"['Confirmation', 'Received']",1,0,11
"['Expected', 'Output', '      ', '                         ', '                                             ', '|-------------------|---------------------------------------------------------|----------------------------------------------------------------|', 'Respond', 'information', 'one', 'Request', 'Relevant', 'Guidance', 'Information', 'following', '/', 'Details', 'more', 'Other']",0,253,0
"['further', 'explore', 'To', 'Inquiry']",1,1,114
"['Depth', 'In', 'Inquiry']",0,204,7
"['Hypothetical', 'e.g.']",1,186,235
"['Your', 'Awaiting', 'Response', '...']",0,268,2
"['Additional', 'Question', 'or']",0,251,95
"['B', 'Comparison']",1,0,20
"['term', 'long']",1,3,14
"['_', '\n  ']",1,7,115
['               '],0,41,0
"['Trigram', 'Overlap', '%']",1,1,12
['Guide'],0,48,2
"['“', '”', '’m', 'afraid', 'sorry', 'Dave', 'I', 'like']",1,0,214
['Description'],0,118,41
"['Available', 'Upon', 'Request', 'Full']",1,0,14
"['Inputs', 'Demo', 'Assumed', 'Customized', 'Input', 'Example', 'Response', '’m', '“']",1,0,159
"['Carl', 'Sagan', 'Cosmos']",0,8,0
"['seems', 'misunderstanding', 'there', 'your']",0,17,0
['|--------|---------------------------------------------------------|-------------------------------------------------------------|'],0,38,0
"['Linguistic', 'linguistic']",1,1,16
['this'],1,32,102
['complex'],1,5,53
"['Grilled', 'Vegetable', 'Vitamin', 'Carbohydrates', 'D', 'Portobello', 'Mushrooms', 'Quinoa', 'Digestive', 'Stir', 'Fry', 'Good', 'Rich', 'Health', 'Complex']",0,10,0
['The'],0,258,187
