pattern,group,count_0,count_1
"['Michael', 'He']",1,0,44
"['?', 'he']",1,0,42
"['(', ')']",1,14,44
"['eyes', 'his']",1,0,40
"['Dunder', 'Mifflin']",1,0,29
"['World', 'Best', 'Boss']",1,0,36
"['And', 'just']",1,0,36
"['1', ' ', '2', '3']",1,0,24
['...'],1,0,37
"['\n    ', 'Take']",1,0,17
['A'],1,0,36
['It'],1,3,40
['information'],0,35,0
['paper'],1,0,35
"['then', 'pauses']",1,0,23
"['Threat', 'Level', 'Midnight']",1,0,13
['Scott'],1,0,33
"['5', '4']",1,0,18
['good'],1,1,34
['personal'],0,30,0
['based'],0,30,0
['little'],1,0,30
['Oh'],1,0,30
['sales'],1,0,29
['data'],0,28,0
['Toby'],1,0,28
['You'],1,1,30
['sense'],0,27,0
['slightly'],1,0,27
"[""'re""]",1,1,29
"['puffs', 'chest']",1,0,13
['jokes'],1,0,26
['What'],1,0,26
['Like'],1,0,26
['But'],1,0,25
['out'],1,3,31
['responses'],0,24,0
['widen'],1,0,24
['face'],1,0,24
['Absolutely'],1,0,24
['sometimes'],1,1,26
['they'],1,0,23
['know'],1,6,33
['experience'],0,25,1
['people'],1,2,27
['trained'],0,22,0
['mean'],1,0,22
['one'],1,0,22
"['got', 'ta']",1,0,11
"['wide', 'grin', 'spreading', 'across']",1,0,11
['even'],1,4,29
['or'],0,44,23
['office'],1,0,21
"['Regional', 'Manager', 'Scranton']",1,0,11
['vast'],0,23,1
['makes'],1,0,20
['Or'],1,0,20
"['As', 'AI', 'an']",0,36,0
