pattern,group,count_0,count_1
"['“', '”']",1,31,188
"['…', 'my']",1,0,242
"['(', ')']",1,124,259
"['pause', 'measured']",1,0,171
"['It', '–']",1,12,257
"['‘', '’']",1,0,87
"['steep', 'fingers']",1,0,94
"['you', '?']",1,32,233
"['gaze', 'assessing']",1,0,124
"['I', 'A']",1,12,257
"['flicker', 'face']",1,0,68
"['us', 'Let']",1,0,151
"['1', '2']",0,77,21
"[':', '\n']",0,143,16
['slight'],1,2,181
['not'],1,59,258
['kingdom'],1,0,168
"['heavy', 'gown']",1,0,47
['must'],1,4,171
"['plainly', 'Speak']",1,0,42
['Do'],1,11,176
"['frown', 'brow']",1,0,41
['simple'],1,10,168
"[':*', ""'s""]",0,85,0
"['of', 'the']",1,156,290
['merely'],1,0,136
['My'],1,4,149
"['almost', 'imperceptible']",1,0,34
['subtle'],1,0,132
['this'],1,53,220
"['[', ']']",0,28,2
"[',', '\n\n']",1,193,289
"['the', 'is']",1,152,287
['me'],1,52,212
['a'],1,167,291
['matter'],1,0,115
"['head', 'turn', 'breath']",1,0,61
['it'],1,83,240
['Queen'],1,0,112
['curious'],1,0,110
"['head', 'inclination']",1,0,30
['realm'],1,0,109
['that'],1,73,226
['one'],1,26,166
['speaks'],1,1,107
['upon'],1,3,114
['even'],1,14,141
['weight'],1,2,110
"['mistake', 'for']",1,1,92
"['""']",0,100,0
"['Is', 'prompted']",1,0,43
"['3', '4']",0,39,13
['to'],1,164,283
['and'],1,162,282
"['well', 'Very']",1,0,41
['yet'],1,5,113
['with'],1,73,216
[' '],1,91,233
"['Here', '  ']",0,50,4
['matters'],1,0,93
"['silk', 'rustle']",1,0,19
['careful'],1,0,92
"['You', 'request']",1,0,54
['ruler'],1,0,88
"['`', '\n    ', 'Args', 'Returns', 'python', 'def', 'return', '):', '=']",0,31,0
"['robes', 'creasing']",1,0,20
['understand'],1,20,135
['gesture'],1,0,84
['seek'],1,0,84
['require'],1,0,84
['be'],1,50,178
['strength'],1,0,80
['And'],1,0,79
['But'],1,1,82
['perhaps'],1,8,103
['but'],1,27,139
['examine'],1,0,76
"['those', 'who']",1,0,36
"['responsibility', 'years']",1,0,35
['such'],1,6,94
['certain'],1,1,75
"['sharp', 'settles']",1,0,21
"['learned', 'lesson']",1,0,31
"['+', '=']",0,32,7
['attention'],1,1,73
['understanding'],1,5,86
['your'],1,11,98
['observation'],1,2,74
"['displeasure', 'crossing']",1,0,22
['see'],1,4,78
