pattern,group,count_0,count_1
"[')', '(']",1,67,96
"['let', 'Okay', '’s']",0,57,31
"['eyes', 'filled', 'sadness', 'profound', 'look', 'directly', 'at']",1,0,14
"['Do', 'want', '?', 'me', 'you', 'to']",0,28,8
"['gaze', 'distant', 'fixed', 'horizon', 'my', 'A', 'on', '–', '“', '”']",1,0,18
"['My', 'voice', 'almost', 'low', 'murmur']",1,0,10
"['pause', 'almost', 'imperceptible', 'A']",1,0,15
"['unreadable', 'expression', 'turn', 'back']",1,0,7
"['another', 'you', 'me', 'to']",0,27,9
"['remain', 'motionless', 'unsettling', 'radiating', 'me', 'from', 'profound']",1,0,11
"['understand', 'truly', 'Do', '?', 'teacup', 'My']",1,0,10
"['clink', 'echoing', 'room', 'sound', 'stillness', 'quiet', 'down', 'speaks', 'discomfort', 'movement', 'subtle', 'slightly', 'shift', '…', 'set', 'you', 'with', 'I', 'that', 'in', 'to']",1,0,15
