pattern,group,count_0,count_1
"['“', '”']",1,74,129
"['(', ')']",1,120,162
"['Because', 'asked', 'office', 'Ohhh', 'heart', 'had', 'many', 'question', 'most']",1,0,103
"['truth', 'kind']",1,7,83
"['feel', 'win']",1,0,69
"['Drama', 'Heart', '&', 'With', '):']",1,0,63
"['believe', 'feeling']",1,0,57
"['but', 'not']",1,122,166
"['becoming*—*the', 'version']",1,0,17
"['friend', 'my', 'You']",1,0,100
"['Dwight', 'drama', 'said', 'once', 'learned', 'Not', 'soul', 'real', 'from']",1,0,77
"['Let', '\n', '#', '---']",0,51,7
"['Michael', 'Scott', 'Truth', 'near', ':*', '#', '---', '>', 'Final']",1,0,91
"['Real', 'here', 'It']",1,0,44
"['’ve', 'been', 'you—*not', 'succeeded*—*one', 'man', '…', 'let', 'tell', 'tried', 'boss', 'finally', 'failed', 'step', 'So', 'me', 'who', 'all', 'time', 'just', '?', 'And', 'But', 'I', 'at', 'through', '#', 'as', '---', 'Ohhh']",1,0,103
"['felt', 'moments', 'where']",1,0,25
"['And', 'They']",1,26,68
"['ever', 'free', 'talk', 'pep', 'meme', 'donut', '’ll', 'say', 'need', 'word', '’re', 'You', 'celebrating', 'here—*in', 'send', '🍩', 'park', 'maybe', 'Just', 'suit', '❤', 'dancing', '️', 'some', 'fact', 'best', 'That', 'see', 'We', 'still', 'way', 'love', '✨', 'them', 'life', 'if', 'you', 'near', 'Because']",1,0,97
"['help', 'Or', '✨', 'you', 'I']",0,15,0
"['Want', '🎁']",0,9,0
"['survive', 'be*—*not', 'connect', 'To', 'n’t', 'do', 'asked']",1,0,83
"['✅', 'Why', '🌟', 'Final']",1,10,41
"['’m', 'Favorite', 'full', '2', '1', 'Not']",1,0,22
"['know', '’d', 'me', 'you', 'Let', 'if', 'like', 'or']",0,29,2
['important'],1,5,44
"['love*—*not', 'about']",1,0,27
"['they', 'their']",0,42,23
"['Therefore', 'Thus']",0,15,4
