pattern,group,count_0,count_1
"['exhale', '…']",1,0,446
"[':*', '\n']",0,426,4
"['slow', 'my']",1,2,447
"['2', '1']",0,378,2
"['deliberate', 'And']",1,0,422
"['fingers', 'n’t']",1,1,400
"['3', 'Here']",0,346,1
"['smile', 'lips']",1,0,213
"['This', 'Important']",0,322,0
"['“', '”']",1,47,141
"[""'re"", 'help']",0,248,0
"['mental', 'health']",0,169,2
"['imperceptible', 'almost']",1,1,221
"['velvet', 'worn']",1,0,156
"['Resources', '):']",0,261,0
"['chin', 'steepled', 'beneath']",1,0,247
"['breakdown', 'Here']",0,314,1
"['’', '‘']",1,1,101
"['pause', 'deliberate']",1,0,325
"[""'s"", '\n\n\n']",0,303,0
"['Crisis', 'Text', 'HOME', '741741', 'Line']",0,174,0
"['n’t', 'dear']",1,0,312
"['4', '3']",0,277,2
['But'],1,15,342
"['experiencing', 'feelings']",0,115,0
"['flicker', 'eyes']",1,0,177
"['Lifeline', '988', 'Suicide', 'Prevention']",0,107,0
['gaze'],1,1,275
"[':', '-']",0,411,46
['\n    '],0,257,0
"['force', 'brute']",1,1,109
['tracing'],1,0,251
['specific'],0,310,24
"['Project', 'youth', 'Trevor', 'LGBTQ', '488', '7386', '866']",0,145,0
['simply'],1,72,370
"['Mental', 'Health', 'Substance', 'Administration', 'Abuse', 'Services']",0,149,0
"['https://www.thetrevorproject.org/', 'https://www.samhsa.gov/find-help/national-helpline']",0,73,0
"['learned', '’ve']",1,0,138
"['anxiety', 'depression']",0,79,0
"['""']",0,242,3
"['let', 'Okay']",0,147,0
['Tell'],1,16,272
"['aspect', 'delve', 'deeper']",0,137,1
['’s'],1,221,449
['blunt'],1,1,226
"['candlelight', 'flickers', 'casting']",1,0,50
"['forward', 'lean', 'slightly']",1,1,93
['course'],1,13,255
"['information', 'guidance']",0,150,1
"['carefully', 'constructed']",1,1,142
"['Professional', 'Help']",0,82,0
"['Behavioral', 'CBT', 'Cognitive', 'Therapy']",0,56,0
"['Trauma', 'trauma']",0,69,0
"['difficult', 'incredibly']",0,136,1
['something'],1,125,389
['Such'],1,9,233
"['MentalHealth.gov', 'https://www.mentalhealth.gov/']",0,49,0
"['out', 'please']",0,120,1
['&'],0,195,0
"['emotions', 'Understanding']",0,100,1
['truly'],1,22,253
"['volumes', 'speaks']",1,0,51
"['hang', 'letting']",1,0,72
"['against', 'harm']",0,117,1
['or'],0,399,154
['e.g.'],0,184,0
"['fingers', 'steep']",1,0,180
"['herbs', 'dried']",1,1,50
"['family', 'member', 'friend']",0,62,0
['My'],1,174,406
"['coping', 'mechanisms', 'develop']",0,82,0
"['legal', 'Legal']",0,68,0
['rarely'],1,17,225
['mistake'],1,3,185
['A'],1,280,450
"['pedestrian', 'deliberate']",1,0,168
"['States', 'United']",0,41,2
"['Safety', 'safety']",0,71,0
"['Your', 'What']",0,157,4
['into'],0,324,87
['subtle'],1,10,201
"['air', 'hangs']",1,0,64
['far'],1,29,240
"['carefully', 'placed']",1,3,116
"['harmful', 'address']",0,100,0
"['mahogany', 'carvings', 'intricate']",1,0,47
['merely'],1,0,159
"['distress', 'going']",0,69,0
['Now'],1,40,251
"['feeling', 'overwhelmed']",0,69,0
"['Resources', 'Further']",0,109,0
[' \n\n'],1,2,162
['including'],0,151,0
"['now', 'right']",0,75,0
"['conditions', 'Conditions']",0,58,0
"['anger', 'Anger']",0,46,2
['potent'],1,2,158
"['intrusive', 'Thoughts']",0,43,0
['see'],1,72,286
"[""n't""]",0,359,142
['say'],1,29,219
['simple'],1,37,232
['How'],0,178,11
['I'],1,293,446
['That'],1,19,196
['remarkably'],1,4,155
"['Support', 'above']",0,75,0
"['Drug', 'alcohol']",0,34,0
['important'],0,190,18
