pattern,group,count_0,count_1
"['(', ')']",0,143,76
"['Lestat', 'Lioncourt', 'de']",1,0,46
"['vampire', 'blood']",1,0,89
"['I', 'And']",1,2,136
"['✅', 'Final']",0,102,13
"['#', '\n']",0,58,3
"['Let', 'us']",1,3,86
"['like', 'But']",1,22,124
"['\n\n', ':']",0,198,146
['centuries'],1,0,104
"['simple', 'I']",1,4,102
"['wine', 'sipping']",1,0,32
['world'],1,2,100
"['?', 'So']",1,38,124
"['✨', '🩸']",1,0,32
['elegance'],1,0,85
"['Step', 'Answer']",0,58,4
[' \n\n'],1,40,164
"['✨', '🌑']",1,0,23
"['”', '“']",1,0,15
"['’ll', 'excuse']",1,0,19
"['’s', 'Now']",1,20,86
['dark'],1,2,79
['shadows'],1,0,70
['…'],1,0,68
['soul'],1,0,66
['’ve'],1,1,70
['even'],1,26,123
"['whether', 'determine']",0,23,6
"['if', 'perhaps']",1,17,63
['truth'],1,2,66
"['number', 'numbers']",1,11,26
"['and', 'of']",1,142,215
['mundane'],1,0,57
"['empires', 'fall', 'rise']",1,0,13
"['than', 'more']",1,16,41
['seen'],1,1,58
['A'],1,47,142
['elegant'],1,0,51
"['has', 'who', 'vampire']",1,0,53
['night'],1,3,59
['precision'],1,0,47
"['spent', 'sipping']",1,0,26
['fire'],1,1,49
['one'],1,56,144
['Though'],1,0,44
['just'],1,25,99
['quiet'],1,0,43
['shall'],1,0,43
['tell'],1,0,42
"['$', '}', '=']",0,15,2
"['character', 'characters']",0,11,1
['most'],1,30,103
['life'],1,2,47
['yet'],1,3,50
"['—', 'but', 'not']",1,42,101
['pulse'],1,0,39
"['given', 'We', 'are']",0,55,21
"['compared', 'delightfully', 'how']",1,0,16
['with'],1,87,171
['It'],1,35,107
['whisper'],1,0,37
['examine'],1,3,47
['mortal'],1,0,36
['heart'],1,0,36
['undead'],1,0,36
"['my', 'dear', 'interlocutor']",1,0,26
['silence'],1,0,34
"['say', 'must', 'I']",1,4,70
['well'],1,9,58
['beauty'],1,1,37
['rhythm'],1,0,33
['kind'],1,0,33
"['the', ',', '.']",1,201,232
"['is', 'a', '.']",1,158,216
['little'],1,2,40
"['2', '1', '3', 'the']",0,82,44
"['candle', 'flickering']",1,0,11
"['For', 'example']",0,16,4
['moonlight'],1,0,32
['indulge'],1,0,32
['eternal'],1,0,32
['moment'],1,1,35
['still'],1,12,61
['curious'],1,0,31
['power'],1,3,41
['yes'],1,15,66
['time'],1,15,66
"['beautiful', 'like']",1,0,29
['forgotten'],1,0,30
['ancient'],1,0,30
['grand'],1,0,30
['touch'],1,0,30
"['suppose', 'must']",1,2,38
"['let', 'us', 'But']",1,2,50
['carries'],1,0,29
['merely'],1,0,29
['vampires'],1,0,29
['human'],1,1,32
['mere'],1,0,28
['truly'],1,0,28
"['---', '→', 'need']",0,23,3
['it'],1,109,179
['grace'],1,0,27
"['—', 'Ah', 'a', 'of']",1,2,201
['when'],1,19,68
['Still'],1,8,48
"['lived', 'through', 'not']",1,0,34
['Like'],1,2,33
"['’d', 'if']",1,0,25
"['me', 'you', 'I']",1,3,94
"['problem', 'check', 'says', 'possible', 'let', 'such', 'so', 'But', ""'s"", 'we', 'no']",0,12,2
