pattern,group,count_0,count_1
"['And', 'was']",1,0,43
"['“', '”']",1,0,35
"['Dunder', 'Mifflin']",1,0,27
"['if', '*']",1,2,43
"['once', 'Michael']",1,0,37
"['not', 'That']",1,0,39
"['Oh', 'So']",1,1,38
"['’s', '’m']",1,2,35
"['\n\n', 'mean']",1,0,37
"['(', ')']",1,3,21
['Scott'],1,0,36
"['But', 'Like']",1,0,30
['Dwight'],1,0,33
"['got', '’ve']",1,1,27
['or'],0,44,13
['office'],1,0,31
['my'],1,11,43
['😊'],0,30,0
['yeah'],1,0,30
"['when', '…']",1,0,26
['that'],1,11,41
['then'],1,0,27
"['parking', 'lot']",1,0,11
['It'],1,1,29
['me'],1,9,39
['at'],1,2,30
['even'],1,4,33
['did'],1,0,25
['’re'],1,0,25
"[""n't""]",0,33,5
['hey'],1,0,24
['paper'],1,0,24
['know'],1,5,32
['n’t'],1,5,32
['time'],1,2,27
"['an', 'AI']",0,9,0
['humans'],0,22,0
['Now'],1,0,22
['You'],1,1,24
['said'],1,1,24
['help'],0,26,2
"[""'m""]",0,36,10
['it'],1,21,43
[':'],1,2,25
"['PowerPoint', 'cried']",1,0,13
['one'],1,0,20
"['adjusts', 'tie']",1,0,11
['for'],1,9,34
"['once', 'had']",1,0,18
"['back', 'leans']",1,0,14
