pattern,group,count_0,count_1
"['Juno', 'MacGuff']",1,1,262
"['Up', 'Follow']",1,1,221
"['---', 'smiles']",1,0,217
"['one', 'suggestions']",1,0,214
"['House', 'Harmony']",1,0,113
"['own', 'continue']",1,0,163
"['New', 'Topic']",0,165,5
"['sharing', 'nods']",1,0,143
"['[', ']']",0,65,3
"['1', '2']",0,242,196
"['Closure', 'Conversational']",0,95,0
['AI'],0,207,0
"['#', '_']",0,118,0
"[':*', 'Ah']",1,0,151
"['User', 'Dear']",0,63,0
"['Interactive', 'Activity']",0,43,0
"['Response', 'Awaiting']",0,167,7
"['\n  ', '\n\n  ']",0,87,0
['?'],1,70,246
['Your'],0,229,52
"['exist', 'solely']",0,43,0
['reflecting'],1,7,161
"['Context', 'Provide']",0,94,11
"['Conversation', ""'ll""]",0,135,5
"['Llama-3_3', 'Nemotron', 'Super-49B', 'v1']",0,28,0
"['long', 'term']",1,3,33
"['would', 'what', 'could']",1,1,185
['there'],1,89,239
['journey'],1,14,156
"['well', 'being']",1,16,67
['think'],1,3,126
"['\n     ', '\n   ']",0,47,0
"['resources', 'recommend']",1,1,51
"['Explore', 'Discuss']",0,68,2
['’s'],1,8,129
"['softly', 'pauses']",1,0,59
['love'],1,12,132
"['mix', 'emotions']",1,2,72
['it'],1,53,189
"['relationship', 'open']",1,0,74
['context'],0,168,39
"['inquiries', 'assist']",0,35,0
['her'],1,3,100
"['Family', 'Therapist']",1,0,46
"['Thank', 'You']",0,62,2
['me'],1,49,176
"['effective', 'most']",1,0,39
['Clarification'],0,151,31
"['child', ""O'Connors""]",1,0,57
"['""']",1,168,259
['be'],1,84,208
['provide'],0,183,59
"['B', 'C']",0,16,0
"['facing', 'similar']",1,2,46
"['multi', 'faceted']",1,0,16
"['Given', 'Response']",0,101,10
['any'],1,102,219
['previous'],0,106,10
"[""'d"", 'like']",0,109,28
"['adoption', 'decision']",1,11,90
"['adoptive', 'parents']",1,6,43
"[""n't""]",0,174,58
"['feel', 'free']",0,52,6
"['Lesson', 'Learned']",1,6,26
"['Artificial', 'Intelligence']",0,17,0
['them'],1,3,80
"['Turn', 'Input']",0,43,0
['information'],0,111,17
"['Human', 'human']",0,31,0
['Hypothetical'],0,102,14
['What'],1,27,124
"['Else', 'Something']",0,20,1
['an'],0,207,101
"['wide', 'range']",0,15,0
"['takes', 'breath', 'deep']",1,0,16
['related'],0,93,12
['A'],1,127,224
['navigate'],1,5,76
['\n\t'],1,48,148
"['sorry', ""'m"", 'but']",0,45,14
['Laurel'],1,0,58
['seems'],0,93,13
"['time', 'over']",1,3,43
['your'],1,153,240
['interaction'],0,74,5
['taught'],1,0,57
['!'],0,135,40
"['Response', 'Invitation']",0,84,12
"['looks', 'puzzled']",1,0,14
['their'],1,22,107
['reflects'],1,2,63
"['Communication', 'Open']",1,3,36
"['physical', 'body']",0,30,1
['As'],0,96,17
"['healthy', 'maintain']",1,0,31
"['after', 'reviewing', 'find', 'could']",0,18,2
"['no', 'mention']",0,41,4
['/'],0,89,14
['Farewell'],0,69,5
['ensuring'],1,8,76
['challenging'],1,8,76
['Direction'],0,63,3
"['Making', 'Decision']",1,7,21
['Question'],1,154,236
['though'],1,5,67
"['letter', 'write']",1,0,13
['teens'],1,0,50
['process'],1,16,90
['life'],1,50,140
['respond'],1,160,238
['others'],1,7,69
['how'],1,31,112
"['groups', 'support', 'resources']",1,4,54
"['loved', 'ones']",1,3,17
['nature'],0,92,19
"['Information', 'General']",0,27,0
['my'],1,143,225
['capabilities'],0,62,5
['topic'],0,108,30
['prior'],0,59,4
['during'],1,9,71
['existence'],0,45,0
"['farewell', 'bid', 'simply', 'Optional']",1,1,26
['new'],0,128,45
['growth'],1,26,101
['Initial'],1,14,80
['challenges'],1,29,105
"['scenario', 'hypothetical']",0,41,12
['loving'],1,2,51
['are'],1,44,125
