pattern,group,count_0,count_1
"['“', '”']",1,1,102
"['’s', '—']",1,33,177
"['you', '’re']",1,2,124
"['’m', 'I']",1,0,143
"['down', 'break']",1,4,74
"['got', '’ve']",1,0,88
"['gon', 'na']",1,0,47
"['Oh', 'please']",1,0,71
"[':', '\n\n']",0,172,111
"['do', 'n’t']",1,8,88
"['But', 'if']",1,25,111
"['#', '\n']",0,63,10
"['my', 'mom']",1,2,58
"['2', '1', '3']",0,83,45
"[',', 'like']",1,35,158
"['more', 'than']",1,14,37
"['life', 'my']",1,0,55
"[',', 'the', '.']",1,181,209
['’d'],1,1,75
[' \n\n'],1,17,113
"['school', 'high']",1,1,17
"['explaining', 'who']",1,0,33
"['Juno', 'MacGuff']",1,0,15
['hey'],1,0,59
['Like'],1,1,63
"['kind', 'some']",1,0,36
['…'],1,0,57
"['existential', 'dread']",1,0,9
"['just', 'math']",1,0,50
"[""'s""]",0,80,10
"['We', '---', '=']",0,25,6
['baby'],1,1,52
['honestly'],1,0,45
['trying'],1,3,51
['It'],1,25,95
"['determine', 'analyze']",0,17,0
"['given', 'Step', 'are']",0,31,0
"['So', 'not', 'that', 'it']",1,22,113
"['how', '’ll']",1,2,30
"['real', 'who']",1,0,36
"['a', '.', '*']",1,123,193
"['Final', 'Answer', '✅', '*']",0,37,3
"['Let', '→', '-', '\n']",0,42,17
['thing'],1,8,57
['whole'],1,4,47
['little'],1,2,40
['say'],1,12,63
"['let', 'Alright', 'this', 'So']",1,0,40
"['}', '$', '=']",0,17,1
['still'],1,11,60
"['Therefore', '""']",0,47,9
['up'],1,13,62
"['since', 'fine']",1,4,19
"['think', 'You', 'not']",1,1,44
['about'],1,34,94
['way'],1,15,64
['out'],1,12,58
"['possibility', 'Alternatively', 'as']",0,10,1
"['4', 'find']",0,27,8
"['best', 'friend', 'my']",1,1,17
"[""'"", '`']",0,15,4
"['Not', 'even', '?']",1,6,28
"['me', 'asking', 'if']",1,4,53
"['just', 'That', '?', '’s']",1,6,89
"['?', 'And', 'I']",1,5,109
['mean'],1,6,43
['know'],1,10,51
"['perhaps', 'must', 'Wait', 'let', 'we', 'all', 'but', 'there', 'such']",0,12,2
"['yeah', 'So']",1,0,68
