pattern,group,count_0,count_1
"[""'s"", ' ']",0,173,0
"['scent', 'woodsmoke']",1,0,123
"['slow', 'exhale']",1,5,156
"[':*', '\n']",0,133,0
"['Okay', 'This']",0,135,0
"['air', 'sharper']",1,0,95
"['assessing', 'gaze']",1,0,105
"[':', 'Here']",0,116,0
"['…', 'And']",1,49,176
"['""', 'complex']",0,110,0
"['fingers', 'steepled', 'studying']",1,0,93
"['2', '3', '1']",0,69,0
"[""'ll"", 'try']",0,68,0
"['In', 'conclusion']",0,62,0
"['Witch', 'Trials']",0,42,0
"['’s', 'n’t']",1,3,80
"['large', 'model', 'language']",0,50,0
['&'],0,111,0
"['Do', 'mistake']",1,2,96
['based'],0,99,0
"['II', 'III', 'I.']",0,24,0
"['specific', 'elaborate']",0,48,0
"[':', '  ']",0,88,0
['lingering'],1,4,104
['):'],0,91,0
"['AI', 'information']",0,58,0
"['surface', 'beneath']",1,5,40
['-'],0,154,45
['However'],0,97,4
['important'],0,90,2
"['measured', 'low', 'voice']",1,0,37
['sense'],0,93,4
"['’', '‘']",1,0,20
"['Abigail', 'Williams']",0,20,5
['deeply'],0,78,1
['breakdown'],0,73,0
['context'],0,72,0
[' \n\n\n\n'],0,70,0
['personal'],0,84,5
['response'],0,72,1
['religious'],0,72,1
['process'],0,78,3
['question'],0,131,37
['crucial'],0,74,2
"[""'m""]",0,70,1
"[""'d""]",0,66,0
['present'],0,73,2
['–'],0,158,71
"['thinking', 'critical']",0,28,0
['down'],0,93,12
"['rim', 'pewter', 'tracing', 'cup']",1,0,24
['potential'],0,89,10
['or'],0,158,73
['how'],0,123,34
['people'],0,110,24
['being'],0,123,35
['about'],0,164,84
[';'],0,67,2
"['data', 'trained']",0,27,0
['answer'],0,79,7
"['trials', 'accused']",0,34,0
['\n\n\n\n\n'],0,57,0
['!'],0,57,0
['from'],0,155,74
['even'],0,135,50
['into'],0,131,46
"['cautionary', 'tale']",0,15,0
['also'],0,93,16
"[':*', '4']",0,50,0
['situation'],0,58,1
"[""'ve""]",0,69,5
"['practices', 'practice']",0,33,0
['human'],0,66,4
[' \n\n'],0,53,0
['beliefs'],0,75,8
['experience'],0,60,2
"['hysteria', 'mass', 'dangers']",0,25,0
"['traditions', 'diverse']",0,21,0
['history'],0,59,2
['could'],0,120,40
"[""'re""]",0,55,1
['incredibly'],0,51,0
['’ve'],1,0,51
"['smile', 'lips']",1,0,18
['possible'],0,54,1
['support'],0,54,1
"['Tourism', 'tourism']",0,10,0
['If'],0,77,11
"['afford', 'luxury']",1,1,23
['but'],0,163,94
['A'],1,129,178
['as'],0,166,100
['men'],1,12,78
['girl'],1,8,70
['The'],0,169,106
['on'],0,165,99
['actively'],0,51,1
['behavior'],0,47,0
['merely'],1,2,54
"['Gemma', 'DeepMind', 'Google', 'weights', 'created', 'open', 'team']",0,21,0
['towards'],0,46,0
['While'],0,56,3
['significant'],0,49,1
['topic'],0,45,0
['/'],0,45,0
"['Long', 'Term']",0,13,0
['common'],0,44,0
['individuals'],0,54,3
['might'],0,86,20
['part'],0,63,7
['motivations'],0,56,4
['key'],0,56,4
['Social'],0,43,0
['identify'],0,43,0
['lot'],0,50,2
['involved'],0,50,2
['create'],0,60,6
['responsibility'],0,55,4
['necessity'],1,8,64
['different'],0,92,25
"['content', 'responses', 'generate']",0,14,0
"['witchcraft', 'witch']",0,47,2
['harmful'],0,42,0
"['social', 'historical', ':*']",0,47,0
"['""', 'harm']",0,58,0
['helpful'],0,41,0
['explore'],0,41,0
['weakness'],1,9,64
['potentially'],0,40,0
['ethical'],0,40,0
"['ergot', 'poisoning']",0,8,0
['connection'],0,57,6
['remember'],0,59,7
['likely'],0,52,4
['still'],0,49,3
