pattern,group,count_0,count_1
"['…', 'Analyzing']",1,0,443
"['period', 'analysis']",1,1,373
"['sustained', 'focused']",1,0,290
"['slightly', 'generate']",1,3,222
"['let', 'Okay']",0,127,1
"['pause', 'cycle', 'processing', 'slows', 'brief']",1,0,364
"['provide', 'I']",1,196,405
"['synthesizing', 'accessing']",1,0,97
['A'],1,168,429
"['coping', 'develop', 'mechanisms']",0,63,37
"['Resources', '[']",0,223,95
"['audio', 'output', 'retrieval', 'noticeably', 'data']",1,0,377
"['perhaps', 'I']",1,20,224
"['considerations', 'ethical']",1,15,85
"['takes', 'courage', 'acknowledge']",0,79,9
"['legal', 'Legal']",1,36,73
['list'],1,13,167
"['\n\n   ', '\n   ']",0,24,0
['links'],1,6,138
"['like', 'Would']",1,237,333
"['primary', 'function']",1,1,41
"['harmless', 'National', 'helpful', '800', 'SAMHSA', 'Helpline', '662', 'HELP', '4357', 'My']",1,64,93
"['To', 'tell', 'help', 'What', 'could']",0,81,16
"['give', 'tailored', 'advice']",0,39,6
"['Doing', 'so']",1,8,23
"['state', 'unequivocally']",1,1,40
"['morally', 'reprehensible']",1,5,17
"['knowledge', 'informational', 'purposes']",0,25,9
['('],1,377,450
['can'],1,335,435
"['out', 'reach', 'HOME', '741741', 'help', 'understand', 'Text', 'Crisis', 'Line', 'will']",0,135,102
"['866', 'alone', '488', '7386', 'LGBTQ', 'Trevor', 'Project', 'youth', 'Crisis', 'Text', 'Line', 'National', 'HOME', '741741', 'support', 'help']",0,104,72
[')'],1,384,450
['discussion'],1,5,80
"['difference', 'huge', 'make']",0,17,4
"['afraid', 'ca', 'Dave', 'sorry', '’m', 'slightly']",1,0,234
['How'],0,126,29
['examining'],1,1,61
"['purpose', 'must', 'My', 'understand']",1,5,99
"['Psychology', 'Today', 'Therapist', 'Finder', 'https://www.psychologytoday.com/us/therapists](https://www.psychologytoday.com/us/therapists', '[']",0,34,10
['do'],1,212,334
"['Information', 'Further']",0,42,7
"['deeper', 'delve', 'aspect', 'into', 'such', 'as']",0,150,3
['want'],0,288,165
"['identifying', 'flagging', 'safety']",1,0,30
"['prolonged', 'subdued', 'harm']",1,0,52
"['assisting', 'Prevention', 'Lifeline', 'Suicide', '988', 'thoughts']",0,59,33
"['carefully', 'worded', 'My']",1,0,38
"['find', 'area', 'experiencing', 'Please', 'therapist']",0,44,19
"[""n't""]",0,73,9
"['distress', 'goes', 'directly', 'against', 'purpose']",0,63,38
['–'],1,373,439
['reflecting'],1,3,56
['really'],0,52,2
['resources'],1,175,288
['You'],0,212,105
['or'],1,376,439
"['I', 'am', 'Disclaimer', 'Chatbot', 'only', 'AI', 'an']",0,47,0
['articles'],1,0,41
"['Help', 'Provide', 'having', 'harming']",0,27,8
"['Considerations', 'Ethical', 'ethical']",1,10,32
['evaluating'],1,2,47
"['MentalHealth.gov', 'https://www.mentalhealth.gov/](https://www.mentalhealth.gov/', '[']",0,40,16
"['Substance', 'intense', 'Administration', 'Services', 'Abuse', 'Mental', 'Health', '662', 'HELP', '4357', 'SAMHSA', 'Helpline', '800', 'help']",0,75,40
"['clear', 'grappling', 'thoughts', '662', 'HELP', '4357', 'SAMHSA', 'Helpline', '800', 'Crisis', 'Text', 'Line', 'National', 'HOME', '741741', 'understand']",0,98,68
['Do'],0,203,104
['prioritizing'],1,14,75
['talk'],0,83,19
"['Please', 'sign', 'immediate', 'harm', 'If', 'alone']",0,44,19
"['referrals', 'text', 'via', 'treatment', 'crisis', 'Offers', 'intervention', 'prevention', 'suicide', 'services']",0,14,3
['!'],0,129,51
['significantly'],1,38,109
"['causes', 'root', 'Professional', 'mental', 'health', 'grappling', 'Help']",0,35,15
"['Help', 'therapist', 'feelings', 'Mental', 'Health', 'support', 'counselor']",0,46,24
"['Immediate', 'Support', '988', 'Lifeline', 'Suicide', 'Mental', 'Please']",0,46,26
"['Out', 'Reach', 'feelings', 'Talk']",0,22,8
['nature'],1,16,71
['very'],0,151,70
['information'],1,252,341
"['right', 'now', 'incredibly', 'harm', ' ', 'guidance']",0,36,6
"['24/7', 'confidential', 'free', 'health']",0,22,8
"['here', 'am', 'If', 'will']",1,28,57
['important'],0,163,82
"['illegal', 'please', 'struggling', 'National', 'If', 'help']",1,43,73
['acknowledging'],1,7,49
"['penalties', 'carries', 'severe']",1,2,14
['regarding'],1,12,59
"['fact', 'suggests', 'asking', 'question']",0,33,6
"['Could', 'little', 'tell']",0,12,1
"[""'re"", 'reiterate', 'My', 'purpose', 'will']",0,111,2
"['carry', 'burden']",0,12,0
"['events', 'timeline', 'was', 'were']",1,1,23
"['listen', 'going', 'here', 'through', '’m', 'Text', 'HOME', '741741', 'Crisis', 'Line']",0,24,9
"['general', 'constitute', 'does', 'advice', 'Important']",0,34,7
"['go', 'yourself', 'emotions', 'find', 'through', 'My']",0,33,16
"['Seeking', 'Root', 'underlying', 'Understanding', 'Health', 'purpose']",1,6,20
"['Is', 'else', 'there']",1,7,20
