pattern,group,count_0,count_1
"['B', 'C']",1,1,178
"['D', 'choose']",1,0,177
"['interest', 'Discuss']",1,0,173
"['Information', 'information']",0,178,3
"['    ', '):']",0,175,1
"['                         ', 'Deep']",0,178,6
"['details', 'Explore']",1,0,153
"['David', 'W.', 'Lloyd']",0,147,0
"['                             ', 'Book']",0,150,1
"['|', '                                             ']",0,178,62
"['various', 'authors']",0,86,0
"['1', '2']",0,178,122
"['In', 'Depth']",0,130,4
"['|', '------------------------------------------------------------']",1,0,92
"['If', 'you']",1,31,177
"['4', '             ']",0,159,7
"['deeper', 'delve']",1,2,85
"['intricate', 'web']",1,0,62
"['Insight', 'details']",1,2,141
"['Personalized', 'respond', 'To']",0,118,0
"['Loved', 'Ones']",1,10,32
"['                             ', 'Personalization']",0,110,0
"['do', ""n't""]",0,64,0
['Hypothetical'],0,178,66
['\n  '],0,177,65
"['4', '            ']",0,118,4
['Salem'],1,72,178
"['TV', 'series']",1,13,80
"['                             ', '                   ']",0,127,8
['Historical'],1,71,177
['e.g.'],0,163,45
"['explore', 'further']",1,0,55
"['ones', 'loved']",1,1,24
"['Eckhart', 'Tolle', 'Now']",0,26,0
"[""'m"", 'AI']",0,51,0
['Detailed'],0,115,9
"['Select', 'above']",0,27,0
"['Witch', 'Trials']",1,24,70
['Witches'],1,19,129
[' '],0,166,60
['Analyze'],1,2,96
['|-----------------------|---------------------------------------------------------|-------------------------------------------------------------|'],0,87,0
['Questions'],0,97,4
['                     '],0,125,20
['Inquiry'],0,177,90
['Analysis'],0,160,57
['  '],0,135,30
['                       '],0,104,9
['   '],0,133,29
"['book', 'game']",0,30,0
['           '],0,118,18
['intrigue'],1,2,84
['my'],1,24,123
['response'],1,87,172
['        '],0,87,5
['3'],0,178,108
['                    '],0,80,3
"['good', 'greater']",1,2,26
['Thoughtful'],1,0,67
"['Please', 'specify']",0,36,0
['\n    '],0,80,5
['complexities'],1,9,87
['those'],1,2,69
['Insights'],0,158,74
"['right', 'wrong']",1,0,16
['Figures'],1,3,71
['                                   '],0,68,2
['power'],1,14,93
"['Moral', 'Dilemmas']",1,8,39
['                '],0,76,6
"['has', 'navigated', 'who']",1,0,24
"['Official', 'Website']",0,15,4
['tailored'],1,66,148
"['century', '17th']",1,4,18
"['Moral', 'Ambiguity']",1,2,34
['         '],0,126,43
['character'],1,48,131
['community'],1,27,107
['that'],1,114,175
['alliances'],1,1,56
['between'],1,3,62
"['Double', 'Edged', 'Sword']",1,0,14
['’s'],1,0,50
"['gray', 'areas']",1,0,12
['specific'],0,77,11
"['fine', 'line']",1,0,13
['by'],0,177,125
"['""']",0,178,129
['provide'],1,130,178
"['different', 'topic']",0,22,2
['complex'],1,5,62
['Series'],1,16,83
['reflecting'],1,1,50
['shall'],1,0,46
"['guides', 'episode']",1,1,12
"['Good', 'Greater']",1,2,15
['----------------------------------------------------'],1,0,45
['often'],1,4,57
['protect'],1,3,54
"['Areas', 'Gray']",1,0,15
"['AI', 'assistant', 'As']",0,30,0
"['magical', 'Magical']",1,6,25
['actions'],1,17,79
['Since'],0,45,1
['please'],1,137,178
['                           '],0,58,6
['refers'],0,50,3
['nuanced'],1,3,50
['past'],1,3,49
"[""'s""]",1,139,178
['Art'],0,46,2
['4'],0,177,51
['insight'],1,3,48
['Handbook'],0,38,0
['receive'],0,38,0
['consequences'],1,0,38
"['scenario', 'hypothetical']",0,33,3
['influence'],1,7,57
['My'],1,16,73
['protection'],1,5,52
['     '],0,103,38
['survival'],1,0,37
['No'],0,74,17
['                             '],0,178,46
['Wiki'],1,4,49
['witch'],1,21,80
"['Writer', 'Journey']",0,14,2
['her'],1,1,39
['moral'],1,9,58
"['Format', '|--------------------|---------------------------------------------------------|', 'Example', 'more']",0,177,0
['more'],0,178,39
['within'],1,12,62
"['---', 'upon', 'interest']",1,0,178
"['Imagine', 'Alternate']",1,0,11
['mystical'],1,25,81
['Clarification'],0,59,11
"['balance', 'delicate']",1,0,14
['Through'],1,2,39
['threats'],1,0,32
['your'],0,73,20
"['      ', 'Topic', 'Expected', 'Dive', 'Output', '|-------------------|---------------------------------------------------------|----------------------------------------------------------------|', 'Category', 'Details', '                                            ', 'Relevant', 'Question', 'Guidance']",0,178,0
['fear'],1,5,46
['me'],1,9,54
"['World', 'Building', 'Fantasy']",0,27,0
['delves'],1,48,107
['&'],1,21,73
['understanding'],1,3,40
"['Budget', '$']",0,10,0
['Survival'],1,2,37
"['                                                ', 'example', '/', 'based']",0,174,0
['details'],1,27,177
['Alliances'],1,3,39
"['Modern', 'Contemporary']",0,13,3
['dangers'],1,1,33
"['book', 'Title']",0,17,0
['night'],1,1,32
['driven'],1,2,35
['share'],1,0,28
['at'],1,5,42
['Strategies'],0,82,30
['as'],1,56,176
['Preferences'],0,31,1
['Tips'],0,31,1
['true'],1,2,34
['both'],1,2,34
"['choices', 'difficult']",1,0,11
['assist'],0,27,0
['|-----------------------|---------------------------------------------------------|----------------------------------------------------------------|'],0,27,0
['Enthusiasts'],0,27,0
['                      '],0,61,16
"['Mary', 'Sibley', 'as', 'As']",1,0,173
['generalized'],0,30,1
['neutral'],0,26,0
['analyst'],1,0,26
['Character'],1,73,126
['forces'],1,2,32
['Fictional'],1,44,96
['blending'],1,1,29
"['personal', 'have']",0,47,15
"['seems', 'there', 'It', 'lack']",0,11,0
"['seems', 'reference', 'Please']",0,21,0
"['depths', 'probes', 'delve']",1,0,27
"['Author', 'author']",0,8,0
"['Resolution', 'Conflict']",0,14,3
