pattern,group,count_0,count_1
"['Gaston', 'fights']",1,0,260
"['man', '…']",1,8,249
"['(', ')']",0,214,124
"['No', 'one']",1,8,245
"['I', 'me']",1,65,262
"['Honestly', 'Gaston']",1,0,197
"['eligible', 'bachelor']",1,0,50
"['2', '3', '1']",0,96,28
"['I', 'Belle']",1,0,157
"['perfecting', 'physique']",1,0,75
"['frankly', 'one']",1,1,159
['!'],1,97,269
['Hmph'],1,0,139
['But'],1,41,216
['no'],1,50,224
['naturally'],1,11,165
"['Flexes', 'bicep']",1,0,39
['you'],1,104,267
"['4', '5']",0,57,20
['suppose'],1,2,137
['well'],1,34,199
['Though'],1,3,139
['strength'],1,28,186
"['[', ']']",0,29,10
['Now'],1,33,188
['like'],1,151,285
['hunting'],1,1,118
['understands'],1,2,113
['magnificent'],1,2,111
"['Okay', ' ']",0,81,0
['\n\n\n\n'],1,164,284
['see'],1,29,165
"['7', '6']",0,30,12
"['am', 'I']",1,11,126
['things'],1,26,156
"['’s', 'n’t']",1,69,105
['say'],1,18,141
['do'],1,49,186
['myself'],1,3,104
['stature'],1,0,89
"['beautiful', 'woman']",1,1,64
"['  ', ':*', '\n']",0,96,13
['village'],1,3,90
['waste'],1,1,81
"['eggs', 'dozen']",1,0,16
"['then', 'Right']",1,1,48
"['matters', 'attend', 'important']",1,0,28
['course'],1,7,89
['ask'],1,6,85
['A'],1,143,250
"['(', '):']",0,88,19
['understand'],1,47,155
"['#', ' ']",0,68,4
['most'],1,50,156
['really'],1,11,93
"['?', 'good']",1,15,110
['about'],1,99,207
['best'],1,16,100
['You'],1,40,138
['deserves'],1,0,57
"['<', '>', '=']",0,17,2
['Like'],1,8,79
['what'],1,67,168
['intellect'],1,0,53
"['polish', 'antlers']",1,0,16
"['closely', 'listen']",1,1,19
['Sounds'],1,0,50
"['the', 'of']",1,262,280
['crucial'],0,83,12
['hunter'],1,1,54
['Still'],1,2,57
['It'],1,159,248
['winning'],1,2,55
['superior'],1,2,54
['appreciate'],1,2,54
['impressive'],1,4,60
"['’ve', '’m']",1,7,33
"['She', 'she', 'her']",1,10,27
['bit'],1,24,99
['/'],0,77,12
['core'],0,61,5
"['consonant', 'clusters']",0,9,0
['’ll'],1,6,63
"['trigram', 'overlap', '%']",0,10,1
['Bah'],1,0,43
['strong'],1,47,130
['specific'],0,77,13
['hunt'],1,2,50
['even'],1,95,185
['all'],1,98,188
['beast'],1,1,46
['needs'],1,27,100
['tell'],1,8,65
['have'],1,94,183
['&'],0,81,16
['Preposterous'],1,0,41
['between'],0,92,23
['just'],1,60,143
['within'],0,106,32
['mine'],1,0,40
['little'],1,17,81
['worthy'],1,1,44
['e.g.'],0,40,0
"['got', 'Ask', 'day']",1,0,17
['everything'],1,26,95
['shall'],1,1,43
"['11', '12']",0,13,3
['town'],1,2,46
['one'],1,76,282
['-'],0,237,156
['perfection'],1,4,51
['impress'],1,0,37
['stag'],1,0,37
['who'],1,62,141
['truly'],1,39,111
"['And', '…', '?']",1,20,217
['deign'],1,0,36
['sounds'],1,7,56
['quite'],1,9,60
"['also', 'significant']",0,40,1
['handsome'],1,0,35
['thing'],1,7,55
[':'],0,200,119
['Well'],1,2,42
['sentence'],0,42,2
['come'],1,10,61
['often'],0,78,19
['used'],0,57,8
['structure'],0,57,8
"['?', 'my', 'I']",1,18,246
"['Trigram', 'Overlap']",0,10,0
['indulge'],1,1,38
['talk'],1,2,41
['want'],1,37,104
['someone'],1,17,73
['admiration'],1,0,33
['it'],1,202,264
"['Therefore', 'Since', 'we', ' ']",0,17,5
['muscles'],1,1,36
['greatness'],1,0,32
['anything'],1,10,58
"[""n't""]",1,111,187
[';'],0,81,23
['bear'],1,3,41
"['Important', 'Considerations', 'detailed']",0,15,0
['potentially'],0,46,5
['perfectly'],1,17,69
['complex'],0,90,30
['This'],0,184,109
['something'],1,51,118
['assure'],1,0,30
['province'],1,0,30
"['striking', 'pose', 'heroic', 'Flexes']",1,0,32
"['breakdown', ':*']",0,36,1
['such'],1,39,101
['So'],1,16,66
['prefer'],1,3,39
['doubt'],1,2,36
['proper'],1,2,36
['complicated'],1,2,36
['The'],0,221,151
['matter'],1,10,54
['perhaps'],1,19,70
"['Characters', 'Logline', ':*', '\n']",0,15,2
"['excuse', 'if']",1,0,69
"['any', ""'d"", 'Let', 'know', 'if']",0,36,1
"['glory', 'admirer', 'bask']",1,0,8
"['models', 'model']",0,17,3
