pattern,group,count_0,count_1
"['  ', ':*']",0,183,0
"['?', 'And']",1,6,249
"[':', '\n']",0,172,0
"['gon', 'na']",1,0,80
"['(', ')']",0,118,7
"['As', 'AI']",0,108,0
"['thing', 'whole']",1,1,155
"['just', '...']",1,6,195
"['(', '):']",0,96,0
"['Like', '?']",1,1,195
"['yeah', 'So']",1,0,104
"['just', 'But']",1,9,179
['personal'],0,172,8
['know'],1,56,232
['an'],0,213,45
['got'],1,7,153
['often'],0,134,1
['little'],1,25,176
"['Support', 'support']",0,55,0
"['he', 'He']",1,12,63
"['child', 'parent']",0,60,0
['have'],0,231,84
['really'],1,28,172
['pretty'],1,3,122
['guess'],1,1,114
['However'],0,109,0
['experiences'],0,109,0
['might'],0,159,22
['exactly'],1,3,118
"['Alright', 'so']",1,0,64
['then'],1,17,147
['you'],1,118,245
['my'],1,87,224
['weird'],1,3,111
['information'],0,103,1
"[""'m""]",1,36,171
"['/', ':']",0,94,0
['kid'],1,2,104
['emotions'],0,109,4
['experience'],0,116,7
"['Tic', 'Tacs']",1,1,18
"['5', '6']",0,23,0
['like'],1,139,248
['If'],0,116,11
"['figure', 'trying']",1,3,72
"['question', 'loaded']",1,0,35
['common'],0,89,2
['emotional'],0,107,9
['provide'],0,102,7
['stuff'],1,0,79
['out'],1,76,198
['me'],1,83,203
"['Vanessa', 'Mark']",1,11,37
['While'],0,79,1
['can'],0,195,77
['or'],0,248,150
['significant'],0,74,0
"['data', 'trained']",0,25,0
['Honestly'],1,2,82
"['immense', 'profound']",0,34,0
"['dad', 'stepmom']",1,1,28
['journey'],0,71,0
['mean'],1,17,114
['based'],0,70,0
['probably'],1,5,87
"['In', 'essence']",0,33,0
['right'],1,45,154
['feelings'],0,92,8
"['coping', 'mechanisms']",0,17,0
['maybe'],1,7,87
['ability'],0,79,4
['process'],0,109,18
['challenges'],0,63,0
['incredibly'],0,85,7
['This'],0,141,40
"['health', 'mental']",0,25,0
['good'],1,45,147
['complex'],0,66,1
['as'],0,150,48
['let'],1,14,98
['Or'],1,1,65
"['vast', 'amount']",0,21,0
"['socks', 'cotton']",1,0,14
['all'],1,66,170
['huh'],1,0,60
['kinda'],1,0,60
['Plus'],1,0,59
"['school', 'high']",1,2,21
['others'],0,57,0
['difficult'],0,57,0
['family'],0,99,17
"['System', 'safe']",0,21,0
"['minute', 'next']",1,0,21
"['bun', 'oven']",1,0,11
['from'],0,147,51
['Emotional'],0,54,0
['get'],1,25,109
['many'],0,67,4
['honestly'],1,3,64
['\n    '],0,53,0
['sarcastic'],1,1,57
['was'],1,83,180
['this'],1,113,207
['cool'],1,3,63
['It'],1,167,244
['physical'],0,62,3
['actually'],1,16,91
['kind'],1,41,129
['lot'],1,33,117
['such'],0,63,4
['offer'],0,65,5
['understanding'],0,72,8
['tiny'],1,7,69
['understand'],0,64,5
['?'],1,66,261
['deeply'],0,58,3
['still'],1,40,124
"['Grief', 'loss']",0,15,0
"['off', 'First']",1,1,28
"['circumstances', 'future']",0,28,0
['Ultimately'],0,45,0
['relationship'],0,63,6
['positive'],0,44,0
"[""'re""]",1,76,163
['individuals'],0,43,0
['total'],1,0,43
['totally'],1,0,43
"['self', 'Self']",0,24,0
"['rock', 'punk']",1,1,19
['I'],1,206,258
['Oh'],1,3,53
['Not'],1,26,98
['Lack'],0,42,0
"['Pregnancy', 'pregnancy']",0,21,1
['crucial'],0,55,4
['Many'],0,41,0
"['moly', 'holy']",1,0,12
['very'],0,79,16
"['Adoption', 'open']",0,24,0
['children'],0,44,1
"['Juno', 'MacGuff']",1,1,19
['connection'],0,50,3
['would'],0,124,47
"['her', 'she', 'She']",1,9,31
['likely'],0,49,3
"['Youth', 'Sonic']",1,0,8
['potential'],0,61,8
['help'],0,69,12
['…'],1,1,42
['going'],1,17,78
"['lead', 'leading']",0,20,0
['doing'],1,14,72
['sense'],0,112,40
['financial'],0,37,0
['unique'],0,50,4
['That'],1,29,96
['joy'],0,47,3
['it'],1,203,254
['up'],1,76,154
"['walk', 'park']",1,0,12
['environment'],0,40,1
['real'],1,29,94
['simply'],0,35,0
['Understanding'],0,35,0
['Therefore'],0,35,0
['access'],0,35,0
['least'],1,7,55
['Personal'],0,34,0
['e.g.'],0,34,0
"['Safety', 'safety']",0,12,0
['by'],0,108,41
['figured'],1,1,37
['perhaps'],0,33,0
['during'],0,33,0
['relationships'],0,43,3
['sure'],1,11,61
"['dread', 'existential']",1,0,9
"['model', 'large', 'language', 'As']",0,12,0
"['tie', 'shoes']",1,0,11
['powerful'],0,45,4
['awkward'],1,7,52
['not'],1,154,220
"['spontaneously', 'combust']",1,0,7
