pattern,group,count_0,count_1
"['?', 'you']",1,5,205
"['so', 'Alright']",1,0,159
"['(', ')']",0,79,38
"['So', ""'re""]",1,0,133
"[""'m"", 'I']",1,6,126
"['Like', 'me']",1,0,116
"['gon', 'na']",1,0,43
"[',', 'like']",1,22,195
"['the', '\n\n']",1,121,197
"['it', 'just']",1,9,133
"['kind', 'some']",1,0,74
"['Okay', 'so']",1,0,80
"['got', 'ta']",1,0,51
"['out', 'figure']",1,0,47
"[',', ""'s"", 'a']",1,58,211
"['=', '+']",0,34,9
"['know', 'I']",1,4,107
['huh'],1,0,99
"['1', '3', '2']",0,52,30
"[':', '\n']",0,95,50
"[""'re"", 'asking']",1,0,93
"[']', '[']",0,18,5
['That'],1,0,96
['It'],1,23,145
"['{', '}']",0,17,1
"['break', 'down']",1,8,22
"[',', 'and']",1,89,183
['And'],1,3,96
"['Tic', 'Tacs']",1,0,16
['yeah'],1,0,77
['pretty'],1,0,77
"['Args', 'Returns']",0,13,0
"['\n\n    ', '\n        ']",0,16,1
"['But', 'on']",1,3,64
"['got', ""'ve""]",1,0,46
"[""'ll"", 'excuse', 'Now']",1,0,21
['if'],1,38,152
"['my', 'I']",1,7,100
['that'],1,63,182
['.'],1,180,277
"['4', '5', '6']",0,22,8
"['do', ""n't""]",1,7,68
['You'],1,8,90
"['thing', 'whole']",1,0,33
['about'],1,15,104
['right'],1,8,88
['something'],1,8,86
"['see', '...', 'Let']",1,0,53
['little'],1,1,63
"['""']",1,81,187
"['...', ""'d""]",1,1,44
['one'],1,28,114
['definitely'],1,0,52
['what'],1,13,86
['Yeah'],1,0,50
"['existential', 'dread']",1,0,11
['really'],1,5,65
['those'],1,4,62
"['Juno', 'MacGuff']",1,0,14
"['we', 'To']",0,25,0
['Or'],1,1,50
"[':*', '  ']",0,36,8
['your'],1,11,75
['want'],1,8,68
['up'],1,13,78
"[""n't"", 'does']",1,19,39
"['pressing', 'matters']",1,0,7
"['hold', 'minute']",1,0,13
"['trying', 'to']",1,1,73
['math'],1,0,40
"['calculator', 'human']",1,0,15
['probably'],1,0,39
['pregnant'],1,0,38
['but'],1,34,105
"['def', 'return', 'python', '#', '`', '):', '\n    ', '=']",0,19,1
['go'],1,6,55
"['to', 'of', ',']",1,77,168
['get'],1,6,53
['tell'],1,0,34
['they'],1,20,79
['good'],1,7,54
['Not'],1,5,49
"['science', 'rocket', 'exactly']",1,0,22
['Well'],1,0,33
['maybe'],1,0,32
['more'],1,18,73
['play'],1,2,39
['think'],1,2,39
['say'],1,10,58
"['\n            ', 'input']",0,9,0
['Because'],1,1,35
"['not', 'or', 'it']",1,31,81
['life'],1,0,29
['at'],1,22,75
['talking'],1,1,32
['big'],1,0,28
['with'],1,48,110
['going'],1,2,34
['looking'],1,2,34
['stuff'],1,0,27
['be'],1,54,117
['What'],1,4,39
['Just'],1,1,30
"['Sounds', 'a']",1,0,29
"['If', 'This', 'Let', 'are']",0,19,4
