pattern,group,count_0,count_1
"['\n', '#']",0,185,7
"['<', '/think', 'think', '>']",1,133,425
"['my', '—']",1,1,239
"['Oh', 'wow']",1,0,105
"['4', '5']",0,105,43
"['But', '...']",1,5,171
"['“', '”']",1,6,36
"['got', ""'ve""]",1,1,131
"['provide', 'information']",0,144,18
['Juno'],1,0,189
['adoption'],1,0,188
"['just', 'mean']",1,0,166
['pregnancy'],1,3,189
"['First', 'off']",1,15,92
"['1', '2', '3', ':']",0,234,107
"['Ensure', '\n  ']",0,62,0
['baby'],1,1,155
"['trusted', 'adult']",1,5,42
['know'],1,57,267
"[""'m""]",1,87,302
['pregnant'],1,2,149
['okay'],1,3,152
"['’s', 'n’t', '’re']",1,8,78
"['whole', 'thing']",1,0,77
['me'],1,52,247
['I'],1,287,433
['stuff'],1,1,131
['really'],1,1,130
"['gon', 'na']",1,0,20
"['[', ']']",0,22,9
"['United', 'States']",0,26,3
['weird'],1,1,124
['Like'],1,13,161
"['cents', 'two']",1,0,33
['things'],1,7,137
['Just'],1,8,139
"['Example', '|']",0,41,0
['That'],1,17,155
['including'],0,163,26
['like'],1,147,330
"['Jason', 'Bateman']",1,0,29
"['6', '7']",0,32,2
"['Tips', 'Additional']",0,30,0
['\n\n'],1,305,428
"['parents', 'adoptive']",1,0,30
['life'],1,56,210
['super'],1,0,90
['as'],0,216,71
"[""n't""]",1,106,274
['hey'],1,0,88
"['eat', 'pizza']",1,0,26
['about'],1,149,314
['do'],1,107,267
"['legal', 'Legal']",0,34,0
['honestly'],1,0,79
"['enough', 'plate']",1,1,29
['maybe'],1,25,145
['due'],0,78,1
"['raises', 'concerns']",0,16,4
['However'],0,81,2
"['Pro', 'Tip']",1,0,22
"['sorry', 'ca']",1,6,50
['exactly'],1,3,88
['that'],1,235,378
['MacGuff'],1,0,74
"['’ve', '…']",1,0,27
['pretty'],1,3,85
['?'],1,208,355
['talking'],1,3,84
['here'],1,68,205
"['had', 'Oh']",1,3,93
['going'],1,5,88
['out'],1,91,232
['own'],1,28,139
['Plus'],1,2,77
['can'],0,323,202
['probably'],1,7,92
['And'],1,4,83
"['safety', 'Safety']",0,29,3
"['folk', 'indie']",1,1,17
"['harmful', 'activities', 'guidance', 'else', 'help']",0,62,3
['Key'],0,65,1
['talk'],1,5,83
['dealing'],1,5,83
['Uh'],1,0,64
"['rolls', 'eyes']",1,0,17
"['Question', 'Response']",0,21,0
"['feeling', 'overwhelmed']",1,1,21
['A'],0,104,18
['who'],1,51,168
['Unless'],1,3,73
"['\n   ', '2']",0,95,22
['say'],1,6,82
['it'],1,177,315
['trying'],1,3,72
['Anyway'],1,0,59
['guess'],1,3,70
['specific'],0,102,19
