pattern,group,count_0,count_1
"['Relevant', 'Guidance']",0,43,0
"['[', ']']",0,44,2
"['one', 'Awaiting']",0,44,1
"['Vampire', 'Discuss']",1,0,39
"['Action', ""'ll""]",1,1,43
"['as', 'centuries']",1,0,39
"['Interactive', 'Explore']",1,0,38
"['!', 'Response']",0,40,1
"['                                             ', '|']",0,44,13
"['Example', 'Book']",0,40,1
"['W.', 'Lloyd', 'David']",0,41,0
"['Information', 'e.g.']",0,42,0
"['To', 'please', 'Personalized']",0,35,0
"['TED', 'Talks']",1,0,14
['Insights'],0,38,3
['New'],1,11,44
['Hypothetical'],0,43,9
"['1', '2', '3']",0,44,23
"['In', 'Depth']",0,28,6
['4'],0,41,7
['probes'],1,3,36
['  '],0,37,5
['Personalization'],0,30,1
"['    ', 'based', 'Category', 'Inquiry', '|--------------------|---------------------------------------------------------|', 'Format', '                                                ', 'example']",0,43,0
['):'],0,43,16
"['do', ""n't""]",0,20,4
['                   '],0,29,2
['mortal'],1,0,24
[' '],0,38,10
"[':*', 'May', '---', 'Benediction', 'Letter', 'Chosen', 'Transition', 'Please', 'C', 'D', 'immortal', 'Lestat', '’s', 'B']",1,0,44
['            '],0,29,3
['Explanation'],0,27,2
"['|', '             ']",0,36,18
['night'],1,0,22
"['various', 'authors']",0,14,0
['   '],0,32,6
['AI'],0,43,20
['eternal'],1,0,21
"['      ', '                         ', 'Other', 'Request', '                             ', 'Deep', 'more', 'information', 'Question', '/', 'Dive', '...', '                                            ', '|-------------------|---------------------------------------------------------|----------------------------------------------------------------|', 'Details', 'Expected', 'Output', 'following']",0,44,0
"['Being', 'Age', 'Artificial']",1,0,7
