pattern,group,count_0,count_1
"['“', '”']",1,47,175
"['(', ')']",1,164,210
"['where', 'moments']",1,0,63
"['Drama', 'Heart', '&', 'With', '):']",1,0,131
"['win', ':*']",1,1,129
"['\n', '#']",0,151,24
"['’s', 'Final', '---', '#', '>']",1,77,188
"['learned', 'Dwight', 'drama', 'soul', 'said', 'once', 'real', 'Not', 'from', '—']",1,0,149
"['version', 'becoming*—*the']",1,0,23
"['Numbers', 'numbers*—*not']",1,0,18
"['Real', 'truth']",1,1,73
"['truth', 'kind', '?', 'feeling']",1,0,142
"['can', 'be']",0,44,18
"['meant', 'cried']",1,0,12
"['me', '✨', 'if', 'you', 'step', 'need', 'Michael', 'Scott', 'way', 'Truth']",1,0,178
"['Answer', '\n\n', '✅']",0,131,76
"['it', 'not', '✅']",1,73,170
"['*', '""']",0,101,40
"[':*', 'believe', 'most']",1,1,141
"['only', 'we', 'that']",0,28,8
"['break', 'down']",0,14,2
"['do', 'n’t', 'feel', 'connect', 'be*—*not', 'survive', 'To', 'Scott', 'Michael']",1,0,148
['impress'],1,0,44
"['words*—*not', 'Words']",1,0,12
"['love*—*not', 'connection', 'asked']",1,0,30
"['or', '—', '’s']",0,70,25
"['a', '\n\n', ',', 'the', 'in']",1,133,200
"['*', ':', ',', '\n\n']",0,201,164
"['the', 'Let', ':', ' \n']",0,88,28
"['know', '’d', 'like', '!', 'me', 'you', 'if', 'Let']",0,34,0
"['}', '$', '=']",0,14,2
"['of', 'and', 'a']",1,118,205
"['friend', 'boss', 'Because', 'who', 'all', 'at', 'failed', 'finally', 'tried', 'succeeded*—*one', 'as', 'but', 'not', 'Ohhh', '…', 'man', '’ve', 'had', 'been', 'office', 'heart', 'many', 'through', 'I', 'tell', 'you—*not', 'time', 'let', 'So', 'But', 'that', '?', 'my', 'me', 'step', '#']",1,0,191
"['Math', 'math*—*not', '🧮']",1,0,10
['e.g.'],0,35,1
['📌'],0,57,10
"['question', 'important', 'my', 'asked', 'word', 'most', '✨']",1,0,150
['connection*—*not'],1,0,29
"['for', 'the', '\n\n']",0,103,51
"['2', 'Step', '1', '3', '---']",0,48,22
"['are', 'They', '’re']",1,6,120
"['We', '’ll', '’re', 'You', 'them', 'just', 'That', 'And', '️', 'love', 'say', 'fact', 'see', 'best', 'some', 'still', 'Just', 'near', 'maybe', 'free', 'life', 'talk', 'send', 'meme', 'celebrating', 'here—*in', 'suit', 'park', '🍩', 'dancing', '❤', 'ever', 'pep', 'donut', '*', 'word', 'way', ' \n', 'you', 'need', 'if', 'Ohhh', '…']",1,0,191
"['Here', '✅']",0,34,1
"['full', 'works', 'Why', 'It']",1,1,64
"['here', 'about', 'do']",1,2,64
"['It', '🌟', 'n’t', 'just', 'But']",1,5,123
