pattern,group,count_0,count_1
"['And', 'Oh']",1,0,423
"['“', '”']",1,18,242
"['Dunder', 'Mifflin']",1,0,229
"['Michael', 'Scott']",1,0,272
"['once', 'tried']",1,0,302
"['(', ')']",0,225,194
"['business', 'start']",1,1,296
"['Now', 'just']",1,3,355
"['1', '2', '3']",0,128,81
"['very', 'Oh']",1,0,353
"['That', 'just']",1,16,362
"['do', 'But']",1,10,355
"['’s', '’ve']",1,14,328
"['!', 'office']",1,2,355
"['n’t', '’s']",1,58,360
"['!', 'little']",1,5,297
['my'],1,8,306
['say'],1,16,324
"['5', '4']",0,91,40
['if'],1,125,433
['ever'],1,7,282
"['?', 'So']",1,14,295
['I'],1,196,450
['think'],1,4,239
['even'],1,58,340
['did'],1,23,283
['’m'],1,7,243
"['presentation', 'PowerPoint']",1,0,79
['maybe'],1,5,234
"['States', 'United']",0,43,9
"['Office', 'Future']",1,0,77
['got'],1,8,237
"['let', 'tell']",1,3,161
['lot'],1,0,201
['mean'],1,13,243
['how'],1,91,363
['something'],1,50,311
['go'],1,26,270
"['6', '7']",0,49,2
['*'],1,231,450
['good'],1,23,262
['thing'],1,2,201
['’re'],1,22,254
"['assist', 'request']",0,54,0
"['question', 'wow']",1,0,121
['😄'],1,14,227
"['excuse', 'meeting', '’ll']",1,0,129
['like'],1,207,436
['it'],1,204,434
['we'],1,13,220
['trying'],1,13,218
"['health', 'mental']",0,49,5
['want'],1,31,256
['learned'],1,4,189
['honestly'],1,0,169
['’d'],1,56,292
['about'],1,177,413
['called'],1,12,205
['me'],1,106,350
"['speech', 'motivational']",1,0,57
"['break', 'room']",1,1,67
['never'],1,19,214
['here'],1,30,237
"['as', 'such']",0,145,9
['so'],1,44,259
['believe'],1,3,164
['—'],1,278,450
['going'],1,17,196
['who'],1,57,269
['love'],1,13,185
['was'],1,60,273
"['In', 'fact']",1,40,105
"['\n', '#', '---']",0,70,1
['always'],1,17,193
"['clips', 'paper']",1,0,47
['talk'],1,5,156
['really'],1,5,155
['P.S.'],1,0,133
['what'],1,41,236
['you'],1,281,448
['said'],1,2,136
['need'],1,51,244
"['coffee', 'cup']",1,1,48
"['Just', 'word']",1,2,80
['Like'],1,2,131
"['️', '⚠']",0,32,0
['man'],1,4,138
['hey'],1,1,124
['remember'],1,10,155
"['!', 'great']",1,15,170
['thought'],1,8,146
['kind'],1,19,174
['things'],1,8,145
['when'],1,65,254
['make'],1,54,237
['bit'],1,10,148
['because'],1,61,246
['including'],0,122,9
['e.g.'],0,91,0
['real'],1,66,249
['at'],1,85,274
"['rights', 'human']",0,59,5
['stapler'],1,0,102
['everyone'],1,16,152
['bad'],1,7,127
['up'],1,43,203
"['trusted', 'counselor']",0,32,13
['know'],1,121,309
"['glad', 'asked']",1,0,23
['✨'],1,20,156
"['He', 'he']",1,10,39
['dramatic'],1,10,130
['new'],1,19,151
['…'],1,0,92
['not'],1,283,436
['get'],1,23,158
"['Regional', 'Manager']",1,0,17
['whole'],1,3,102
['gosh'],1,0,87
['friend'],1,21,146
['asking'],1,40,182
"['giant', 'inflatable']",1,0,21
['Well'],1,1,88
"['illegal', 'unethical']",0,38,3
['seen'],1,14,128
['people'],1,119,292
['way'],1,88,253
"['information', 'provide']",0,33,0
['😂'],1,1,85
['too'],1,17,132
['have'],1,179,352
['been'],1,34,165
['anything'],1,6,101
['work'],1,48,189
['that'],1,305,440
"['long', 'term']",0,30,1
['team'],1,15,124
['try'],1,9,108
['seriously'],1,5,96
['Or'],1,6,99
['had'],1,26,147
['often'],0,80,5
['guy'],1,0,74
['one'],1,75,226
['bring'],1,8,103
['with'],1,286,429
['We'],1,7,100
['heart'],1,9,105
['party'],1,7,99
['well'],1,64,208
['terrible'],1,0,72
['😅'],1,0,72
['still'],1,12,111
['better'],1,26,142
['fantastic'],1,0,71
['would'],1,46,178
"['8', '9']",0,17,0
['doing'],1,6,93
['be'],1,209,369
"['experiencing', 'distress']",0,19,0
['brilliant'],1,0,68
['actually'],1,23,132
['legal'],0,103,19
['the'],1,340,449
['they'],1,100,248
['perfect'],1,7,90
"['>', 'specific']",0,29,1
['individuals'],0,58,1
['🎉'],1,5,83
"['Use', 'Tip', 'Here']",0,34,1
['accidentally'],1,0,63
['every'],1,9,94
['then'],1,26,132
['power'],1,25,130
['says'],1,1,67
['feel'],1,55,181
['dance'],1,2,70
['thinking'],1,8,89
['company'],1,17,111
"['answer', 'question', 'So']",1,21,94
"['Thought', 'Final']",0,14,0
['There'],0,69,6
['big'],1,3,72
"[""'m"", 'sorry', 'ca', ""n't""]",0,85,18
['manager'],1,4,75
['full'],1,24,123
"['butter', 'peanut']",1,1,10
['few'],1,11,94
['positive'],1,17,108
['energy'],1,15,103
['of'],1,337,446
['confused'],1,0,57
['teach'],1,4,73
['much'],1,11,92
['no'],1,103,241
['sell'],1,2,65
['someone'],1,76,204
"['playful', 'humorous']",0,17,0
['promise'],1,0,55
['sandwich'],1,1,59
