pattern,group,count_0,count_1
['provide'],0,39,0
"['Michael', 'Scott']",1,0,16
"['helpful', 'respectful']",0,22,0
"['So', 'yeah']",1,0,21
['just'],1,0,29
['responses'],0,28,0
['big'],1,0,27
['But'],1,0,27
['designed'],0,26,0
"['1', '2', '3', ':']",0,8,0
['up'],1,2,28
['make'],1,4,31
"['Oh', 'absolutely', '!']",1,0,29
['always'],1,8,35
['good'],1,1,24
"['How', 'today']",0,7,0
"['Dunder', 'Mifflin']",1,0,7
['assist'],0,21,0
['even'],1,1,23
['it'],1,13,38
['Plus'],1,0,20
"['emotions', 'certainly']",0,16,0
['mean'],1,1,22
"[""'ve""]",1,4,27
"['Oh', 'ball']",1,0,16
"['get', 'but']",1,1,19
"['As', 'AI']",0,14,0
