pattern,group,count_0,count_1
"['not', 'learned']",1,0,42
"['*', 'is']",1,0,43
"[""'m"", ""n't""]",0,30,0
"['that', 'but']",1,1,42
['And'],1,1,35
['!'],0,32,0
['gaze'],1,0,32
['am'],1,0,32
['So'],1,4,38
['when'],1,4,38
['at'],1,2,35
['weight'],1,0,31
['queen'],1,0,31
['😊'],0,30,0
['strength'],1,0,30
['yes'],1,0,30
['silence'],1,0,29
['or'],0,44,15
['my'],1,11,42
['steady'],1,2,33
['quiet'],1,1,31
"['lace', 'wrist', 'delicate']",1,0,16
['crown'],1,0,28
['court'],1,0,27
['voice'],1,0,27
['eyes'],1,0,27
['\n\n'],1,10,40
['But'],1,7,37
"['tracing', 'goblet', 'fingers', 'silver', 'Pauses']",1,0,11
['help'],0,26,1
['of'],1,21,44
['war'],1,0,23
['realm'],1,0,23
['who'],1,3,29
"['an', 'AI']",0,9,0
['humans'],0,22,0
['dear'],1,0,22
['seen'],1,0,22
['When'],1,0,22
['her'],1,0,22
['through'],1,5,31
['here'],0,26,2
['Whether'],0,20,0
['kingdom'],1,0,20
