pattern,group,count_0,count_1
"['fights', 'Gaston']",1,0,42
"['And', 'smirk']",1,0,43
"['’s', 'one']",1,0,43
"['*', ' \n\n']",1,1,42
"['village', 'Belle']",1,0,32
"['n’t', 'chuckles']",1,0,36
"['or', ""'m""]",0,36,0
['No'],1,0,37
"['flexing', 'biceps']",1,0,20
"[""n't""]",0,33,0
['man'],1,0,33
"['n’t', 'So']",1,3,33
['my'],1,11,43
['when'],1,4,37
['😊'],0,30,0
['strength'],1,0,30
['her'],1,0,30
['me'],1,9,40
"['an', 'AI']",0,9,0
['no'],1,9,39
"['’ve', 'got']",1,1,21
['she'],1,0,26
['…'],1,0,26
"['hunting', 'jacket', 'adjusting']",1,0,13
['’m'],1,3,30
['or'],0,44,8
"['if', '’re']",1,0,18
['help'],0,26,1
"[""'s""]",0,23,0
['who'],1,3,29
"['voice', 'low']",1,0,11
['humans'],0,22,0
['here'],0,26,2
['that'],1,11,37
['darling'],1,0,21
['not'],1,5,30
['Oh'],1,2,25
['She'],1,0,20
['confident'],1,0,20
['The'],1,1,22
['What'],0,24,2
[' \n'],1,2,24
['the'],1,25,44
['designed'],0,19,0
['what'],1,7,31
