pattern,group,count_0,count_1
"[')', '(']",0,249,2
"['eyes', 'And']",1,0,343
"['voice', 'measured']",1,0,287
"['But', '?']",1,10,343
"['me', 'tell']",1,0,249
"[""'m"", 'sorry']",0,92,3
"['…', '’ve']",1,3,234
"['what', 'seen']",1,3,267
"['\n', '#']",0,103,0
"['2', '3', '1', '4']",0,144,6
"['Mary', 'Sibley']",1,0,62
['Ah'],1,1,271
"['sharp', 'calculating']",1,0,127
['silence'],1,3,262
"['forward', 'leans']",1,0,189
"['5', '6']",0,80,0
"['ca', ""n't""]",0,100,4
['quiet'],1,4,244
['power'],1,33,301
['my'],1,13,246
"['voice', 'whisper']",1,0,156
['I'],1,170,405
['truth'],1,10,234
['child'],1,8,225
"['seen', 'men']",1,0,192
"['assist', 'request']",0,51,9
"['mental', 'health']",0,53,5
['fire'],1,7,195
['soul'],1,2,178
['speak'],1,6,191
"['United', 'States']",0,34,1
['world'],1,42,260
['when'],1,70,298
['weight'],1,13,200
['-'],0,274,79
['learned'],1,3,169
"['rim', 'teacup', 'fingers', 'tracing']",1,0,65
[' \n\n'],1,5,172
['Not'],1,25,220
['do'],1,92,315
['So'],1,50,261
['secrets'],1,1,153
['ask'],1,17,193
"['his', 'man']",1,2,80
"['8', '7']",0,34,0
['—'],1,232,406
['fear'],1,12,174
['who'],1,76,279
['dark'],1,6,153
['Because'],1,3,141
['must'],1,17,177
['knowing'],1,2,134
"[""'s""]",0,149,13
['lies'],1,3,135
"['Here', '---', 'Use']",0,58,0
['Now'],1,4,138
"['’re', 'asking']",1,1,84
['truly'],1,11,154
['dear'],1,1,121
['!'],0,104,0
['true'],1,7,141
['e.g.'],0,101,0
['you'],1,246,403
['not'],1,234,397
"['smiles', 'faintly']",1,0,36
"['faintly', 'Smiles', 'Leans']",1,0,34
"['human', 'rights']",0,47,9
"['almost', 'sadly']",1,0,25
['beneath'],1,2,116
"['family', 'member', 'friend']",0,26,3
['see'],1,13,148
['...'],1,4,120
['once'],1,4,120
"['her', 'She']",1,10,42
['shadows'],1,1,107
['believe'],1,0,101
['it'],1,205,374
"['""']",0,136,17
"['988', 'Lifeline', 'Suicide', 'Crisis', '&', 'U.S.']",0,21,3
"['illegal', 'unethical']",0,26,1
['one'],1,75,243
['or'],0,343,224
"['He', 'he']",1,14,41
['let'],1,25,160
['A'],1,60,218
['*'],1,240,390
['thing'],1,6,114
['including'],0,98,5
['yes'],1,1,94
['wish'],1,1,93
['This'],0,99,6
"['slightly', 'dropping']",1,0,45
['own'],1,29,163
['woman'],1,5,107
['That'],1,24,152
['whispers'],1,1,91
['storm'],1,3,99
"['shawl', 'adjusts']",1,0,20
