pattern,group,count_0,count_1
"[':*', '\n']",0,430,13
"['(', ')']",0,422,70
"['...', 'Like']",1,1,412
"[' ', ':']",0,384,0
"['am', 'AI']",0,210,1
"['That', 'And']",1,3,334
"['gon', 'na']",1,0,129
"['Here', 'The']",0,354,21
"['will', 'provide']",0,219,1
"['health', 'mental']",0,125,5
"['And', 'kinda']",1,0,265
['?'],1,162,446
['okay'],1,16,309
['information'],0,300,16
['stuff'],1,0,254
"['harmful', 'resources']",0,159,2
"['got', 'ta']",1,0,85
['Honestly'],1,1,253
['just'],1,118,407
"['I.', 'III', 'II']",0,69,0
['&'],0,286,19
['But'],1,59,343
"[""'m""]",1,39,315
"['\n    ', '/']",0,122,0
['honestly'],1,3,234
['really'],1,47,316
"['Please', 'local']",0,116,0
"['by', 'as']",0,213,8
"['messed', 'up']",1,1,157
"[':*', 'These']",0,203,0
"['deeply', 'such']",0,111,0
"['youth', 'https://www.thetrevorproject.org/']",0,42,0
"['4', '5']",0,75,0
['breakdown'],0,198,2
['often'],0,198,3
['any'],0,248,25
['whole'],1,18,233
"['United', 'States']",0,43,2
['seriously'],1,14,220
"[""'re""]",1,156,393
"['In', 'conclusion']",0,66,0
"[')', '[']",0,162,7
"['coping', 'mechanisms']",0,37,1
"['Paulie', 'Bleeker']",1,0,53
['maybe'],1,7,189
"[' ', 'may']",0,159,0
['Ugh'],1,0,160
"['911', 'danger', 'immediate', 'emergency']",0,67,0
['know'],1,135,361
"['Legal', 'legal']",0,64,0
"['crucial', '\n\n\n\n\n']",0,79,0
['pretty'],1,2,160
['including'],0,146,0
['in'],0,434,255
"[""'"", 'sayin']",1,0,39
"['\n', '  ']",0,177,13
"[' ', 'Important']",0,141,0
['these'],0,187,16
['However'],0,139,1
['from'],0,291,85
"['unethical', 'illegal']",0,76,0
['could'],0,255,59
['an'],0,261,64
['While'],0,128,0
['think'],1,27,196
"['thoughts', 'harming', 'having']",0,86,1
"['Mental', 'Health']",0,42,1
['very'],0,171,16
['can'],0,402,222
"['online', 'Search']",0,50,0
['used'],0,164,15
['immediately'],0,140,6
['Even'],0,206,37
['talk'],1,23,180
['something'],1,81,269
