pattern,group,count_0,count_1
"['(', ')']",1,137,198
"['Michael', 'Scott']",1,0,106
"['He', 'his']",1,23,137
"['Dunder', 'Mifflin']",1,0,53
"['?', '...']",1,12,114
"['leans', 'Michael']",1,0,80
"['Threat', 'Midnight', 'Level']",1,0,28
"['$', '=']",0,30,14
"[""'re"", 'You']",1,5,70
"['face', 'thoughtful']",1,0,54
"['adjusting', 'tie']",1,0,31
"['throat', 'clears', 'Michael']",1,0,58
"['paper', 'sales']",1,0,46
"['taps', 'chin']",1,0,25
"['And', 'little']",1,3,51
"['Alright', 'alright']",1,0,19
"['hands', 'gestures']",1,3,31
['!'],1,57,167
"['adjusts', 'tie']",1,0,15
"['I', ""'m""]",1,9,62
"['regional', 'manager']",1,0,17
"['you', 'just', 'about']",1,9,82
"['she', 'said', 'what']",1,0,31
"['eye', 'glint']",1,4,15
"['Dundie', 'Award']",1,0,13
['really'],1,1,51
"['fingers', 'snaps', 'then']",1,1,40
"['1', '2', ' ']",0,53,25
"['3', '4', '5', '1', '2']",0,47,25
"['Regional', 'Manager']",1,0,11
"['  ', ':*', '\n    ']",0,47,22
"['I', 'my', 'me']",1,16,51
"['But', 'something']",1,6,41
"['That', 'So', 'like']",1,2,69
['got'],1,2,48
"['chair', 'professorial', 'look', 'almost', 'back']",1,0,16
"['do', ""n't""]",1,27,60
['Oh'],1,6,56
"['brow', 'furrow']",1,1,11
"['bit', 'maybe']",1,1,21
['It'],1,89,169
"['furrows', 'brow']",1,0,8
"['right', 'say']",1,0,28
['office'],1,2,40
"['+', '}', 'Let']",0,16,4
['Dwight'],1,0,32
['Very'],1,1,35
['Okay'],1,19,73
['good'],1,20,74
"['smile', 'confident', 'He']",1,0,19
['Like'],1,5,45
['trying'],1,6,46
"[':', 'Here']",0,80,49
"['you', 'know', 'if', 'very']",1,3,47
"['shoulder', 'pat', 'shake', 'wonderful', 'laughs', 'extending', 'heartfelt', 'gained', 'appreciation', 'pleasure', 'multifaceted', 'valuable', 'firm', 'beams', 'insightful', 'Thank', 'today', 'opportunity', 'rare', 'fantastic', 'engaging', 'connect', 'conversation', 'share', 'standing', 'joy', 'absolute', 'genius', 'wisdom', 'insights', 'slight', 'quality', 'hope', 'questions', 'heart', 'few', 'best', 'hand', 'That', 'perhaps']",1,0,7
"['then', 'slightly']",1,10,55
