pattern,group,count_0,count_1
"['…', 'Like']",1,0,292
"['’s', 'okay']",1,0,286
"['like', '?']",1,20,292
"['!', 'really']",1,4,276
"['“', '”']",1,28,158
"['It', 'know']",1,6,274
"['(', ')']",1,120,238
"['good', 'You']",1,3,212
"['you', 'me']",1,49,248
"['!', 'That']",1,1,223
"['But', 'It']",1,0,215
"['’s', '’m']",1,2,212
['And'],1,0,206
"['Beaming', 'clapping', 'hands', 'together']",1,0,85
"['you', '’re']",1,1,191
"['Dunder', 'Mifflin']",1,0,48
"['?', 'Do']",1,11,202
['about'],1,20,229
['this'],1,52,264
['Pam'],1,0,183
"['conspiratorially', 'Leans']",1,0,66
['just'],1,8,203
"['2', '1']",0,75,33
"['I', 'my']",1,14,206
['little'],1,2,178
['think'],1,4,183
['it'],1,82,274
['Seriously'],1,0,161
"['*', 'a']",1,142,298
"['Michael', 'Scott']",1,0,56
"['back', 'forth']",1,1,51
"['got', 'ta']",1,0,60
['amazing'],1,2,161
"['!', 'Let']",1,23,237
['So'],1,11,182
['that'],1,72,259
['right'],1,5,158
['n’t'],1,5,158
"[',', '\n\n']",1,188,292
['important'],1,4,150
['maybe'],1,0,135
"['Okay', 'let']",1,29,167
"['[', ']']",0,26,9
['do'],1,18,174
"['Snaps', 'fingers']",1,0,30
"['Beams', 'proudly']",1,0,37
['Maybe'],1,0,119
['tell'],1,6,139
"['tried', 'was']",1,0,85
['be'],1,48,208
"['Eyes', 'widen']",1,0,31
"['want', 'good']",1,1,148
['when'],1,12,146
['to'],1,159,290
['Dwight'],1,0,108
['Because'],1,1,108
['Just'],1,1,104
['at'],1,35,174
"['3', '4']",0,36,18
['is'],1,160,283
['thinking'],1,0,94
['make'],1,7,117
['seriously'],1,0,93
['A'],1,62,203
['See'],1,0,92
['things'],1,1,96
['paper'],1,0,90
[' '],1,87,226
['dramatically'],1,0,87
[' \n\n'],1,0,85
"['Oh', 'god']",1,0,25
['should'],1,1,86
['...'],1,9,108
['brilliant'],1,0,77
['’ve'],1,3,88
"['Stops', 'Paces', 'pacing']",1,0,22
['people'],1,5,93
"[':*', '*']",0,125,14
['see'],1,3,85
['.'],1,227,300
['out'],1,10,102
['Or'],1,0,70
['thing'],1,1,74
['beautiful'],1,1,74
['love'],1,5,87
['office'],1,0,69
"['sales', 'pitch']",1,0,19
['enthusiastically'],1,0,68
['going'],1,2,76
['They'],1,8,93
['need'],1,27,130
['lot'],1,4,82
"['This', '\n\n']",1,69,184
"['number', 'numbers']",1,12,30
['with'],1,71,187
['talk'],1,0,65
['puzzle'],1,3,76
['though'],1,3,76
"['+', '=']",0,31,8
['have'],1,33,133
['the'],1,198,285
['Wow'],1,0,61
"[',', 'we']",1,35,134
['get'],1,9,88
"['around', 'nervously']",1,0,29
"['build', 'fort']",1,0,17
['joke'],1,0,60
['complicated'],1,0,60
['Pauses'],1,0,60
['up'],1,6,79
"['regional', 'manager']",1,0,18
['big'],1,1,63
['would'],1,16,100
['whole'],1,0,57
"['thoughtfully', 'chin']",1,0,16
['but'],1,27,118
['said'],1,1,61
['fantastic'],1,0,56
['one'],1,26,115
['could'],1,17,99
"['’s', '–']",1,16,119
['everyone'],1,0,55
['Dundie'],1,0,55
['Absolutely'],1,0,55
['something'],1,9,82
"['It', 'well']",1,12,100
['stapler'],1,0,54
"['}', '{']",0,12,0
"[':', '\n', '\n\n']",0,137,8
"['6', '5']",0,21,7
['everything'],1,0,53
['say'],1,8,77
['what'],1,16,93
"['gesturing', 'wildly']",1,0,14
"['wildly', 'Gestures']",1,0,15
['party'],1,0,51
['Jim'],1,0,50
['great'],1,1,54
['Hmm'],1,0,49
"['Args', 'Returns', 'return', 'def', '):', '`', 'python', '\n    ', '=', '""']",0,30,0
['huge'],1,0,48
"['supply', 'closet']",1,0,8
['always'],1,6,67
"['result', 'print(result']",0,12,0
['intense'],1,0,47
"['‘', '’']",1,0,10
['Except'],1,0,46
['anyone'],1,0,44
['company'],1,1,48
['secret'],1,0,43
"['Whoa', 'whoa']",1,0,9
['He'],1,5,59
"['Grinning', 'widely']",1,0,14
"['widely', 'Grins']",1,0,13
['for'],1,88,179
['they'],1,22,93
['disaster'],1,0,42
['saying'],1,1,46
"['Definition', 'encapsulated', 'Function', 'Clear', 'arguments']",0,7,0
"['clasped', 'behind', 'hands']",1,0,7
['in'],1,109,199
['serious'],1,1,45
['trying'],1,4,54
"['Explanation', 'Takes', 'Initializes']",0,9,0
"['Answer', 'Final', 'final', '$', 'answer']",0,14,0
['Definitely'],1,0,40
['once'],1,4,53
"['\n   ', 'current', 'through', 'each']",0,14,0
['tiny'],1,0,39
['so'],1,24,92
['start'],1,5,55
['challenge'],1,1,43
['We'],1,26,95
['she'],1,4,52
['of'],1,156,238
['smart'],1,0,38
['probably'],1,0,38
['yeah'],1,0,38
['team'],1,1,42
['perfect'],1,1,42
"[""n't""]",1,43,118
['looks'],1,0,37
"['slightly', 'awkward']",1,0,19
['day'],1,1,40
['and'],1,160,237
"['\n  ', '\n\n  ', '#', 'Example', 'usage']",0,20,0
"['Calls', 'Prints']",0,7,0
"['cardboard', 'boxes']",1,0,7
"['Regional', 'Manager']",1,0,7
['almost'],1,1,38
['She'],1,3,44
"['Okay', 'I', ',']",1,25,283
['how'],1,25,86
['’ll'],1,1,37
['HUGE'],1,0,33
['Winks'],1,0,33
['wide'],1,0,33
['Looks'],1,0,33
['feel'],1,0,33
['Therefore'],0,43,3
['building'],1,3,43
['go'],1,6,50
"['\n        ', '\n\n    ']",0,7,0
"['revised', 'documented', 'response', 'provides', 'solution']",0,7,0
['actually'],1,1,36
['fun'],1,0,32
['smile'],1,0,32
['sometimes'],1,2,39
"['chuckle', 'nervous']",1,0,9
['did'],1,4,44
"['wants', 'who']",1,0,15
['then'],1,18,72
['write'],1,0,31
"['strings', 'string']",0,11,1
"['Usage', 'Sets']",0,8,0
['kind'],1,2,38
['eyes'],1,1,34
['Now'],1,10,56
['on'],1,50,117
"['python', 'Output', '`', '\n    ']",0,23,0
['feeling'],1,5,44
['genius'],1,0,29
['not'],1,60,128
"['Iterates', '\n      ', 'If', '\n\n  ', '\n  ']",0,9,0
['very'],1,14,62
"['Key', 'improvements', 'explanations', 'docstring', 'code', 'Docstring', '#']",0,11,0
['figure'],1,0,28
"['’d', 'like', 'know']",1,9,57
['sad'],1,1,31
['happy'],1,1,31
['practically'],1,0,27
['guys'],1,0,27
"['lowering', 'voice']",1,0,7
['your'],1,8,48
"['Best', 'Boss', 'World']",1,0,7
['sure'],1,1,30
"['Here', '  ', '*']",0,45,4
['sell'],1,0,26
"['correctly', 'Handles']",0,7,0
"['input', 'function', 'returns', 'as', '-']",0,20,0
"['tie', 'adjusting']",1,0,7
"['face', 'across', 'slightly']",1,0,12
