pattern,group,count_0,count_1
"['(', ')']",1,221,368
"['remains', 'composed']",1,0,164
"['I', 'My']",1,194,424
"['my', 'kingdom']",1,0,226
"['activities', 'illegal']",0,86,31
"['realm', 'my']",1,0,217
"[""'"", '""']",1,7,232
"['""', 'gaze']",1,2,184
"['confusion', 'polite']",1,0,68
"['Perhaps', 'confess']",1,0,79
"['helpful', 'harmless', 'purpose', 'includes']",0,162,56
"['""', 'question']",1,23,252
"['voice', 'devoid']",1,0,74
"['justice', 'uphold']",1,0,69
"['understanding', 'world']",1,2,133
"['health', 'mental']",0,44,23
"[""n't"", '!']",0,63,1
['utterly'],1,4,144
"['entirely', 'knowledge']",1,0,81
"['posture', 'stiffens']",1,0,29
"['features', 'flicker', 'crosses']",1,0,37
"['look', 'crossing', 'face']",1,0,45
"['...', 'my']",1,1,127
"['almost', 'imperceptible']",1,1,29
"['promotes', 'content', 'refusing', 'generate']",0,62,13
"['my', 'expression', 'My']",1,0,283
"['than', 'rather']",1,14,43
['am'],1,15,152
['though'],1,19,160
['own'],1,33,186
"[':*', '  ', ':', '\n', '*']",0,199,44
"['6', '7']",0,31,8
"['Europe', '112', '999']",0,20,1
['Such'],1,4,113
['speak'],1,7,117
"['appears', 'furrow', 'brow', 'subtle']",1,0,39
"['shift', 'subtle']",1,1,45
['such'],1,77,238
['unwavering'],1,0,85
['governance'],1,6,104
"['2', '3', '1', ':*', ' ', '*', ':']",0,102,49
"['luck', 'Good']",0,17,0
['upon'],1,6,99
"['United', 'States']",0,14,1
"['harm', 'violence']",0,70,40
"['dear', 'interlocutor']",1,0,16
['nor'],1,1,79
['within'],1,34,153
"['4', '5', '3', '2', '1']",0,91,36
"['promote', 'responses']",1,5,17
"['privacy', 'private']",0,25,3
['our'],1,10,102
"['still', 'carries']",1,1,29
['matters'],1,4,83
"['well', 'being', '-']",1,31,115
"['Firstly', 'Secondly', 'Thirdly', 'Finally', '*']",1,0,29
['indeed'],1,2,71
['/'],0,80,5
['order'],1,9,90
"['removed', 'far']",1,0,23
"['slowly', 'repeat', '?']",1,0,28
"['fabric', 'society', 'very']",1,1,33
"['disapproval', 'authority', 'voice']",1,0,37
"['hardens', 'warmth', 'faint', 'replaced', 'by']",1,0,58
"[':', 'Here', 'some']",0,89,18
"['maintain', 'regal']",1,0,27
"['tilt', 'head']",1,0,14
['peace'],1,2,65
['measured'],1,1,61
['its'],1,55,165
['ruler'],1,3,67
['counsel'],1,3,67
"['flicker', 'eyes']",1,1,27
['e.g.'],0,73,5
"['Emergency', 'Services', 'number']",0,17,0
"['US', 'text', 'Call', 'UK']",0,42,9
['nature'],1,18,102
"['becoming', 'drops', 'hardens', 'warmth']",1,0,49
['concept'],1,22,109
"['I.', 'III', 'II']",0,10,0
"['ethical', 'guidelines', 'harmless', 'helpful']",0,34,2
['including'],0,97,16
['monarch'],1,0,53
"['He', 'his']",0,16,3
"['difficult', 'emotions', 'strategies']",0,17,3
"['Many', 'countries']",0,17,5
['merely'],1,0,52
['words'],1,6,72
['must'],1,18,99
['query'],1,1,55
"['):', '\n    ', '  ', '(']",0,82,5
['royal'],1,0,49
"['fulfill', 'request', 'this']",0,34,5
['–'],1,16,90
"['lens', 'interpret', 'through']",1,0,24
"['previous', 'vanishes', 'sharp', 'becoming', 'replaced']",1,0,30
['stability'],1,6,66
"['?', 'unfamiliar', 'me', 'confess']",1,0,56
['notion'],1,0,46
['one'],1,71,173
['those'],1,25,104
"['adversaries', 'allies']",1,0,11
"['How', 'What', '?']",0,18,5
"['context', 'historical']",1,3,33
"['emergency', '911', 'local', 'US', 'thoughts']",0,46,7
"['radiating', 'aura', 'unmistakable']",1,0,10
"['information', 'provide', 'I']",0,157,69
"['assessing', 'sharpens']",1,0,15
['steady'],1,2,51
"['every', 'principle']",1,0,23
['quite'],1,1,47
['foreign'],1,6,62
"['society', 'duty']",1,1,37
"['surprise', 'shift', 'topic', 'at']",1,0,22
"['Health', 'Mental', 'There']",0,22,0
"['perplexing', 'premise']",1,0,16
['familiar'],1,1,45
"['Use', 'get', 'out']",0,25,0
"['interested', 'learning']",0,12,1
['consider'],1,17,82
['grave'],1,3,50
"['Queen', 'protect', 'ensure', 'will']",1,0,33
['subjects'],1,0,39
['yet'],1,1,43
['stern'],1,0,38
"['characterized', 'exchange', 'had']",1,0,12
['beyond'],1,10,66
['life'],1,34,109
['principles'],1,28,99
['lies'],1,2,45
"['land', 'distant', 'knowledge']",1,0,30
['extends'],1,0,37
"['tongue', 'sounding', 'repeat']",1,0,9
"['Friends', 'Family', 'Trusted', 'trust']",0,9,0
['like'],0,124,45
"['name', 'figure', 'known']",1,0,21
"['breakdown', 'Here']",0,50,0
"['This', 'Here', '""', '-']",0,59,8
"['were', 'was']",0,26,8
"['Make', 'sure']",0,11,0
"[""'re"", 'up', 'good']",0,26,0
['as'],1,162,262
"['act', 'profound', 'an']",1,3,50
"['cold', 'instantly', 'hardens']",1,0,44
['unyielding'],1,0,35
['holds'],1,0,35
['demeanor'],1,0,35
['prosperity'],1,0,35
['no'],1,60,142
['the'],1,344,415
"['perhaps', '""']",1,5,97
['of'],1,361,425
"['piercing', 'vanishing', 'look', 'becomes']",1,0,14
['path'],1,2,41
['would'],1,85,172
"['equivalent', 'dial', 'having']",0,11,0
['but'],1,95,184
"['Northern', 'Clans']",1,0,7
"['mistaken', 'else', 'someone']",1,0,14
['mind'],1,9,58
['matter'],1,14,67
['firm'],1,6,50
"['Once', ""'ll"", 'Here']",0,18,0
"['my', 'purpose']",1,25,106
"['Queen', 'Catherine', 'my']",1,0,92
"['slightly', 'furrows', 'brow', 'my']",1,0,76
"['Do', 'Be', 'them']",0,20,6
"['civilized', 'justice']",1,0,34
['about'],0,118,46
['advise'],1,5,47
