pattern,group,count_0,count_1
"['Dunder', 'Mifflin']",1,0,107
"['Michael', 'Scott']",1,0,118
"['(', ')']",0,124,89
"['you', 'know']",1,5,210
"['?', 'I']",1,29,223
"['na', 'gon']",1,2,44
"['Like', 'And']",1,1,135
"['regional', 'manager']",1,1,59
"['1', '2', '3']",0,64,27
['!'],1,46,240
"['Alright', 'alright']",1,0,60
"['you', ""'re""]",1,14,176
"['That', 'right']",1,3,116
['really'],1,4,143
['got'],1,1,131
"['like', 'just']",1,38,210
"['Okay', 'so']",1,2,89
"['Threat', 'Midnight', 'Level']",1,0,23
['me'],1,20,155
['Dwight'],1,0,103
['everyone'],1,2,108
"['You', 'It']",1,20,148
['So'],1,31,167
['good'],1,28,160
['little'],1,8,117
"['Manager', 'Regional']",1,0,20
"['4', '5', '6']",0,30,12
['Oh'],1,4,101
['...'],1,12,121
['super'],1,1,89
"['she', 'said']",1,0,41
['get'],1,14,120
['But'],1,26,138
['do'],1,31,146
['things'],1,8,102
['thing'],1,5,94
['big'],1,5,88
['lot'],1,4,85
['office'],1,2,77
['sales'],1,1,73
['when'],1,56,169
"['Jim', 'Pam']",1,0,25
['maybe'],1,2,73
['paper'],1,10,94
"['=', '$', '+']",0,21,5
['stuff'],1,1,67
['think'],1,6,82
['people'],1,28,123
['all'],1,84,194
['something'],1,23,114
['Or'],1,8,83
['make'],1,22,107
['Because'],1,2,61
['ta'],1,0,51
['probably'],1,0,51
"[""n't""]",1,70,168
"[""'ve""]",1,16,91
['Toby'],1,0,48
"['And', '…']",1,13,73
['While'],0,46,0
['what'],1,54,143
['often'],0,74,10
"['a', 'the']",1,228,259
"['about', 'It', 'like']",1,22,183
['tell'],1,8,69
['important'],1,14,80
['trying'],1,14,80
['but'],1,107,199
"['gather', 'round', ""'""]",1,0,15
['boss'],1,0,43
['fancy'],1,0,43
['within'],0,77,13
['because'],1,28,103
['employees'],1,1,46
['up'],1,39,118
['it'],1,164,246
['going'],1,9,67
"[""'s""]",1,184,260
"['Therefore', 'Since', 'Let']",0,19,2
['say'],1,16,80
['sounds'],1,6,59
['its'],0,124,45
['kind'],1,9,65
"[""'d""]",1,4,53
['whole'],1,10,67
"[':*', '  ', '\n    ']",0,32,15
['uh'],1,0,39
['huh'],1,0,39
['friend'],1,1,43
['everything'],1,11,68
['okay'],1,1,41
['great'],1,10,63
"['DUNDER', 'MIFFLIN', 'MICHAEL', 'DAY', 'INT']",1,0,7
"['Now', 'let']",1,18,36
['want'],1,21,81
['always'],1,22,82
['talking'],1,3,44
['See'],1,2,41
['here'],1,26,88
"['Boss', 'Best', 'World']",1,0,11
['rather'],0,37,1
['joke'],1,1,37
"['settle', 'down']",1,0,33
['an'],0,158,81
['huge'],1,2,40
['fun'],1,4,45
['guy'],1,1,36
['Just'],1,8,54
"['my', ""'m"", 'I']",1,4,116
['go'],1,9,56
['totally'],1,0,31
['bit'],1,6,48
['out'],1,41,105
['doing'],1,2,36
['real'],1,31,89
['wants'],1,1,32
"['}', '0']",0,17,1
