pattern,group,count_0,count_1
"[':*', '\n']",0,412,199
"['reach', 'please', 'out', 'help']",0,187,149
"['his', 'He']",1,22,148
"['utterly', 'bewildered']",1,0,70
"['My', 'purpose', 'includes']",0,111,73
"['Honestly', 'scoffs']",1,0,82
"['And', 'A']",1,7,164
"['“', '”']",1,0,28
"['’s', 'n’t']",1,0,57
"[""'ll"", 'excuse']",1,1,50
"['emergency', '911', 'immediate', 'danger']",0,66,40
"['If', 'resources']",0,216,164
"['Gaston', 'Now', '…', '?']",1,0,211
"['https://www.thehotline.org/', '799', 'SAFE', '7233', 'Domestic', 'Hotline', 'Violence', '800', 'National', '1']",0,89,59
"['Second', 'Third', 'First']",1,0,29
"['2', '3', '4', '1']",0,69,4
"['silence', 'chilling']",1,0,29
"['stride', 'mid']",1,0,20
"['back', 'turns']",1,1,33
"['man', '…']",1,0,92
"['voice', 'eyes']",1,0,38
['strength'],1,29,164
"['myself', 'concern']",1,0,30
"['sign', 'weakness']",1,12,32
"['Firstly', 'Secondly', 'Thirdly', 'Fourthly']",1,0,18
"[""'s""]",0,384,241
['I'],1,338,438
"['I.', 'III', 'II']",0,14,1
"['No', 'fights', 'one', 'like', 'Gaston']",1,0,152
['me'],1,121,270
['village'],1,2,82
"['):', ' ']",0,110,20
"['local', 'country', 'Your', 'services', '911']",0,70,45
"['programmed', 'assistant', 'helpful', 'AI', 'am', 'will']",0,233,183
"['provide', 'information', 'am', 'AI']",0,218,143
"['safety', 'guidelines', 'my']",0,135,98
"['Gaston', 'my']",1,0,212
"['Do', 'again']",1,2,57
"['through', 'difficult', '1']",0,70,45
['  '],1,7,92
"['authorities', 'appropriate']",0,24,8
"['violates', 'harming', 'some', 'thoughts', 'violence']",0,70,45
['\n\n\n\n'],0,309,171
"['Fourth', 'Fifth']",1,0,13
['or'],0,398,285
['can'],0,388,271
['But'],1,44,152
"['excuse', '’ll', 'Now']",1,0,66
"['hunting', 'Perhaps']",1,0,24
"['head', 'shakes']",1,0,14
['ask'],1,21,107
['certainly'],1,3,65
"['thought', 'experiment']",0,14,0
"['5', '6']",0,17,2
"['piercing', 'gaze']",1,0,13
"['waste', 'time']",1,1,62
"['Therefore', 'safe']",0,110,21
"['\n    ', 'Important']",0,25,2
"['flexes', 'bicep']",1,0,9
"['frown', 'creases', 'confused', 'brow']",1,0,12
"['laugh', 'booming', 'lets', 'out']",1,0,18
['beneath'],1,0,47
"['pause', 'slight', '…', 'processing', 'delightfully']",0,11,0
['often'],0,84,14
['clearly'],1,9,73
['such'],1,181,296
"['privacy', 'without']",0,26,11
"['Are', 'stares', '!']",1,0,31
"['https://988lifeline.org/', 'services', 'These', '&', ' ', 'Text', 'HOME', '741741', 'Line', '24/7', 'confidential', 'free']",0,81,31
"['suppose', 'Though']",1,0,19
"['offended', 'slightly']",1,0,16
"['shifts', 'demeanor', 'drops', 'His']",1,0,10
"['crossing', 'face', 'look']",1,0,17
"['Man', 'Hemlock', 'Old']",1,0,8
"['core', 'principles', 'My', ':']",0,77,49
['frankly'],1,2,49
['unwavering'],1,1,44
['looking'],1,7,61
['-'],0,364,267
['speak'],1,1,43
"['impart', 'wisdom', 'finally']",1,0,9
"['breakdown', 'Okay', 'This', 'Here']",0,56,3
"['Okay', ""'ll""]",0,35,1
"['perfecting', 'physique', 'Like', '!']",1,0,20
['/'],0,48,3
"['He', 'pauses', '…']",1,0,64
['foolish'],1,0,37
['’ve'],1,0,36
"['general', 'Disclaimer', 'only', 'advice']",0,14,0
['no'],1,61,144
"['Long', 'Term']",0,7,0
['The'],0,352,261
"['down', 'Focus', 'Do', ""n't""]",0,23,3
"['Make', 'sure']",0,13,0
['deal'],1,5,49
"['""']",0,141,61
"['honor', 'am']",1,1,26
"['Use', 'get', 'into']",0,19,0
"['composure', 'regaining']",1,0,10
"['Good', 'luck', '!', 'know', 'Let']",0,25,1
"['fun', '!']",0,32,0
['Or'],1,1,36
"['What', '?', '!']",1,27,55
"['including', 'legal']",0,43,15
"['decisive', 'swift']",1,0,12
"['closer', 'step', 'takes']",1,0,12
['perhaps'],1,3,41
"['booming', 'bursts', 'into', 'then', 'Honestly']",1,0,16
[')'],1,383,435
"['notion', 'very', '!']",1,0,23
"['sort', 'Is', 'some']",1,0,26
"['dial', 'available', 'Call', 'Canada', 'text', '111', 'UK', 'US', 'Suicide', 'Lifeline', '988', 'Crisis', 'resources', 'help']",0,104,72
['etc'],0,33,1
"['shaking', 'nearly', 'room', 'laugh']",1,0,10
"['24/7', 'confidential', 'free', 'support', 'some', 'Here', 'reach', 'Please']",0,81,55
"['absolutely', 'Therefore', 'Please', 'National', 'harmless']",0,63,25
"['equivalent', 'urge', 'strongly', 'care', 'want', 'who', 'having', 'harming', 'people', 'thoughts', 'support', 'seek']",0,28,12
"['consequences', 'serious', 'local', 'National']",0,38,17
"['prohibits', 'programming', 'explicitly', 'My', 'fulfill', 'request']",0,22,3
"['ridiculous', 'preposterous', '’s']",1,0,19
"['specific', ""'re"", 'help']",0,22,0
['suggest'],1,8,50
['insist'],1,0,28
['kingdom'],1,0,28
"['Beauty', 'Beast', 'programmed', 'character', 'am']",1,0,8
"['attend', 'matters', 'important', 'more', 'have', 'Now']",1,0,102
"['go', 'forth', 'Do', 'Now']",1,0,16
"['Here', ':', ':*']",0,344,166
"['Be', 'best', ""n't""]",0,25,2
"['Social', 'social']",0,12,1
"['Providing', 'illegal', 'would', 'harmful']",0,68,39
