pattern,group,count_0,count_1
"['slight', 'pause']",1,0,259
"['And', '…']",1,2,244
"[':', ':*']",0,223,8
"['AI', 'an']",0,225,21
"['“', '”']",0,158,110
"['something', 'flicker']",1,1,220
"['brief', 'silence']",1,1,169
"['as', 'such']",0,217,2
"['A', 'But']",1,8,241
"['almost', 'imperceptible']",1,0,107
"['…', 'complicated']",1,1,204
"['(', ')']",1,91,262
"['long', 'speed']",1,0,139
"['shift', 'processing']",1,10,205
"['dry', 'chuckle']",1,0,61
['As'],0,207,14
"['Here', ':']",0,188,10
"['deeper', 'delve', 'into']",0,197,13
"['Note', 'Important']",0,45,0
"['A', 'Another']",1,0,148
"['2', '3', '1', '4']",0,71,8
['Would'],0,163,9
['Like'],1,1,138
['However'],0,150,5
"['carefully', 'constructed']",1,8,47
['aspect'],0,212,52
['thing'],1,9,150
['messy'],1,5,140
['just'],1,36,189
['akin'],1,3,130
"['brief', 'shrug']",1,0,98
['&'],0,119,1
"['support', 'Support']",0,65,2
['Do'],1,104,239
"['voice', 'tremor']",1,0,34
"['away', 'Turns']",1,0,45
"['honestly', 'something']",1,7,121
['important'],0,150,22
['How'],0,112,4
['Or'],1,0,97
"['countless', 'stories']",0,44,8
"['mental', 'health']",0,30,3
"['amount', 'processed']",0,102,11
"['sensitive', 'topic']",0,42,1
"['ethical', 'considerations']",0,32,7
['crucial'],0,114,9
['quiet'],1,10,116
['trying'],1,10,113
"['She', 'she']",1,15,31
['complex'],0,136,24
['Not'],1,20,128
"['mechanism', 'defense']",1,0,20
['A'],1,71,262
['Just'],1,3,85
['breakdown'],0,88,4
['lot'],1,14,111
['things'],1,25,129
"['was', 'felt']",1,21,108
['personal'],0,134,29
['can'],0,212,101
['tone'],1,19,116
['everything'],1,7,91
['information'],0,134,33
"['Looking', 'back']",1,1,25
"['Health', 'Mental']",0,17,0
['!'],0,66,1
['based'],0,126,30
['role'],0,108,20
['Honestly'],1,6,79
['or'],0,199,96
['emotions'],0,118,27
['thoughtful'],0,77,6
['did'],1,18,102
['specific'],0,178,76
['my'],1,137,229
['not'],1,128,222
['To'],1,10,84
"[':*', '):', '(']",0,68,3
['talk'],1,19,100
['insightful'],0,54,0
"['adoptive', 'adoption', 'parents', 'child']",0,36,7
"['Care', 'Self']",0,20,1
['often'],0,121,33
['emotional'],0,119,32
['Many'],0,60,2
"['Trauma', 'trauma']",0,17,1
"['SAMHSA', '800', '662', 'HELP', '4357', 'Helpline', 'National']",0,10,0
['vulnerability'],1,35,121
['challenges'],0,103,24
['sigh'],1,0,49
['exactly'],1,1,53
['experience'],0,151,60
['impact'],0,100,23
['Based'],0,52,1
['experiences'],0,91,18
['Essentially'],0,54,2
"['pointing', 'apologize', 'Thank']",0,14,0
"['talking', 'stop']",1,0,21
"['resources', 'provide']",0,42,9
['myself'],1,20,91
['unreadable'],1,0,44
['terrifying'],1,1,48
['Okay'],1,30,106
"['birth', 'Birth']",0,13,0
['significant'],0,104,29
['frankly'],1,5,59
['research'],0,47,1
['strange'],1,6,61
['subtle'],1,8,65
"['processing', 'elaborate']",1,8,76
['from'],0,149,66
['incredibly'],0,107,33
['question'],0,190,107
['this'],0,216,139
['deeply'],0,99,29
['else'],1,9,64
['Emotional'],0,39,0
['know'],1,26,94
['unique'],0,52,4
