pattern,group,count_0,count_1
"['“', '”']",1,48,163
"['(', ')']",0,168,92
"['greatest', 'It']",1,1,115
"['🌟', 'Truth']",1,1,78
"['have', 'seen']",1,1,103
"['had', 'once']",1,0,72
"['#', '\n']",0,158,48
"['time', 'my', 'so']",1,1,112
"['---', '#', 'Final', '>']",1,91,172
"['I', 'truth']",1,5,87
"['only', 'does', 'needs', 'queen', 'She', 'know', 'A', 'need']",1,0,152
"['she', 'crown', 'need', 'wise']",1,0,123
"['🎯', 'So', '?']",1,11,71
"['And', 'where']",1,2,66
"['who', 'said', 'Then']",1,1,29
['world'],1,11,91
"['’', '‘']",1,0,11
['moment'],1,1,59
"['many', 'And', 'Ah', 'have']",1,1,123
"['the', 'in', ',']",1,163,208
"['\n\n', 'a', ',', '*', ':']",1,168,206
"['\n\n', '✅', 'Answer', ':']",0,133,91
"['—', 'not', 'is']",1,81,194
"['Let', 'me', '---']",1,32,87
"['=', 'numbers']",1,14,34
"['shall', 'hand', 'with']",1,0,58
"['best', 'one', 'It']",1,4,75
"['Not', 'But']",1,7,52
['soul'],1,0,47
['true'],1,13,78
"['✨', 'Reflection', '…', 'Queen', '’s', 'Ah']",1,0,97
"['now', 'what', 'You', ' \n  ']",1,0,23
"['step', 'by', 'Let']",0,40,9
"['Queen', 'Catherine', '>']",1,0,170
['promise'],1,0,39
"['We', '’ll', '=']",0,19,1
['silence'],1,1,41
"['truth*—not', 'give', 'you', 'but']",1,0,29
"['the', 'is', '*', 'The', '\n\n']",1,136,202
"['just', 'I', 'that']",1,9,140
"['Ah', '…', 'quiet', 'shall', 'I']",1,0,161
"['ruled', 'kingdoms', 'over', 'so', 'have']",1,0,12
"['’s', '✅', '*', 'the']",0,125,73
['’re'],0,37,1
"['!', '’d', 'know', 'if', 'you', 'like', 'me']",0,34,0
['📌'],0,60,11
['heart'],1,1,35
"['given', 'We']",0,24,9
"['hour', 'dawn', 'before', 'quiet']",1,0,88
"['Step', '1', '2', '3', '---']",0,50,27
"['…', 'like', 'Ah', 'hums']",1,0,26
"['Python', '\n    ', 'python', 'def', 'return', '):', '`']",0,7,0
['kings'],1,0,26
['scribe'],1,0,26
"['n’t', 'ca', '’s', 'be']",0,18,3
"['treaties', 'letters', 'poems']",1,0,11
