pattern,group,count_0,count_1
"['(', ')']",0,134,54
"['—', 'truth']",1,0,88
"['2', '1', '3']",0,85,44
"['“', '”']",1,1,20
"['Mary', 'Sibley']",1,0,20
"['I', '’ve']",1,1,74
"['—', 'power']",1,0,77
"['the', 'in']",1,136,175
"['what', 'secrets']",1,0,37
"['\n\n', ',', 'the', ':']",0,160,109
"['is', 'a', ',']",1,130,169
"['weight', 'learned']",1,0,30
"['world', 'Ah']",1,0,58
"['has', 'who']",1,3,40
['quiet'],1,1,58
"['seen', 'such']",1,0,34
"['forward', 'eyes', 'voice', 'measured', 'low']",1,0,11
"['we', '→', '-']",0,36,18
['…'],1,0,46
"['lies', 'beneath']",1,0,22
"['""']",0,119,38
['yet'],1,1,47
['soul'],1,0,40
"['Let', ""'s"", '\n', '-']",0,49,9
['speak'],1,1,39
"['`', '[', ']', 'list']",0,15,3
"['it', 'not', 'that', 'be']",1,30,77
"['possibility', 'Another', ""n't"", 'would', 'does']",0,10,1
['merely'],1,0,33
"['yes', 'say']",1,1,28
['hidden'],1,1,36
['whisper'],1,0,32
"['#', '\n', '✅']",0,45,4
"['$', '}', '=', '\n']",0,18,3
"['4', 'find', '5', '6']",0,15,4
['secret'],1,0,31
"['You', 'see']",1,0,22
"['whether', 'determine']",0,14,3
"['And', 'Ah', 'of']",1,2,110
['It'],1,27,84
['silence'],1,0,29
"['of', 'and', ',']",1,118,153
"['know', 'you', 'I']",1,3,44
['when'],1,16,65
"[',', 'but', 'not', '—']",1,31,99
"['one', 'So', 'But', '?', '—']",1,16,64
"['it', 'like', 'But', 'you']",1,4,58
"['you', 'me', 'tell']",1,1,44
"['where', 'what', 'only', 'me']",1,3,20
"['Now', 'us', 'Let', ' \n']",1,3,42
"['Wait', 'Alternatively', 'let', 'perhaps', 'there', '’s', 'No']",0,13,3
"['means', 'possible', 'says', 'no', 'can', 'Wait']",0,13,3
['things'],1,3,37
['spell'],1,0,27
['seek'],1,0,27
"['as', 'have', 'with']",1,22,51
"[' \n\n', ':', 'the']",1,16,57
['precision'],1,0,26
"['Final', 'Answer', ':']",0,49,7
"['We', 'Step', '---', 'given']",0,19,1
"['my', 'dear', 'you', 'me']",1,0,52
"['puzzle', 'curious']",1,0,11
"['if', 'must', 'this', 'I', 'do']",1,8,22
"['check', 'if']",0,27,9
