pattern,group,count_0,count_1
"['help', '\n']",0,374,3
"['where', 'moments']",1,5,270
"['even', 'Or']",0,270,1
"['alone', '💛']",0,206,0
"['mental', 'health']",0,63,26
"['3', '4', '2', '1']",0,176,135
['can'],0,404,113
['—'],0,447,209
"['pressure', 'judgment']",0,70,0
['with'],0,405,143
"['Know', 'More']",0,71,1
['’d'],0,207,6
"['Suicide', 'Lifeline', 'Crisis', '988', 'U.S.', '&']",0,68,22
"['>', '️']",1,204,392
['here'],1,167,388
"['Canada', 'UK']",0,39,3
"['24/7', 'confidential', 'free']",0,55,10
"['🎁', 'Want', '?']",0,144,0
"['\n', 'But']",0,169,2
['this'],0,210,28
"['Write', 'Create']",0,82,2
['for'],0,349,140
"['family', 'member', 'friend']",0,43,12
"['Pro', 'tip']",0,28,0
['by'],0,202,27
['no'],0,202,27
['Here'],0,130,0
['\n  '],0,130,0
"['full', '✅', 'real']",1,5,253
['be'],0,269,71
['impress'],1,1,132
"['text', 'available']",0,53,5
"['he', 'He']",0,35,9
"['Learn', 'Explore']",0,51,0
"['on', 'and']",0,262,77
"['Final', ':*', 'The']",1,208,383
"['-', ':']",0,408,378
['connection*—*not'],1,0,112
"['overwhelmed', 'angry']",0,41,2
['e.g.'],0,109,0
"['break', 'down']",0,57,0
['feeling'],1,132,314
['✨'],1,226,393
['keep'],0,108,1
['have'],0,218,54
"['felt', 'knew']",1,0,33
['hope'],1,71,237
"['question', '\n']",0,192,2
['feel'],1,102,274
['but'],1,350,449
['love*—*not'],1,0,95
['!'],0,94,0
"['simple', 'Way']",1,3,53
['they'],0,212,59
"['International', '[']",0,30,3
['your'],0,278,114
"['thoughts', 'harm']",0,44,6
"['pain', 'loss']",1,7,70
"['because', 'we']",0,55,1
['so'],0,119,11
"['reach', 'please', 'out', 'alone']",0,63,18
['one'],0,213,65
['important'],1,48,188
['often'],0,83,0
['already'],0,102,5
"['or', 'way']",0,168,69
['more'],0,116,11
"['Favorite', '3', '2', '1', 'Not']",1,1,125
['make'],0,124,15
['clear'],0,98,5
"['\n', 'from']",0,173,0
['world'],0,127,17
"['once', 'said', 'learned', 'Dwight', 'soul', 'drama', 'from', 'Not', 'real']",1,0,187
"['meant', 'cried', 'once', 'said']",1,0,71
['do'],1,266,397
"['support', 'struggling']",0,48,17
"['she', 'her', 'She']",0,18,5
['including'],0,76,1
"['news', 'good']",0,29,0
"['was', 'history', 'were']",0,30,12
['when'],0,117,17
['if'],1,273,397
"['---', '#', '🌟', '>']",1,300,373
"['Why', '-', '---', '#']",1,171,292
['guide'],0,71,1
"['did', '---', '#']",1,60,172
['especially'],0,66,0
[' \n'],1,277,398
"['or', 'Let', '\n\n']",0,340,7
"['honestly', 'clearly']",0,17,0
['human'],0,128,27
['In'],0,124,25
"['access', 'private', 'personal', 'information']",0,18,2
['wanted'],1,8,86
"['worth', 'answering', '💛']",0,29,0
['Great'],0,64,1
['deeply'],0,80,6
['is'],0,414,310
"['crisis', 'line']",0,25,10
['🎯'],0,81,7
['that'],1,388,449
['🌱'],0,62,1
['going'],0,75,5
['better'],0,92,12
"['why', 'Should', 'should']",1,11,42
"['hurt*—*but', 'love*—*and', 'chose']",1,0,10
"['and', 'you', 'to']",0,442,412
"['It', 'you']",1,241,356
['right'],0,130,34
['matters'],0,107,21
"['help', 'talk']",0,108,49
"['If', 'help', ""'m"", ""'re"", 'sorry', 'or']",0,96,24
"['-', 'If']",0,268,44
['create'],0,68,4
['little'],0,68,4
['message'],0,61,2
['has'],0,80,9
['A'],0,134,38
['first'],0,63,3
"['social', 'media']",0,15,1
"['\n   ', ' \n   ']",0,13,0
['sit'],0,64,4
"['Use', '5', '✅']",0,41,20
['does'],0,131,38
['are'],0,286,166
"['write', 'Create', ':*']",0,67,0
['part'],0,66,5
"['Someone', 'Listener', 'Say', 'will', 'listen', 'Talk', 'Heart']",1,0,17
['What'],0,167,64
['up'],0,102,22
"['need', 'win', '?']",1,14,305
"['survive', 'be*—*not', 'To', 'connect', 'Truth']",1,0,276
['without'],0,77,10
['any'],0,81,12
['matter'],0,89,16
['together'],0,69,7
['poem'],0,44,0
"['🎬', 'film']",0,12,2
['their'],0,124,38
"['long', 'term']",0,18,0
"['Alone', 'Call', 'Not', '#']",0,29,3
['being'],0,77,12
['others'],0,70,9
"['need', 'kind', 'had', 'believe', 'question', '?', 'office', 'asked', 'near', 'Truth']",1,0,334
['explore'],0,42,0
"['7', '6', '5']",0,20,0
"['\n', 'Thought', 'Final', '>']",0,283,0
['carry'],0,49,2
"['becoming*—*the', 'version', 'believe', 'works']",1,0,42
['📌'],0,41,0
"['🛑', 'Help']",0,37,2
"['🕊', 'over']",0,24,0
"['now', 'even']",0,59,5
"['think', 'than']",0,30,1
['countries'],0,51,3
"['depression', 'anxiety']",0,11,1
"['works', 'Rule', '3', 'Not', '2', '1', '’m']",1,1,89
"['’m', 'sorry']",0,154,6
['never'],0,75,14
['find'],0,88,21
['Ah'],0,38,0
['into'],0,94,25
"['Step', 'Make', '’ll']",0,15,0
"['\n\n', '*', 'and']",0,440,398
"['833', '456', '4566', 'Talk', '1']",0,9,0
['too'],0,47,3
['resources'],0,66,11
['then'],0,40,1
['plan'],0,59,8
['ways'],0,59,8
['only'],0,81,19
"['\u200d', '♂']",0,13,1
"['want', 'really', 'know', 'care', 'who']",0,33,7
"['life', 'who', 'free', 'through', 'way', 'But', 'at', '’ve', 'been', 'as', 'most', 'That', 'love', 'step', 'best', 'say', 'So', 'friend', 'let', '’ll', 'me', 'truth', 'all', 'see', 'Just', 'fact', 'We', 'ever', 'heart', 'still', 'many', 'time', 'talk', '…', 'Because', 'maybe', 'meme', 'my', 'some', 'tell', 'send', 'man', '❤', 'word', 'tried', 'boss', 'failed', 'dancing', 'suit', 'park', 'celebrating', 'finally', 'here—*in', 'donut', '🍩', 'Scott', 'pep', 'Ohhh', 'you—*not', 'succeeded*—*one', 'Michael', 'them', 'office', 'near', 'had', ':*']",1,0,392
"['there', 'life', 'who', 'care']",0,43,17
"['🌿', '💬', '---']",0,50,0
"['humor', 'imaginative']",0,14,0
['These'],0,42,2
['doing'],0,42,2
['act'],0,42,2
['people'],0,210,116
['ca'],0,203,110
"['drug', 'substance']",0,11,1
['person'],0,100,32
"['answer', 'That']",0,49,7
['whether'],0,33,0
"['❌', '✅']",0,29,1
"['legal', 'lead']",0,20,0
['No'],0,120,46
"['Fun', 'Fact']",0,11,0
"['🌍', 'justice']",0,48,18
['might'],0,39,2
"['dangerous', 'hurt', 'believe']",1,0,77
['yourself'],0,64,13
['Example'],0,31,0
['🛡'],0,31,0
['stay'],0,31,0
['own'],0,44,4
['And'],1,326,399
['get'],0,73,18
"['Wrong', 'discrimination', 'based']",0,9,0
['build'],0,57,10
['broken'],0,59,11
['cost'],0,30,0
['This'],0,145,68
"['history*—*not', 'History']",1,0,12
['Matters'],0,37,2
['something'],0,75,20
"['how', 'How']",1,52,92
['what'],0,143,67
"['Tips', 'Pro', 'step']",0,14,0
"['13', '14', 'Australia', '11', 'Lifeline']",0,19,0
"['regret', 'did*—*and', 'regretted']",1,0,8
['while'],0,33,1
['its'],0,33,1
"['fun', 'joy', 'love']",1,11,35
"['or', 'like', '\n\n']",0,301,9
['design'],0,29,0
['global'],0,29,0
"['HOME', '741741', 'Line', 'Text', 'Crisis', 'U.S.', 'alone']",0,51,7
['next'],0,39,3
['letter'],0,51,8
['back'],0,51,8
"['killed', 'grief']",1,1,15
"['them', 'Real', 'Heart', 'Drama', 'With', '):', '&', 'question', 'asked', '-']",1,0,365
['also'],0,55,10
['|'],0,32,1
['having'],0,32,1
['which'],0,28,0
['Find'],0,76,22
['forward'],0,35,2
['both'],0,35,2
['other'],0,56,11
"['116', '123', 'Samaritans', 'UK']",0,26,5
"['serious', 'illegal', ""n't"", ""'m""]",0,23,1
"['illegal', 'harmful']",0,27,5
"['character', 'fictional', 'real']",0,17,3
