pattern,group,count_0,count_1
"[""'s"", '\n']",0,428,0
"['my', '…']",1,1,427
"['1', '2']",0,378,4
"['pause', 'gaze']",1,0,387
"['“', '”']",1,47,229
"['steep', 'fingers']",1,0,246
"[""'re"", 'help']",0,248,0
"['This', 'Important']",0,322,0
"['mental', 'health']",0,169,2
"['‘', '’']",1,1,127
"[""n't"", 'want']",0,273,1
"['):', 'Resources']",0,261,0
"['Here', 'breakdown']",0,314,0
"[':*', '\n\n\n']",0,302,0
"['Crisis', 'Text', 'HOME', '741741', 'Line']",0,174,0
"['kingdom', 'my']",1,0,316
"['upon', 'gaze']",1,1,301
"['almost', 'imperceptible']",1,1,99
"['4', '3']",0,277,4
['realm'],1,3,297
"['experiencing', 'feelings']",0,115,0
"['Lifeline', '988', 'Suicide', 'Prevention']",0,107,0
"['frown', 'brow']",1,0,60
"['catching', 'light']",1,0,82
"['Support', 'support']",0,127,1
"['intricate', 'embroidery']",1,0,68
"['Project', 'youth', 'LGBTQ', 'Trevor', '488', '7386', '866']",0,145,1
"['Mental', 'Health', 'Substance', 'Abuse', 'Services', 'Administration']",0,149,1
"['measured', 'my']",1,0,242
"['https://www.samhsa.gov/find-help/national-helpline', 'https://www.thetrevorproject.org/']",0,73,0
"['anxiety', 'depression']",0,79,0
['unwavering'],1,0,236
"['let', 'Okay']",0,147,0
['But'],1,15,272
"['lies', 'strength']",1,0,145
['And'],1,4,239
"['aspect', 'delve', 'deeper']",0,137,3
"['""']",0,242,7
"['courage', 'takes', 'acknowledge']",0,86,0
['merely'],1,0,213
"[""n't"", 'e.g.']",0,155,0
"['Behavioral', 'CBT', 'Cognitive', 'Therapy']",0,56,0
"['Professional', 'Help']",0,82,0
"['Trauma', 'trauma']",0,69,0
"['struggling', 'reach', 'out']",0,133,1
"['MentalHealth.gov', 'https://www.mentalhealth.gov/']",0,49,0
"['&', ':*']",0,195,0
"['Illness', 'NAMI', 'Alliance']",0,44,0
"['If', 'please']",0,129,2
['-'],0,416,180
"['intense', 'underlying']",0,84,0
['speaks'],1,3,198
['specific'],0,310,63
"['subtle', 'gesture']",1,2,105
"['plainly', 'Speak']",1,0,61
"['friend', 'member', 'family']",0,62,0
"['witnessed', 'firsthand']",1,0,68
